Gene_name,Control1,Control2,Control3,Treat1,Treat2,Treat3
TRAF3IP3,2.951524,1.501719,0.866827,0.752008,0.733310,1.124585
EPRS,8.254395,7.471104,3.864835,4.155190,5.568993,3.738344
CAPN2,2.768763,1.810683,0.652399,1.746080,2.400874,2.243873
SRP9,1.338939,0.780157,0.052983,0.076140,1.330066,0.960094
TMEM63A,7.266129,5.742241,7.649715,4.544803,4.257811,8.131561
H3F3A,1.830685,1.964612,2.918580,1.956991,1.410723,1.852588
PARP1,67.210320,62.533722,38.001049,68.421410,78.940811,71.105972
TOMM20,0.120959,0.083302,0.020333,0.071366,0.041021,0.073831
COX20,0.151375,0.118359,0.020294,0.109536,0.170896,0.038966
ACP1,4.206091,3.149903,1.016925,1.892761,2.567299,2.557620
RPS7,5.733657,5.379841,3.513829,5.749644,3.812970,5.384171
IAH1,18.461184,14.978453,13.709460,16.965038,15.111630,15.155524
YWHAQ,17.198162,16.431530,8.817065,15.736429,14.670100,15.832888
ODC1,5.333320,4.389693,4.509242,4.790724,4.352570,4.738405
PDIA6,76.529465,62.256737,29.263372,53.201984,54.520264,53.999210
HADHA,23.710615,22.225927,14.259932,30.885201,34.305885,19.439756
OST4,0.165786,0.134976,0.016069,0.112268,0.079308,0.120535
ATRAID,0.016650,0.006667,0.052512,0.026329,0.025663,0.018166
SNX17,10.203758,11.459474,10.113569,10.727180,9.257968,11.530834
PPM1G,7.682390,5.697261,4.171255,5.500748,4.944921,6.118487
SRSF7,7.137205,6.815403,5.025329,4.568807,5.108556,4.218615
COX7A2L,3.955133,2.775569,0.660588,1.869807,2.275154,2.752971
RPS27A,0.454298,0.617843,0.519715,0.540271,0.231132,0.248231
CCT4,3.372405,2.394581,2.216905,2.773262,3.528266,2.558230
AAK1,52.424145,37.778996,31.800510,39.992455,41.642078,34.382599
SNRPG,0.485749,0.260768,0.112584,0.227559,0.215403,0.340070
CCT7,1.206517,0.415772,0.067628,0.655032,0.307427,0.224250
DGUOK,0.218764,0.090968,0.032009,0.075019,0.000000,0.036785
AUP1,4.210188,4.767195,6.816226,5.858547,5.213502,5.467368
POLE4,15.476759,12.738650,14.792996,11.681952,9.624759,10.810255
TMSB10,4.884621,5.808569,4.256186,6.058019,6.193021,5.459369
VAMP8,0.912979,0.312589,0.009187,0.006601,0.011301,0.010355
VAMP5,19.829767,21.764601,19.448166,21.992073,21.129503,23.815596
MAL,1.619791,0.945097,0.301012,2.334525,0.924248,1.187209
DUSP2,0.737191,0.428786,0.289408,0.539236,0.363338,0.584951
ZAP70,1.296469,0.843001,0.522067,0.600991,0.652947,0.823644
MGAT4A,1.007480,0.675568,0.255771,0.341460,0.520892,0.469865
EIF5B,11.706330,13.233772,9.348841,11.181652,9.113017,12.655081
RPL31,15.185005,16.374908,18.948185,17.070501,12.546562,16.232815
NCK2,0.130986,0.037294,0.057023,0.000000,0.043165,0.018075
GCC2,98.251007,98.173126,68.309326,90.918465,82.250404,91.846375
LIMS1,0.824907,0.573936,0.171056,0.467334,0.484141,0.467973
LINC00116,2.412674,2.984563,7.524187,4.164020,4.013078,3.491570
DDX18,10.304029,10.942683,8.161381,12.152615,10.689683,11.206800
DBI,0.140108,0.012884,0.044834,0.006635,0.028049,0.008438
PTPN4,46.331959,36.636333,19.638618,36.755455,40.958717,33.210613
NIFK,3.102648,2.364209,3.298285,2.575573,2.384685,2.286788
GYPC,27.507345,21.509893,16.032852,15.905365,19.884098,18.460218
BIN1,11.442023,12.971770,6.324472,10.655182,12.115610,4.463138
MZT2B,18.998989,12.699533,8.647477,13.663321,16.181791,12.058252
MZT2A,9.467162,6.820801,8.510000,6.717833,6.316136,6.804207
ARL5A,4.884390,6.706048,4.223164,6.863214,11.270543,6.008997
GCA,12.364032,13.254166,12.312376,14.032660,11.225622,12.043274
METTL5,4.645696,10.429469,14.764499,14.633326,9.852139,12.626393
ATP5G3,0.883898,1.064595,0.674713,1.164172,0.788978,1.033128
HNRNPA3,31.276379,35.725410,31.601700,28.422661,25.311287,22.590597
ITGA4,6.491549,9.087343,5.073375,9.011231,7.570544,9.194901
ZC3H15,4.330392,6.246628,5.520121,6.487548,5.039754,5.740758
ORMDL1,0.238456,0.234880,0.035747,0.118353,0.126131,0.032447
GLS,9.698668,2.077777,1.545850,2.897607,4.318376,3.383985
HSPD1,0.055636,0.183534,0.134610,0.066438,0.114279,0.105494
NOP58,0.723257,0.444662,0.614453,1.251448,0.369586,1.262276
RPL37A,18.072794,16.766121,18.789923,15.400499,14.385018,14.781413
PNKD,27.643780,28.160135,17.543741,25.872904,25.713453,26.254120
NCL,0.000000,0.003123,0.000000,0.003041,0.007684,4.037637
PTMA,0.066964,0.024469,0.008039,0.010394,0.009622,0.030398
ARL4C,0.037638,0.071176,0.023910,0.073936,0.076283,0.028580
NDUFA10,2.710595,1.912662,0.626237,1.304913,1.595978,2.371089
MYEOV2,10.632075,12.542923,11.398250,12.260114,10.555323,11.023273
RNPEPL1,0.363133,0.150281,0.150015,0.126895,0.070359,0.478933
MTERF4,509.682495,339.247803,138.375702,188.776184,211.532043,189.295807
PPP1R7,34.330902,29.399551,20.369740,24.866743,25.494593,27.940767
CRBN,11.667231,11.107692,13.184992,10.756598,9.418936,11.612412
RPL32,16.680925,9.203580,4.051766,6.946993,7.150871,10.476505
NUP210,10.379357,7.798940,6.958080,6.890712,9.061078,11.016035
SATB1,0.003819,0.005051,0.211400,0.008669,0.006610,0.003731
RPL15,4.980365,5.170332,1.892447,3.593463,2.855247,3.655945
CMC1,0.452133,0.329367,0.421297,0.403837,0.270486,0.205060
STT3B,91.941551,85.595512,77.007545,79.508629,78.544868,76.431267
RPSA,0.008156,0.054489,0.000000,0.009580,0.006381,0.010464
RPL14,2.826377,2.681094,0.780016,2.050631,1.382406,1.780871
SS18L2,0.145319,0.165389,0.279400,0.178661,0.110117,0.176385
NKTR,10.452679,12.203951,18.016493,13.272049,11.283068,13.060964
CCDC12,0.099156,0.073582,0.023643,0.322564,0.303653,0.614330
NDUFAF3,2.537281,2.307159,1.145890,1.462856,1.496865,1.487604
RBM6,0.027604,0.018143,0.043393,0.034154,0.029049,0.000000
CISH,8.534089,7.869600,6.673852,7.685133,5.681820,10.547033
MANF,32.819878,37.678921,39.118408,36.041206,27.119532,35.419659
TEX264,23.303467,20.240294,15.332792,20.108759,18.984241,17.770084
ABHD14B,8.527462,11.326693,17.674189,10.885358,12.275912,14.926083
RPL29,1.266268,1.286981,0.669981,1.180602,0.938384,1.372442
SPCS1,0.399175,0.533344,0.622415,0.808864,0.605998,0.806767
CCDC66,4.436907,4.016839,3.088194,3.666316,3.810098,3.973129
ARHGEF3,10.605667,8.930106,8.109886,7.599476,6.633487,6.595202
ARL6IP5,1.370693,1.180390,0.465832,0.896232,0.856102,1.226411
CLDND1,0.028956,0.031942,0.000000,0.029590,0.017355,0.105442
PCNP,1.090847,0.894976,0.182259,0.825116,0.682006,0.546520
RPL24,20.534372,20.037708,11.839613,16.105974,16.091675,18.856024
CD47,0.138528,0.301206,0.043562,0.202290,0.144130,0.049708
TRAT1,7.641982,6.870079,4.156183,6.039955,5.107201,6.763659
CD96,6.151789,7.624128,3.646312,6.905929,5.937830,6.287813
NDUFB4,7.765837,8.790321,6.913151,6.586122,6.586767,6.576609
MRPL3,6.447479,6.568336,5.168599,8.481251,8.338615,7.140617
NCK1,11.739014,9.987368,12.882642,6.591776,5.242639,8.209045
ZBTB38,0.139770,0.489670,0.060827,0.094008,0.100833,0.077574
RNF7,13.413221,12.807515,9.902908,13.219797,12.377138,12.974949
ATP1B3,2.880299,4.301406,4.216076,4.074750,3.306988,4.248025
U2SURP,0.512163,0.413101,0.129001,0.102271,0.055568,0.350906
EIF2A,1.924586,2.465562,3.197975,2.243817,3.079091,1.964697
DHX36,0.284095,0.187916,0.000000,0.089989,0.292317,0.199451
SSR3,32.806068,35.436100,25.131649,37.891979,37.632217,34.232658
RPL22L1,51.840836,64.228279,28.977650,59.599857,49.167149,50.391487
NDUFB5,25.622232,23.482157,9.609601,23.179190,23.458364,19.224369
TTC14,7.848001,3.371319,1.163520,4.246314,4.875683,3.337031
DNAJC19,1.165226,1.352939,0.112227,0.279637,0.440002,0.346654
PSMD2,1135.575806,794.440247,118.015541,479.490784,525.286438,453.581451
TRA2B,1.528731,1.948819,1.357313,0.764024,0.745124,0.854587
EIF4A2,1.098968,0.998943,0.417402,0.895444,0.976702,1.237293
NCBP2,1.809114,2.146354,0.657805,1.986585,1.314288,2.280001
NCBP2-AS2,8.445628,10.081665,6.830875,8.382938,6.810126,10.163891
RPL35A,13.598628,10.793282,7.243871,10.508657,13.189363,11.703310
MXD4,5.466295,7.337774,8.317750,6.724632,5.581310,7.235520
MFSD10,21.401745,14.131178,7.934092,9.782560,10.689529,12.525098
LYAR,15.999743,16.251793,9.974790,14.959951,14.289910,14.333733
NSG1,31.650158,21.546072,6.693811,18.768965,21.555119,16.666040
BLOC1S4,6.135041,5.442092,2.580674,6.736334,6.266510,6.691374
RFC1,5.254348,5.855733,3.046038,5.102272,4.503251,4.905790
RPL9,0.0,0.002354,0.048746,0.028707,0.019745,0.028133
RHOH,6.159956,6.582100,2.308752,5.538368,4.857745,7.284072
OCIAD1,5.183701,5.528855,5.940468,5.484622,4.648649,5.499769
OCIAD2,0.785737,0.269638,0.142888,0.434938,0.659401,0.500120
SRP72,13.817411,11.717476,10.590846,11.985271,11.029627,12.162169
HOPX,21.922926,19.096388,14.101777,17.347183,17.287832,19.247452
DCK,18.402037,19.029270,14.053745,21.254246,21.443596,19.311668
HNRNPD,45.790844,40.210831,26.275331,43.782681,53.079384,43.127033
HNRNPDL,9.192370,13.665626,4.774207,13.985282,12.943686,12.616600
PLAC8,37.660591,29.721569,24.559135,32.439346,29.375652,25.885874
PPM1K,13.285235,12.420407,5.620719,6.237740,4.716363,9.242726
PYURF,32.215553,35.159203,26.547743,41.089020,60.806065,43.812256
ADH5,3.521433,6.205947,3.414566,6.520090,5.745094,4.258096
AIMP1,1.715719,1.812233,0.744341,0.921797,1.126890,0.983065
LEF1,8.043404,8.785058,2.865674,9.025185,11.262765,6.767583
RPL34,3.224236,3.960284,3.139101,4.094883,3.036622,3.522287
OSTC,7.502182,8.481206,10.461432,10.979934,10.182796,10.476604
CCDC109B,4.976039,5.249348,5.816904,5.570951,5.096799,5.865840
SNHG8,2.407258,2.190700,2.243936,2.148263,2.238754,3.095083
INPP4B,19.820984,17.368011,9.019757,11.080437,10.875900,13.162670
LSM6,6.485382,7.432032,6.226264,7.882101,6.641657,7.598477
RPS3A,41.399471,33.076523,21.897310,36.095829,42.080296,32.498852
SDHA,2.253618,1.655648,0.758611,1.250062,1.291559,1.433585
CLPTM1L,0.056103,0.072978,0.000000,0.043721,0.039948,0.037834
NDUFS6,6.557275,6.783261,6.757086,9.835789,5.485769,5.620289
MED10,171.233719,157.722397,205.254700,184.411179,176.771545,165.828613
DNAJC21,115.228020,101.202736,232.055817,100.137093,86.434456,80.477173
RPL37,3.943188,3.739612,3.142235,3.350215,2.700540,3.849169
ANXA2R,1.697259,1.588913,1.815848,0.856465,0.638252,1.654909
GZMK,5.834907,5.950187,4.913997,7.426952,4.096106,6.934109
GZMA,18.700829,19.184103,7.514633,13.409275,16.097994,14.673146
KIF2A,5.245330,3.693183,3.208632,2.886685,3.286047,3.771072
PIK3R1,11.900063,13.512025,7.304144,13.396877,12.852904,13.226063
TAF9,0.056431,0.056234,0.008632,0.019262,0.082354,0.055351
BDP1,0.988508,1.095954,1.179397,1.375137,1.644009,0.793862
BTF3,358.129333,298.928375,246.571457,303.725250,246.900208,320.924072
NSA2,7.263619,9.545614,9.920771,8.034714,7.981895,8.511919
TBCA,1.637255,1.186740,0.430179,0.674416,1.081076,1.388413
RPS23,18.819460,19.586502,12.386299,16.594269,18.500704,16.095003
COX7C,17.680847,14.008524,7.340264,8.554553,10.906021,11.247559
CAST,127.164101,94.213196,52.313778,99.748444,115.287476,84.727661
ERAP2,4.297668,3.292235,3.582306,3.864468,2.846882,3.908282
CAMK4,6.421274,5.860900,2.183825,5.574703,6.619627,4.783792
EPB41L4A-AS1,17.174963,14.305537,10.801466,16.314207,13.510959,15.508229
TNFAIP8,8.043915,9.942188,9.347602,11.278981,9.839823,10.775926
HINT1,0.156531,0.253318,0.238580,0.181270,0.145296,0.044272
VDAC1,5.772692,5.287734,8.372173,5.812362,4.174356,6.023458
TCF7,6.893517,4.827506,1.270612,1.897934,2.342170,2.944601
HNRNPA0,0.118329,0.055492,0.102546,0.115205,0.076183,0.086381
HSPA9,41.405922,34.402168,17.956242,36.188313,30.154972,34.716625
TMEM173,9.051741,7.937016,9.296021,8.733474,9.761574,7.173903
PURA,16.758352,14.437532,14.954641,17.042418,16.717783,16.148142
NDFIP1,31.502928,26.922619,15.514769,29.775312,32.149689,25.024643
CD74,10.953624,7.258960,3.787151,3.290647,3.946793,5.811419
RPS14,17.971493,18.311497,18.462147,16.874859,14.226054,19.940220
ANXA6,57.157612,49.003883,45.170696,62.142445,63.227333,55.813404
G3BP1,10.069365,8.494113,5.616267,7.186081,7.026941,7.262395
ITK,39.016243,40.437031,40.938488,37.511353,37.468792,32.255516
CCNG1,4.701154,3.540706,2.342382,1.950390,2.739016,3.308489
NUDCD2,10.500179,8.598390,7.017058,7.363168,6.356243,8.865963
NPM1,7.475863,5.272700,3.713845,9.501732,4.887802,6.301294
HIGD2A,5.381831,6.832546,4.514077,6.233216,4.820215,4.417903
TMED9,19.030382,18.786390,21.237514,18.386801,15.927644,20.020039
NHP2,31.486448,34.074039,39.835285,34.847710,31.616377,38.220848
CANX,13.211772,11.634235,10.829656,12.943444,12.168983,11.887652
GNB2L1,27.918150,24.438471,20.228016,16.455591,17.038071,20.598940
PRPF4B,78.847198,74.186867,57.775330,71.812965,63.090191,72.002708
TMEM14C,2.355624,2.219226,1.703166,2.443532,1.934837,2.561388
TMEM14B,10.744031,10.083712,7.549899,8.161129,7.469661,8.483082
NOL7,0.510212,0.327852,0.299186,0.204538,0.261314,0.190865
MRPS18B,0.636234,0.435152,0.352578,0.711023,0.643385,0.612810
TUBB,3.023796,2.030668,1.728349,1.657193,1.634245,2.098220
LST1,6.501971,5.776272,5.013324,3.759418,3.478488,4.996179
LSM2,0.058637,0.053898,0.100016,0.097856,0.187039,0.073130
C6orf48,0.351654,0.249643,0.272779,0.099445,0.265934,0.270911
ATF6B,0.656227,0.937648,0.451685,0.366203,0.425493,0.634089
HLA-DRB1,13.219874,15.891584,11.509133,13.868168,12.161837,12.846779
HLA-DPA1,4.828279,5.682420,3.806819,5.788744,5.126820,5.422708
HLA-DPB1,3.170050,3.622264,3.559710,2.628951,2.751036,2.520878
RPS18,5.838055,6.076633,3.323990,5.528957,6.155390,5.681126
PHF1,75.019928,61.509697,62.913746,58.710308,56.201233,67.665604
CUTA,3.965132,3.249968,3.337121,2.749136,2.868544,2.648451
HMGA1,72.556763,50.518513,35.026421,31.275183,37.333595,50.689793
RPS10,1.359808,1.624176,1.170941,1.084605,0.717414,1.191816
SNRPC,0.123569,0.205773,0.000000,0.164526,0.176038,0.089676
PIM1,2.180273,2.050603,2.144003,1.773185,1.825454,1.924492
CCND3,12.764013,11.537276,10.385497,9.380893,8.144640,11.735383
RPL7L1,0.737066,0.469115,0.155377,0.295030,0.387364,0.440388
MRPL14,0.178050,0.151382,0.000000,0.038426,0.102300,0.033601
HSP90AB1,3.839989,3.541892,2.358731,3.242289,3.866217,3.255625
EEF1A1,0.064543,0.814915,0.042582,0.030212,0.064586,0.018331
HMGN3,11.610926,12.456875,7.174281,10.328768,9.687245,10.423558
SYNCRIP,2.275232,5.603857,2.476482,4.805246,5.214627,4.940794
PNISR,6.808796,7.126797,4.483150,6.307686,5.872272,6.572848
GTF3C6,81.012840,51.367031,27.726316,48.666531,53.720177,45.065437
HDDC2,18.828365,15.244664,9.243733,16.751305,16.420914,12.714899
SAMD3,7.165145,5.182439,3.938326,4.292078,4.687642,4.788622
RPS12,42.372833,31.961975,11.515565,30.434994,39.799870,30.454399
ABRACL,0.040545,0.000000,0.000000,0.033609,0.032120,0.017036
CITED2,9.595956,9.385985,4.577141,6.757043,7.158461,7.564020
PHACTR2,12.673683,11.663528,9.463116,11.756530,13.459477,11.381398
SF3B5,37.027061,29.789795,25.479996,28.734268,26.280884,33.520405
SYNE1,9.158590,7.283121,3.357049,5.395023,4.921994,5.753659
GTF2H5,10.507133,7.572190,4.321281,7.895555,9.763777,7.798575
EZR,26.799271,23.765335,16.242035,18.858358,17.657700,23.125332
SOD2,0.191442,0.216549,0.117719,0.335171,0.198088,0.375989
TCP1,0.078445,0.054980,0.063018,0.027913,0.026547,0.060170
MRPL18,5.082216,5.313368,3.071296,3.920793,3.659836,4.540277
PSMB1,4.877653,3.487935,2.459507,3.517729,2.659590,3.525687
PDCD2,7.548783,6.415232,3.492303,7.307579,6.518150,7.064846
EIF3B,3.075790,2.598477,2.942504,2.944400,2.110602,3.196969
CHST12,2.297967,3.142157,1.988602,2.635430,2.079636,3.006476
RPA3,11.653594,11.396536,10.162293,9.948835,10.203808,9.347806
NDUFA4,1.949840,2.727354,0.897782,0.978928,1.612378,4.586248
TOMM7,5.937041,5.833570,3.907135,5.381377,5.584658,4.328654
CYCS,9.298491,9.619681,9.773801,14.939566,15.226213,14.048091
LSM5,42.491360,34.778572,26.645706,33.220566,31.957914,34.721550
TRGC2,9.019979,9.183181,5.573848,7.945273,9.270992,8.728745
MPLKIP,3.343021,3.638529,4.284907,3.491041,4.373210,3.365984
PSMA2,128.117126,92.469185,39.958229,68.652390,79.610550,119.959396
TMED4,3.795003,3.999644,3.432743,4.277751,3.386270,3.908072
PPIA,0.022102,0.000000,0.001213,0.019021,0.000000,0.000094
SUMF2,17.864368,6.019856,3.861397,9.735686,6.974681,5.538861
CHCHD2,6.058990,5.324533,8.172840,6.494863,5.236803,6.950461
SBDS,19.058813,14.955494,13.394168,18.781143,17.863890,16.061174
BCL7B,7.324503,7.237364,5.123816,7.221086,8.039944,6.721227
WBSCR22,32.280140,25.576004,13.950330,21.947824,20.570328,24.074444
MDH2,3.073397,3.548288,4.644655,3.029366,2.238019,3.639855
HSPB1,12.660000,9.016160,3.411591,8.210559,8.077278,7.759418
TMEM243,0.987274,0.155071,0.146065,0.246081,0.332443,0.265403
SRI,0.626460,0.812445,0.424838,1.306136,0.571757,0.812071
AKAP9,18.483622,15.486880,11.153328,14.639038,15.401816,14.321806
SHFM1,2.328096,3.763000,4.819265,4.066124,2.515842,3.795273
COPS6,9.476614,8.491372,5.744300,8.283053,7.840390,7.497481
PPP1R35,11.508143,10.700492,10.863379,9.886896,8.056772,10.824953
POLR2J3,8.610410,6.628736,7.295053,5.411548,4.523420,6.095020
PMPCB,3.775792,3.091061,1.731971,3.323192,2.454344,3.626284
SYPL1,52.493572,45.580994,47.999878,43.733006,41.677933,49.530479
NAMPT,0.616330,0.266233,1.497049,0.183191,0.197661,0.294701
MDFIC,1.932147,1.520847,2.330000,1.949267,1.695431,1.546212
LSM8,0.375211,0.640195,0.946111,0.595702,0.702117,0.798208
NDUFA5,2.213322,3.912694,1.424291,3.628708,2.540443,4.341741
ATP6V1F,4.785019,2.583089,2.007710,4.180885,4.280382,3.228465
RP11-138A9.2,12.541257,12.506243,4.567935,11.829862,12.035343,12.973519
AKR1B1,17.468630,15.593439,8.864809,12.775693,12.742860,14.319833
AC090498.1,5.532458,4.824937,4.754014,5.208707,4.418480,4.755377
NDUFB2,0.460892,0.470853,0.523965,0.441946,0.267201,0.544987
SSBP1,2.369935,3.915142,5.552464,4.626119,4.480561,3.921045
TRBC1,0.662492,0.285163,0.357983,0.459576,0.278567,0.371540
TRBC2,5.839248,6.629434,7.455843,5.556034,4.786444,6.108738
GSTK1,2.692332,2.568487,3.841599,2.358345,4.079278,3.672070
GIMAP7,7.993452,9.055264,5.455339,8.510007,9.450734,7.102976
GIMAP4,6.084133,6.197095,6.357342,6.073472,5.049242,6.461854
GIMAP6,0.283121,0.689075,0.716559,0.461850,0.653250,0.736425
GIMAP2,47.586578,52.416115,32.250549,54.672291,54.318226,48.410786
GIMAP1,7.684228,6.491243,4.783125,9.353183,8.162339,7.521137
SLC25A6,59.250992,49.176105,20.298120,38.387535,37.503326,34.294189
P2RY8,85.850029,65.232040,29.328459,63.103947,68.444923,54.871387
CD99,11.229811,12.992771,13.851495,15.362488,14.059655,12.394854
OFD1,0.408404,0.218316,0.203678,1.020748,0.155097,0.314732
RBBP7,9.634920,20.315956,25.541241,18.674259,14.924838,16.222120
EIF1AX,6.942270,6.639064,6.653075,7.691613,7.796642,7.494596
SAT1,3.771181,4.195843,3.001837,4.294109,4.196414,4.277064
NDUFB11,19.706116,12.074866,4.589827,9.264565,10.764956,10.391845
UXT,13.388421,13.958203,12.856873,12.202563,11.226389,13.321766
RBM3,3.424973,6.218078,5.783569,10.016416,9.312803,9.599975
PQBP1,0.013703,0.011216,0.123777,0.009293,0.033058,0.019800
LINC01420,502.467926,471.177734,272.123352,466.500031,448.843018,444.823639
IGBP1,13.020300,11.515218,3.863150,9.492706,8.261970,7.301817
NONO,53.158951,39.898956,25.632877,39.776482,44.812737,35.547401
CXCR3,2.152725,1.558397,1.357104,1.646515,1.199289,1.639140
RPS4X,0.154966,0.174620,0.002229,0.118356,0.182332,0.173655
ITM2A,0.589078,0.563135,0.177056,0.653121,0.524143,0.853328
RPL36A,0.087095,0.018441,0.130731,0.054031,0.065089,0.063258
TCEAL8,62.892658,50.237598,56.779869,57.374233,58.460510,51.279251
SLC25A5,8.915532,9.843193,11.048000,10.075170,9.257339,8.704293
44445,2.237598,1.420180,0.758535,1.712739,1.586023,0.928180
RPL39,8.249288,9.812182,5.296487,11.375809,9.726026,8.383498
SH2D1A,1.496159,2.814158,6.843988,9.212543,3.034217,5.752118
CD40LG,1.439507,1.509997,0.725489,1.140206,1.271459,1.119669
RBMX,10.068830,13.680774,5.069630,12.854732,12.153749,11.536201
IDH3G,1.797806,0.785919,0.186667,0.154604,0.451244,0.387151
SSR4,8.828558,10.584276,8.557055,8.801087,8.621036,9.081861
FLNA,9.413224,6.771587,4.580203,5.187190,5.754586,6.546001
RPL10,0.431428,0.558359,0.553279,0.948209,1.002594,0.843842
FUNDC2,0.313783,0.299452,0.164959,0.249004,0.624386,0.155582
PCM1,4.797402,11.753063,4.756283,9.726952,6.402166,9.866227
DOK2,6.723473,9.289498,4.616687,7.981795,6.421147,7.308722
SLC25A37,2.750429,2.755134,1.900314,2.599189,2.583832,2.363202
LEPROTL1,16.559401,17.455685,20.368105,17.351841,16.392204,19.036966
VDAC3,1.330604,1.385256,0.347067,0.447829,0.285677,0.249483
FNTA,4.528878,5.128173,2.255460,4.379364,4.547738,5.125590
TCEA1,25.471123,15.513046,5.523354,15.053871,14.651421,13.598730
TRAM1,8.788177,7.902127,3.798673,7.659632,7.206995,9.475302
RPL7,7.764555,9.203123,5.624550,6.989399,6.472764,8.164501
C8orf59,2.443753,1.405656,0.351497,0.966472,1.225831,1.496199
UQCRB,14.497415,23.046343,24.350695,24.502344,19.916569,18.094728
MTDH,0.347625,0.679763,0.682895,0.735819,0.663478,0.521779
RPL30,19.357151,12.744626,14.792208,15.449302,13.348550,13.926821
COX6C,2.162475,2.852316,0.848915,3.049176,2.121319,2.482416
POLR2K,7.238724,7.500111,4.795290,6.978042,6.718177,6.782616
ZNF706,1.965223,1.227581,0.875499,1.862536,1.857947,0.845558
EIF3E,2.007146,1.454733,0.312301,1.269891,1.273574,1.561829
EIF3H,7.284567,8.379499,5.154812,6.318529,5.581453,6.220742
NDUFB9,4.833703,3.899910,4.348089,5.019724,5.941426,4.115837
LINC00861,6.995206,8.153299,5.443376,9.349765,7.477406,8.514658
MYC,8.848161,9.949876,5.158461,8.786486,8.531663,8.687349
LY6E,1.815678,2.507513,2.005302,2.182587,1.923799,2.374428
EEF1D,9.913424,8.728378,4.877014,6.150013,5.765734,10.304885
PUF60,8.148170,6.425563,3.289276,9.254088,8.085506,7.408137
CYC1,18.611084,16.195908,8.474182,15.651841,16.155855,17.824432
MAF1,36.548950,27.922146,12.849529,27.830973,26.128443,22.733923
RPL8,0.355935,0.349805,0.837282,0.304702,0.234311,0.406167
PSIP1,6.885450,6.359774,3.474076,7.624639,5.660455,8.142950
RPS6,3.492520,3.783494,3.136359,4.881661,3.560364,4.276124
AQP3,27.742804,23.238873,9.085761,22.119051,23.577078,19.363146
SIT1,6.515826,10.995335,5.248912,8.692120,9.781326,10.185978
CCDC107,8.231011,6.145165,4.642676,5.292387,4.492219,5.536564
