"Site" "Stage" "cluster" "UMAP1" "UMAP2" "nGene" "nUMI"
"B2_TKR180900710_HT3YJCCXY_L6_sc81" "Blood" "CS15" "MkP" -7.106571198 -4.906958103 7710 281804
"B2_TKR180900710_HT3YJCCXY_L6_sc82" "Blood" "CS15" "GMP" -2.953121662 -0.703339696 4711 69502
"B2_TKR180900710_HT3YJCCXY_L6_sc83" "Blood" "CS15" "GMP" -2.167136908 0.095862426 7345 539020
"B2_TKR180900710_HT3YJCCXY_L6_sc84" "Blood" "CS15" "YSMP" -5.26695776 -2.223763227 7368 593435
"B2_TKR180900710_HT3YJCCXY_L6_sc85" "Blood" "CS15" "Mast cell" -6.187427521 -2.793113232 4688 33455
"B2_TKR180900710_HT3YJCCXY_L6_sc86" "Blood" "CS15" "YSMP" -4.408406734 -1.563204169 5775 678372
"B2_TKR180900710_HT3YJCCXY_L6_sc88" "Blood" "CS15" "YSMP" -3.929348707 -1.380492687 5102 52534
"B2_TKR180900710_HT3YJCCXY_L6_sc89" "Blood" "CS15" "Myeloblast" -0.051221561 0.917020917 3733 53911
"B2_TKR180900710_HT3YJCCXY_L6_sc90" "Blood" "CS15" "MkP" -7.26200676 -5.195250511 2116 159153
"B2_TKR180900710_HT3YJCCXY_L6_sc91" "Blood" "CS15" "MkP" -7.371519566 -5.245403767 2020 65809
"B2_TKR180900710_HT3YJCCXY_L6_sc92" "Blood" "CS15" "CD7hiP" 0.064198218 -5.071229458 5251 341677
"B2_TKR180900710_HT3YJCCXY_L6_sc93" "Blood" "CS15" "CD7hiP" -0.645543456 -3.914106369 5994 127660
"B2_TKR180900710_HT3YJCCXY_L6_sc94" "Blood" "CS15" "ErP" -5.546266079 -3.250322342 7555 843835
"H1_TKR180900697_HT3YJCCXY_L5_sc2" "Head" "CS17" "Monocyte" 1.169938207 -4.515927792 4856 395779
"H1_TKR180900697_HT3YJCCXY_L5_sc3" "Head" "CS17" "Mac_2" 5.996479988 -1.508075833 2922 43027
"H1_TKR180900697_HT3YJCCXY_L5_sc4" "Head" "CS17" "Mac_4" 8.381411552 -1.734600902 4945 206377
"H1_TKR180900697_HT3YJCCXY_L5_sc5" "Head" "CS17" "Monocyte" 2.741384983 -1.469339967 3842 99320
"H1_TKR180900697_HT3YJCCXY_L5_sc6" "Head" "CS17" "Monocyte" 2.579620361 -0.754986107 2474 40095
"H1_TKR180900697_HT3YJCCXY_L5_sc7" "Head" "CS17" "Monocyte" 1.84297049 -1.264175653 4775 282961
"H1_TKR180900697_HT3YJCCXY_L5_sc55" "Head" "CS17" "CD7hiP" -0.758128762 -5.347587585 4201 259961
"H1_TKR180900697_HT3YJCCXY_L5_sc57" "Head" "CS17" "Monocyte" 2.091072321 -0.416784525 3518 72609
"H1_TKR180900697_HT3YJCCXY_L5_sc58" "Head" "CS17" "CD7hiP" -1.154283404 -4.307451248 6129 415025
"H1_TKR180900697_HT3YJCCXY_L5_sc59" "Head" "CS17" "YSMP" -5.01000309 -0.216019794 5310 304382
"H1_TKR180900697_HT3YJCCXY_L5_sc60" "Head" "CS17" "Myeloblast" 1.48475337 -0.174346209 5141 230503
"H1_TKR180900697_HT3YJCCXY_L5_sc61" "Head" "CS17" "Myeloblast" 0.629550099 -0.192766175 7095 684149
"H1_TKR180900697_HT3YJCCXY_L5_sc62" "Head" "CS17" "Mac_4" 9.813781738 -1.673671246 5169 295001
"H1_TKR180900697_HT3YJCCXY_L5_sc63" "Head" "CS17" "Myeloblast" 0.131050691 0.376507968 4795 242879
"H1_TKR180900697_HT3YJCCXY_L5_sc65" "Head" "CS17" "Mac_4" 8.695446014 -1.84654212 5157 342812
"H1_TKR180900697_HT3YJCCXY_L5_sc66" "Head" "CS17" "Monocyte" 0.918054581 -4.693050861 5450 204615
"H1_TKR180900697_HT3YJCCXY_L5_sc67" "Head" "CS17" "Mac_2" 5.599664211 -2.020555019 6744 775509
"H1_TKR180900697_HT3YJCCXY_L5_sc68" "Head" "CS17" "Mac_4" 8.854071617 -1.637183785 5590 471037
"H1_TKR180900697_HT3YJCCXY_L5_sc69" "Head" "CS17" "Myeloblast" -0.260832995 0.083806142 4644 131160
"H1_TKR180900697_HT3YJCCXY_L5_sc70" "Head" "CS17" "CD7hiP" 0.723774552 -4.830300331 6005 369486
"H1_TKR180900697_HT3YJCCXY_L5_sc71" "Head" "CS17" "CD7hiP" 0.22017312 -3.262469292 6613 725922
"H1_TKR180900697_HT3YJCCXY_L5_sc72" "Head" "CS17" "Myeloblast" 0.181410864 0.552678645 4447 195268
"H1_TKR180900697_HT3YJCCXY_L5_sc73" "Head" "CS17" "Mac_2" 5.804604053 -1.639251113 2068 10345
"H1_TKR180900697_HT3YJCCXY_L5_sc74" "Head" "CS17" "Mac_2" 5.779446125 -1.333859444 5276 388231
"H1_TKR180900697_HT3YJCCXY_L5_sc75" "Head" "CS17" "Monocyte" -7.507455349 -4.861338139 6555 94171
"H1_TKR180900697_HT3YJCCXY_L5_sc80" "Head" "CS17" "Myeloblast" 0.184575692 0.20140487 6484 645498
"H1_TKR180900697_HT3YJCCXY_L5_sc81" "Head" "CS17" "Mac_2" 5.625315189 -2.14510417 3411 50816
"H1_TKR180900697_HT3YJCCXY_L5_sc82" "Head" "CS17" "CD7loP" 1.429943562 -1.883864045 5310 172917
"H1_TKR180900697_HT3YJCCXY_L5_sc83" "Head" "CS17" "Myeloblast" 0.052608076 1.012746334 2733 94071
"H1_TKR180900697_HT3YJCCXY_L5_sc86" "Head" "CS17" "Mac_4" 9.16665554 -2.010137796 4427 385452
"H1_TKR180900697_HT3YJCCXY_L5_sc91" "Head" "CS17" "Monocyte" 2.41475153 -1.05403769 3956 170832
"H1_TKR180900697_HT3YJCCXY_L5_sc92" "Head" "CS17" "CD7hiP" -1.365817428 -5.671200752 6282 463096
"H1_TKR180900697_HT3YJCCXY_L5_sc93" "Head" "CS17" "CD7loP" 2.545645237 -2.527881861 3294 49099
"H1_TKR180900697_HT3YJCCXY_L5_sc94" "Head" "CS17" "Monocyte" 2.601989031 -0.850877881 5111 326061
"YS7_TKR180900701_HT3YJCCXY_L3_sc1" "YS" "CS11" "Mac_1" 6.431943417 -0.041108653 6040 309221
"YS7_TKR180900701_HT3YJCCXY_L3_sc2" "YS" "CS11" "Mac_1" 6.044199944 0.754857361 7096 531733
"YS7_TKR180900701_HT3YJCCXY_L3_sc3" "YS" "CS11" "Mac_1" 6.353663445 -0.078311436 6115 256213
"YS7_TKR180900701_HT3YJCCXY_L3_sc4" "YS" "CS11" "Mac_1" 6.250592709 1.09719193 5763 135102
"YS7_TKR180900701_HT3YJCCXY_L3_sc5" "YS" "CS11" "Mac_1" 6.405055046 1.340811968 3819 35768
"YS7_TKR180900701_HT3YJCCXY_L3_sc6" "YS" "CS11" "Mac_1" 5.961884975 0.108047403 3930 37478
"YS7_TKR180900701_HT3YJCCXY_L3_sc7" "YS" "CS11" "Mac_1" 5.937497139 1.088191271 5082 93744
"YS7_TKR180900701_HT3YJCCXY_L3_sc8" "YS" "CS11" "Mac_1" 5.790431499 0.665080845 3143 21344
"YS7_TKR180900701_HT3YJCCXY_L3_sc9" "YS" "CS11" "Mac_1" 6.126132488 0.704666793 4262 104272
"YS7_TKR180900701_HT3YJCCXY_L3_sc11" "YS" "CS11" "Mac_1" 5.901674271 0.879931986 4215 43908
"YS7_TKR180900701_HT3YJCCXY_L3_sc12" "YS" "CS11" "YSMP" -5.390648365 0.075618245 7574 606120
"YS7_TKR180900701_HT3YJCCXY_L3_sc13" "YS" "CS11" "Mac_1" 6.602725983 0.772410154 6814 519180
"YS7_TKR180900701_HT3YJCCXY_L3_sc16" "YS" "CS11" "Monocyte" 5.41253233 1.614646196 7220 881183
"YS7_TKR180900701_HT3YJCCXY_L3_sc17" "YS" "CS11" "Myeloblast" 1.658932686 -0.2353995 4497 106471
"YS7_TKR180900701_HT3YJCCXY_L3_sc18" "YS" "CS11" "Mac_1" 5.852007389 0.997964621 9406 766510
"YS7_TKR180900701_HT3YJCCXY_L3_sc19" "YS" "CS11" "YSMP" -5.326311111 -0.05450248 8163 675151
"YS7_TKR180900701_HT3YJCCXY_L3_sc20" "YS" "CS11" "Mac_1" 5.874717236 0.797740817 4623 71668
"YS7_TKR180900701_HT3YJCCXY_L3_sc21" "YS" "CS11" "YSMP" -5.265008926 0.041747056 4327 81088
"YS7_TKR180900701_HT3YJCCXY_L3_sc22" "YS" "CS11" "Mac_1" 6.549673557 1.047240257 5361 208346
"YS7_TKR180900701_HT3YJCCXY_L3_sc24" "YS" "CS11" "YSMP" -5.420242786 0.105827004 6228 271380
"YS7_TKR180900701_HT3YJCCXY_L3_sc25" "YS" "CS11" "Mac_1" 6.142577648 1.120483756 3463 38640
"YS7_TKR180900701_HT3YJCCXY_L3_sc26" "YS" "CS11" "YSMP" -5.452087402 0.164532945 5006 215640
"YS7_TKR180900701_HT3YJCCXY_L3_sc27" "YS" "CS11" "Mac_1" 6.076916218 0.639337242 5816 219965
"YS7_TKR180900701_HT3YJCCXY_L3_sc28" "YS" "CS11" "Mac_1" 6.116892338 1.081200361 3635 44401
"YS7_TKR180900701_HT3YJCCXY_L3_sc29" "YS" "CS11" "Mac_1" 6.69242239 0.630421937 5189 165261
"YS7_TKR180900701_HT3YJCCXY_L3_sc30" "YS" "CS11" "Mac_1" 5.866076469 0.225135237 6669 613932
"YS7_TKR180900701_HT3YJCCXY_L3_sc32" "YS" "CS11" "Mac_1" 6.062242031 1.107345819 4551 109166
"YS7_TKR180900701_HT3YJCCXY_L3_sc33" "YS" "CS11" "YSMP" -5.420826435 -0.095298886 4798 354267
"YS7_TKR180900701_HT3YJCCXY_L3_sc35" "YS" "CS11" "Mac_1" 6.185323238 1.115786433 4377 108907
"YS7_TKR180900701_HT3YJCCXY_L3_sc36" "YS" "CS11" "Mac_1" 5.808220863 0.702506483 4245 116585
"YS7_TKR180900701_HT3YJCCXY_L3_sc37" "YS" "CS11" "ErP" -6.473219395 -3.239000082 4851 143159
"YS7_TKR180900701_HT3YJCCXY_L3_sc38" "YS" "CS11" "MkP" -7.411459923 -4.713732243 7431 792582
"YS7_TKR180900701_HT3YJCCXY_L3_sc39" "YS" "CS11" "Mac_1" 6.245695114 0.976147473 3653 38922
"YS7_TKR180900701_HT3YJCCXY_L3_sc40" "YS" "CS11" "Mac_1" 6.019067764 1.479094744 7653 667498
"YS7_TKR180900701_HT3YJCCXY_L3_sc41" "YS" "CS11" "Mac_1" 6.525823593 0.660251379 5412 248124
"YS7_TKR180900701_HT3YJCCXY_L3_sc43" "YS" "CS11" "Mac_1" 5.448497295 0.60283941 4845 103553
"YS7_TKR180900701_HT3YJCCXY_L3_sc44" "YS" "CS11" "YSMP" -5.349219322 0.116333336 5513 473363
"YS7_TKR180900701_HT3YJCCXY_L3_sc45" "YS" "CS11" "Mac_1" 6.570963383 0.834396064 5183 384730
"YS7_TKR180900701_HT3YJCCXY_L3_sc46" "YS" "CS11" "Mac_1" 6.559227467 0.507216811 3827 47270
"YS7_TKR180900701_HT3YJCCXY_L3_sc47" "YS" "CS11" "Mac_1" 6.287423134 0.566650271 5996 325543
"YS7_TKR180900701_HT3YJCCXY_L3_sc48" "YS" "CS11" "ErP" -6.132091045 -2.806863785 6222 556335
"YS7_TKR180900701_HT3YJCCXY_L3_sc50" "YS" "CS11" "Mac_1" 6.496660233 0.706406832 4167 213844
"FL4_TKR180900708_HT3YJCCXY_L6_sc1" "Liver" "CS15" "CD7hiP" -0.680880427 -4.003295422 6493 192069
"FL4_TKR180900708_HT3YJCCXY_L6_sc2" "Liver" "CS15" "MkP" -6.873654366 -4.361360073 7380 411416
"FL4_TKR180900708_HT3YJCCXY_L6_sc3" "Liver" "CS15" "CD7hiP" -0.672870636 -5.316910744 5737 123832
"FL4_TKR180900708_HT3YJCCXY_L6_sc4" "Liver" "CS15" "CD7hiP" -0.62282598 -4.362108707 7077 190369
"FL4_TKR180900708_HT3YJCCXY_L6_sc6" "Liver" "CS15" "CD7hiP" -1.005578399 -4.135706425 5242 52402
"FL4_TKR180900708_HT3YJCCXY_L6_sc7" "Liver" "CS15" "MkP" -7.236650944 -4.914494991 6156 92244
"FL4_TKR180900708_HT3YJCCXY_L6_sc8" "Liver" "CS15" "CD7hiP" -0.8195858 -4.923373699 3447 13915
"FL4_TKR180900708_HT3YJCCXY_L6_sc55" "Liver" "CS15" "CD7hiP" 0.336956412 -4.621757984 4714 138317
"FL4_TKR180900708_HT3YJCCXY_L6_sc56" "Liver" "CS15" "CD7hiP" -0.344179213 -3.713209152 5116 59882
"FL4_TKR180900708_HT3YJCCXY_L6_sc57" "Liver" "CS15" "CD7hiP" -1.212890625 -4.259345531 5478 99297
"FL4_TKR180900708_HT3YJCCXY_L6_sc58" "Liver" "CS15" "CD7hiP" -0.644093215 -4.937273979 5453 172808
"FL4_TKR180900708_HT3YJCCXY_L6_sc59" "Liver" "CS15" "CD7hiP" 0.469603688 -3.929548025 5722 80592
"FL4_TKR180900708_HT3YJCCXY_L6_sc60" "Liver" "CS15" "CD7hiP" 0.66208452 -3.987074137 5376 138977
"FL4_TKR180900708_HT3YJCCXY_L6_sc61" "Liver" "CS15" "CD7hiP" -0.544106126 -4.349318504 5902 121170
"FL4_TKR180900708_HT3YJCCXY_L6_sc62" "Liver" "CS15" "ErP" -5.514071465 -3.058459759 6108 236082
"FL4_TKR180900708_HT3YJCCXY_L6_sc63" "Liver" "CS15" "ErP" -6.386209965 -3.612146378 7347 306420
"FL4_TKR180900708_HT3YJCCXY_L6_sc64" "Liver" "CS15" "CD7hiP" -0.289046079 -4.095227718 6613 227731
"FL4_TKR180900708_HT3YJCCXY_L6_sc65" "Liver" "CS15" "CD7hiP" -0.596248388 -5.333215714 4645 53140
"FL4_TKR180900708_HT3YJCCXY_L6_sc66" "Liver" "CS15" "CD7hiP" -0.872058451 -5.236022472 4632 63463
"FL4_TKR180900708_HT3YJCCXY_L6_sc67" "Liver" "CS15" "CD7hiP" -0.53119278 -5.192317009 4738 148385
"FL4_TKR180900708_HT3YJCCXY_L6_sc68" "Liver" "CS15" "CD7hiP" 0.627755284 -4.176208496 6377 290561
"FL4_TKR180900708_HT3YJCCXY_L6_sc69" "Liver" "CS15" "CD7hiP" 0.351327449 -4.855416775 3493 21879
"FL4_TKR180900708_HT3YJCCXY_L6_sc70" "Liver" "CS15" "CD7hiP" -0.335077941 -5.074968815 5501 141056
"FL4_TKR180900708_HT3YJCCXY_L6_sc71" "Liver" "CS15" "CD7hiP" -1.242375612 -4.219156742 5906 390969
"FL4_TKR180900708_HT3YJCCXY_L6_sc72" "Liver" "CS15" "Mast cell" -7.728378296 -2.126427412 6405 287289
"FL4_TKR180900708_HT3YJCCXY_L6_sc74" "Liver" "CS15" "CD7hiP" -0.620957971 -3.677449226 6978 821978
"FL4_TKR180900708_HT3YJCCXY_L6_sc75" "Liver" "CS15" "CD7hiP" -0.616741419 -5.109555244 5468 76852
"FL4_TKR180900708_HT3YJCCXY_L6_sc76" "Liver" "CS15" "CD7hiP" -7.498099327 -5.014690399 7978 32807
"FL4_TKR180900708_HT3YJCCXY_L6_sc77" "Liver" "CS15" "CD7loP" 1.104766488 -2.380155802 7607 939583
"FL4_TKR180900708_HT3YJCCXY_L6_sc78" "Liver" "CS15" "CD7hiP" -1.161646128 -3.936424971 5489 168109
"FL4_TKR180900708_HT3YJCCXY_L6_sc79" "Liver" "CS15" "CD7hiP" -0.408696741 -4.806173801 6318 225626
"FL4_TKR180900708_HT3YJCCXY_L6_sc80" "Liver" "CS15" "MkP" -6.907948017 -4.617099762 7496 793190
"FL4_TKR180900708_HT3YJCCXY_L6_sc81" "Liver" "CS15" "CD7hiP" -0.831833065 -5.449086189 7066 130734
"FL4_TKR180900708_HT3YJCCXY_L6_sc82" "Liver" "CS15" "CD7hiP" -0.245290861 -4.747343063 5380 65568
"FL4_TKR180900708_HT3YJCCXY_L6_sc83" "Liver" "CS15" "CD7hiP" 0.511471748 -5.048897743 3937 118506
"FL4_TKR180900708_HT3YJCCXY_L6_sc84" "Liver" "CS15" "CD7hiP" -1.101165533 -3.785520792 6296 329033
"FL4_TKR180900708_HT3YJCCXY_L6_sc85" "Liver" "CS15" "CD7hiP" 0.237986267 -4.801044464 5605 31328
"FL4_TKR180900708_HT3YJCCXY_L6_sc86" "Liver" "CS15" "Myeloblast" 0.859220326 0.816760182 3326 79505
"FL4_TKR180900708_HT3YJCCXY_L6_sc87" "Liver" "CS15" "YSMP" -4.666110039 -1.891516924 6807 118766
"FL4_TKR180900708_HT3YJCCXY_L6_sc88" "Liver" "CS15" "Mast cell" -6.875339985 -2.206790686 3905 27785
"FL4_TKR180900708_HT3YJCCXY_L6_sc89" "Liver" "CS15" "MkP" -7.317304611 -5.084821224 8596 735428
"FL4_TKR180900708_HT3YJCCXY_L6_sc90" "Liver" "CS15" "CD7loP" 0.940713942 -4.006352425 6024 237161
"FL4_TKR180900708_HT3YJCCXY_L6_sc91" "Liver" "CS15" "CD7loP" 0.974208534 -2.889382362 6321 226091
"FL4_TKR180900708_HT3YJCCXY_L6_sc93" "Liver" "CS15" "CD7hiP" 0.54140228 -5.036000252 3368 26034
"FL4_TKR180900708_HT3YJCCXY_L6_sc94" "Liver" "CS15" "CD7hiP" 0.085948505 -3.418931484 6209 288280
"H2_TKR180900698_HT3YJCCXY_L5_sc2" "Head" "CS15" "CD7hiP" 1.038216233 -4.324266911 7077 267354
"H2_TKR180900698_HT3YJCCXY_L5_sc3" "Head" "CS15" "CD7hiP" -0.706951857 -5.489404202 4521 63249
"H2_TKR180900698_HT3YJCCXY_L5_sc5" "Head" "CS15" "CD7loP" -0.497715324 -3.350620747 2942 15457
"H2_TKR180900698_HT3YJCCXY_L5_sc6" "Head" "CS15" "Monocyte" 2.798445702 -2.007063866 4682 47499
"H2_TKR180900698_HT3YJCCXY_L5_sc56" "Head" "CS15" "CD7hiP" -1.131560326 -4.683203697 5262 45545
"H2_TKR180900698_HT3YJCCXY_L5_sc57" "Head" "CS15" "CD7hiP" 0.626717448 -4.805141926 5649 57062
"H2_TKR180900698_HT3YJCCXY_L5_sc58" "Head" "CS15" "CD7hiP" 0.323155642 -3.523000956 8386 574316
"H2_TKR180900698_HT3YJCCXY_L5_sc60" "Head" "CS15" "CD7loP" 1.663719416 -2.970190287 8199 281527
"H2_TKR180900698_HT3YJCCXY_L5_sc62" "Head" "CS15" "CD7hiP" 0.444087446 -3.624568939 5760 120124
"H2_TKR180900698_HT3YJCCXY_L5_sc66" "Head" "CS15" "Monocyte" 1.561102509 -1.882037044 5719 92906
"H2_TKR180900698_HT3YJCCXY_L5_sc68" "Head" "CS15" "CD7hiP" -0.061636593 -3.856583357 6445 327896
"H2_TKR180900698_HT3YJCCXY_L5_sc69" "Head" "CS15" "CD7hiP" -0.707435608 -4.352665424 5053 49828
"H2_TKR180900698_HT3YJCCXY_L5_sc70" "Head" "CS15" "GMP" -2.800014257 -0.529929399 7878 282496
"H2_TKR180900698_HT3YJCCXY_L5_sc72" "Head" "CS15" "Monocyte" 3.466156244 -1.673418999 5783 161113
"H2_TKR180900698_HT3YJCCXY_L5_sc73" "Head" "CS15" "MkP" -7.535434246 -5.208283424 6479 69463
"H2_TKR180900698_HT3YJCCXY_L5_sc77" "Head" "CS15" "CD7hiP" 0.491472155 -3.264503956 8575 823957
"H2_TKR180900698_HT3YJCCXY_L5_sc85" "Head" "CS15" "CD7loP" 0.569780529 -2.896460295 6865 75740
"H2_TKR180900698_HT3YJCCXY_L5_sc87" "Head" "CS15" "CD7hiP" -3.312192678 -2.497983217 7748 176401
"H2_TKR180900698_HT3YJCCXY_L5_sc88" "Head" "CS15" "Monocyte" 2.403559208 -1.895353556 4814 26885
"H2_TKR180900698_HT3YJCCXY_L5_sc91" "Head" "CS15" "CD7hiP" -0.805201113 -3.762314558 6030 163581
"FL1_TKR180900695_HT3YJCCXY_L4_sc1" "Liver" "CS17" "Mast cell" -7.738222122 -2.205390453 6322 602802
"FL1_TKR180900695_HT3YJCCXY_L4_sc3" "Liver" "CS17" "CD7loP" 3.477772236 -2.92918849 3536 110564
"FL1_TKR180900695_HT3YJCCXY_L4_sc4" "Liver" "CS17" "GMP" -2.221924543 -0.013337975 3815 232360
"FL1_TKR180900695_HT3YJCCXY_L4_sc5" "Liver" "CS17" "CD7hiP" -0.513514876 -4.747983932 2300 88981
"FL1_TKR180900695_HT3YJCCXY_L4_sc6" "Liver" "CS17" "CD7hiP" -1.592265964 -4.1486063 3391 200250
"FL1_TKR180900695_HT3YJCCXY_L4_sc7" "Liver" "CS17" "CD7hiP" -2.773361206 -3.091461182 5002 627226
"FL1_TKR180900695_HT3YJCCXY_L4_sc8" "Liver" "CS17" "CD7loP" 0.826715291 -3.739071608 3285 96248
"FL1_TKR180900695_HT3YJCCXY_L4_sc55" "Liver" "CS17" "ErP" -6.981584072 -2.407953501 5065 465647
"FL1_TKR180900695_HT3YJCCXY_L4_sc56" "Liver" "CS17" "Myeloblast" 0.081379645 0.727526963 2479 113849
"FL1_TKR180900695_HT3YJCCXY_L4_sc57" "Liver" "CS17" "CD7loP" 0.908204854 -3.735964537 3566 86024
"FL1_TKR180900695_HT3YJCCXY_L4_sc58" "Liver" "CS17" "CD7loP" 1.378470063 -1.904729605 5824 718777
"FL1_TKR180900695_HT3YJCCXY_L4_sc59" "Liver" "CS17" "Mac_2" 6.836011887 -3.537751675 3057 86318
"FL1_TKR180900695_HT3YJCCXY_L4_sc60" "Liver" "CS17" "Mast cell" -7.039890766 -2.278000116 4626 271326
"FL1_TKR180900695_HT3YJCCXY_L4_sc61" "Liver" "CS17" "Monocyte" 2.705978155 -1.705561876 4429 175640
"FL1_TKR180900695_HT3YJCCXY_L4_sc62" "Liver" "CS17" "Monocyte" 2.177048206 -1.596353292 4990 342173
"FL1_TKR180900695_HT3YJCCXY_L4_sc63" "Liver" "CS17" "Monocyte" 2.681940079 -1.645046949 4852 321813
"FL1_TKR180900695_HT3YJCCXY_L4_sc64" "Liver" "CS17" "CD7loP" -7.122704983 -5.061610699 3926 49494
