Gene_name,ST1,ST2,ST3,TZ1,TZ2,TZ3,TL1,TL2,TL3,TL4,TL5,TS1,TS2,TS3,TS4,TQ1,TQ2,TQ3
CCT7,1.206517,0.415772,0.067628,0.655032,0.307427,0.22425,3.449855,4.354808,3.187849,3.840763,3.169037,3.923318,19.994703,15.737497,6.218835,14.373586,16.644043,13.942251
DGUOK,0.218764,0.090968,0.032009,0.075019,0,0.036785,20.764214,23.890556,27.42342,27.097191,23.814394,26.911274,4.574646,4.025426,3.376314,2.923187,4.700915,5.039661
AUP1,4.210188,4.767195,6.816226,5.858547,5.213502,5.467368,1.920705,1.814099,1.973433,1.534813,1.336453,1.484801,5.025841,6.197258,5.597645,6.76725,6.419372,5.527954
POLE4,15.476759,12.73865,14.792996,11.681952,9.624759,10.810255,3.634239,4.92312,3.149653,4.463892,3.341545,4.784166,1.211205,1.015909,0.535301,0.928829,1.039822,0.696721
TMSB10,4.884621,5.808569,4.256186,6.058019,6.193021,5.459369,176.246979,119.513268,28.626896,80.94088,89.701172,73.921295,0.060933,0.004293,0.123919,0.01305,0.04706,0.011484
VAMP8,0.912979,0.312589,0.009187,0.006601,0.011301,0.010355,0.786678,0.236515,0.429781,0.23941,0.393559,0.436373,0.020811,0.011643,0.029813,0.019879,0.013119,0.010363
VAMP5,19.829767,21.764601,19.448166,21.992073,21.129503,23.815596,6.96322,6.7284,4.96786,6.591085,6.112781,7.236477,555.860046,363.220367,249.195908,321.479065,370.653717,298.504608
MAL,1.619791,0.945097,0.301012,2.334525,0.924248,1.187209,24.498236,20.897341,20.384136,19.177071,21.251472,23.438311,0.323707,0.367952,0.224442,0.391495,0.193604,0.340704
DUSP2,0.737191,0.428786,0.289408,0.539236,0.363338,0.584951,27.312832,20.454012,22.479738,15.235618,16.797989,26.116278,7.198071,10.815453,10.637264,11.281719,9.001639,11.782616
ZAP70,1.296469,0.843001,0.522067,0.600991,0.652947,0.823644,13.066854,6.403805,28.554617,18.672947,10.160129,17.190889,4.90774,4.689183,3.932331,4.737701,3.59913,5.196073
MGAT4A,1.00748,0.675568,0.255771,0.34146,0.520892,0.469865,3.881593,4.000012,2.819662,4.028562,3.52977,3.852645,0.61147,0.475367,0.756094,0.444497,0.259698,0.169563
EIF5B,11.70633,13.233772,9.348841,11.181652,9.113017,12.655081,17.245434,16.055199,12.360912,13.095449,12.044059,14.133701,2.948241,1.780774,1.748882,2.557257,2.159296,2.58212
RPL31,15.185005,16.374908,18.948185,17.070501,12.546562,16.232815,0.154886,0.158574,0.094808,0.090283,0.096791,0.107046,4.453293,8.873664,3.578961,5.562244,4.679965,4.559452
NCK2,0.130986,0.037294,0.057023,0,0.043165,0.018075,5.835488,7.963799,4.138497,7.351521,6.870716,5.116601,50.176228,46.191257,30.865841,42.179482,39.703865,46.453545
GCC2,98.251007,98.173126,68.309326,90.918465,82.250404,91.846375,42.931225,43.905117,27.1311,38.898151,31.970881,41.845161,10.658312,11.066247,18.235962,11.30624,10.21872,12.457676
LIMS1,0.824907,0.573936,0.171056,0.467334,0.484141,0.467973,0.116316,0.108687,0.073359,0.351785,0.460508,0.30752,8.386405,7.663893,5.579731,7.701944,5.74479,8.317348
