measure,sex,age,cps,val
Log Koc,Lake,L7,Log Kd SCCPs,4.94 
Log Koc,Lake,L8,Log Kd SCCPs,4.82 
Log Koc,Lake,L9,Log Kd SCCPs,4.21 
Log Koc,Lake,L10,Log Kd SCCPs,4.01 
Log Koc,Lake,L11,Log Kd SCCPs,3.68 
Log Koc,Lake,L12,Log Kd SCCPs,4.10 
Log Koc,Lake,L13,Log Kd SCCPs,3.18 
Log Koc,Lake,L14,Log Kd SCCPs,3.86 
Log Koc,Lake,L15,Log Kd SCCPs,3.56 
Log Koc,Lake,L16,Log Kd SCCPs,3.43 
Log Koc,Lake,L1,Log Kd MCCPs,3.93 
Log Koc,Lake,L2,Log Kd MCCPs,4.63 
Log Koc,Lake,L3,Log Kd MCCPs,6.88 
Log Koc,Lake,L4,Log Kd MCCPs,6.57 
Log Koc,Lake,L5,Log Kd MCCPs,6.20 
Log Koc,Lake,L6,Log Kd MCCPs,4.35 
Log Koc,Lake,L7,Log Kd MCCPs,4.80 
Log Koc,Lake,L8,Log Kd MCCPs,4.08 
Log Koc,Lake,L9,Log Kd MCCPs,4.53 
Log Koc,Lake,L10,Log Kd MCCPs,4.54 
Log Koc,Lake,L11,Log Kd MCCPs,4.74 
Log Koc,Lake,L12,Log Kd MCCPs,4.66 
Log Koc,Lake,L13,Log Kd MCCPs,4.20 
Log Koc,Lake,L14,Log Kd MCCPs,4.42 
Log Koc,Lake,L15,Log Kd MCCPs,3.77 
Log Koc,Lake,L16,Log Kd MCCPs,3.09 
