Cluster,Group,Description,GeneRatio,BgRatio,P values,Padj,LOGP,GeneID,Count
Cluster1,Severe,myeloid cell differentiation,0.070107108,416/18670,2.48E-18,1.23E-15,15 ,ACTN1/AGO4/APP/BATF2/BCL6/CBFA2T3/CCL3/CCR1/CEACAM1/CEBPB/CLEC1B/CSF1/CSF3R/EVI2B/F2RL1/FCER1G/FES/FOS/G6PD/GAB2/GATA2/GP1BA/HCLS1/HIF1A/HIPK2/HSPA1A/HSPA1B/ITGA2B/JMJD6/JUN/JUNB/KLF2/KMT2D/LILRB3/LTBR/LTF/LYN/MAFB/MAPK14/MEIS1/MMP9/MPL/NBEAL2/NFKBIA/NR4A3/OSCAR/PAF1/PDE1B/PIK3CD/RARA/RASGRP4/RASSF2/RELB/SBNO2/SNX10/SPI1/STAT3/TCIRG1/TET2/TFE3/THBS1/THOC5/THRA/TLR2/TLR4/TNF/TRIB1/TSPAN2/TYROBP/VEGFA/ZFP36/ZFP36L1,72
Cluster1,Severe,cellular response to molecule of bacterial origin,0.047711782,212/18670,4.39E-18,2.00E-15,15 ,ABCA1/ADAM9/BMP6/BPI/CCL3/CD14/CD55/CD68/CDK19/CEBPB/CXCL1/CXCL8/DEFA1/DEFA1B/DEFA3/DEFA4/HCK/ICAM1/IL1B/IL1RN/LCN2/LILRA2/LILRB2/LITAF/LTF/LY96/LYN/MAPK14/MAPK3/NFKBIA/NOD2/NR1H2/PAF1/PDE4B/PTAFR/RARA/RIPK2/SBNO2/SIRPA/TBXA2R/TLR1/TLR2/TLR4/TLR6/TNF/TNFAIP3/TRIB1/ZC3H12A/ZFP36,49
Cluster1,Critical,myeloid leukocyte migration,0.046738072,210/18670,1.57E-17,6.57E-15,14 ,ADAM8/ADGRE2/ANO6/AZU1/BST1/C5AR1/C5AR2/CAMK1D/CCL3/CCL3L1/CCL3L3/CCL4L1/CCR1/CD177/CD300A/CD9/CKLF/CSF1/CSF3R/CXCL1/CXCL8/CXCR1/CXCR2/DAPK2/DUSP1/DYSF/FCER1G/FPR2/IL17RA/IL1B/IL1R1/IL1RN/IL6R/JAML/LYN/MAPK14/MAPK3/MDK/PDE4B/PECAM1/PIK3CD/PREX1/S100A12/S100A8/S100A9/SIRPA/THBS1/VEGFA,48
Cluster2,Asymptomatic,T cell activation,0.120629371,464/18670,3.27E-28,1.35E-24,24 ,ADA/BCL11B/BCL2/BTLA/CAMK4/CARD11/CBFB/CCR6/CCR7/CD160/CD2/CD27/CD28/CD3D/CD3E/CD3G/CD40LG/CD5/CD6/CD7/CD81/CD8A/CD8B/CLECL1/CTLA4/DLG5/DPP4/EOMES/ERBB2/FGL2/GATA3/GPR18/GPR183/ICOS/IL23A/IL2RA/IL7R/ITK/ITPKB/KLRK1/LAG3/LAX1/LCK/LEF1/NFATC2/NLRC3/PDCD1/PRKCQ/RAB29/RASGRP1/RORA/RORC/RUNX3/SIRPG/SIT1/SLAMF6/SMAD7/SOX13/TBX21/TCF7/TESPA1/TGFBR2/THEMIS/TIGIT/TMIGD2/TNFRSF4/YES1/ZAP70/ZNF683,69
Cluster2,Asymptomatic,T cell differentiation,0.078671329,240/18670,7.32E-23,1.51E-19,19 ,ADA/BCL11B/BCL2/CAMK4/CARD11/CBFB/CCR6/CCR7/CD2/CD27/CD28/CD3D/CD3E/CD3G/CD8A/CTLA4/EOMES/ERBB2/FGL2/GATA3/GPR18/GPR183/IL23A/IL2RA/IL7R/ITK/ITPKB/LAG3/LCK/LEF1/NFATC2/RASGRP1/RORA/RORC/RUNX3/SLAMF6/SMAD7/SOX13/TBX21/TCF7/TESPA1/TGFBR2/THEMIS/ZAP70/ZNF683,45
Cluster2,Asymptomatic,lymphocyte differentiation,0.092657343,353/18670,5.02E-22,6.90E-19,18 ,ADA/BCL11B/BCL2/BLNK/CAMK4/CARD11/CBFB/CCR6/CCR7/CD2/CD27/CD28/CD3D/CD3E/CD3G/CD40LG/CD8A/CTLA4/EOMES/ERBB2/FCRL3/FGL2/FLT3LG/GATA3/GPR18/GPR183/IKZF3/IL23A/IL2RA/IL7R/ITK/ITM2A/ITPKB/LAG3/LCK/LEF1/NFATC2/RASGRP1/RORA/RORC/RUNX3/SLAMF6/SMAD7/SOX13/TBX21/TCF7/TESPA1/TGFBR2/THEMIS/TOX/TPD52/ZAP70/ZNF683,53
Cluster2,Mild,regulation of T cell activation,0.083916084,314/18670,2.25E-20,2.32E-17,17 ,ADA/BTLA/CAMK4/CARD11/CBFB/CCR7/CD160/CD2/CD27/CD28/CD3E/CD40LG/CD5/CD6/CD81/CLECL1/CTLA4/DLG5/DPP4/ERBB2/FGL2/GATA3/ICOS/IL23A/IL2RA/IL7R/ITPKB/KLRK1/LAG3/LAX1/LCK/NFATC2/PDCD1/PRKCQ/RASGRP1/RUNX3/SIRPG/SIT1/SMAD7/SOX13/TBX21/TESPA1/TGFBR2/TIGIT/TMIGD2/YES1/ZAP70/ZNF683,48
Cluster2,Mild,regulation of lymphocyte activation,0.101398601,485/18670,4.45E-19,3.67E-16,15 ,ADA/BCL2/BTLA/CAMK4/CARD11/CBFB/CCR7/CD160/CD2/CD27/CD28/CD3E/CD40LG/CD5/CD6/CD81/CLECL1/CTLA4/DLG5/DPP4/ERBB2/EXOSC3/FCRL3/FGL2/FLT3LG/GATA3/GPR183/HLA-F/ICOS/IKZF3/IL23A/IL2RA/IL7R/ITPKB/KLRK1/LAG3/LAX1/LCK/MZB1/NFATC2/PDCD1/PRKCQ/RASGRP1/RUNX3/SIRPG/SIT1/SMAD7/SOX13/TBX21/TESPA1/TGFBR2/TIGIT/TMIGD2/TNFRSF4/TOX/YES1/ZAP70/ZNF683,58
Cluster2,Mild,regulation of leukocyte cell-cell adhesion,0.076923077,304/18670,7.79E-18,5.35E-15,14 ,ADA/BTLA/CARD11/CBFB/CCR7/CD160/CD27/CD28/CD3E/CD40LG/CD5/CD6/CD81/CLECL1/CTLA4/DLG5/DPP4/ERBB2/ETS1/FGL2/GATA3/ICOS/IL23A/IL2RA/IL7R/ITPKB/KLRK1/LAG3/LAX1/LCK/PDCD1/PRKCQ/RASGRP1/RUNX3/SIRPG/SKAP1/SMAD7/TBX21/TESPA1/TGFBR2/TIGIT/TMIGD2/YES1/ZAP70,44
Cluster2,Mild,leukocyte cell-cell adhesion,0.08041958,337/18670,1.42E-17,8.40E-15,14 ,ADA/BTLA/CARD11/CBFB/CCR7/CD160/CD27/CD28/CD3E/CD40LG/CD5/CD6/CD81/CLECL1/CTLA4/CX3CR1/DLG5/DPP4/ERBB2/ETS1/FGL2/GATA3/ICOS/IL23A/IL2RA/IL7R/ITPKB/KLRK1/LAG3/LAX1/LCK/NT5E/PDCD1/PRKCQ/RASGRP1/RUNX3/SIRPG/SKAP1/SMAD7/TBX21/TESPA1/TGFBR2/TIGIT/TMIGD2/YES1/ZAP70,46
Cluster2,Severe,positive regulation of leukocyte cell-cell adhesion,0.062937063,218/18670,1.16E-16,6.00E-14,13 ,ADA/BTLA/CARD11/CBFB/CCR7/CD160/CD27/CD28/CD3E/CD40LG/CD5/CD6/CD81/CLECL1/CTLA4/DPP4/ETS1/GATA3/ICOS/IL23A/IL2RA/IL7R/ITPKB/KLRK1/LCK/PDCD1/PRKCQ/RASGRP1/RUNX3/SIRPG/SKAP1/TESPA1/TGFBR2/TMIGD2/YES1/ZAP70,36
Cluster2,Severe,positive regulation of lymphocyte activation,0.076923077,334/18670,2.84E-16,1.30E-13,13 ,ADA/BCL2/BTLA/CARD11/CBFB/CCR7/CD160/CD27/CD28/CD3E/CD40LG/CD5/CD6/CD81/CLECL1/CTLA4/DPP4/EXOSC3/FCRL3/FLT3LG/GATA3/GPR183/HLA-F/ICOS/IL23A/IL2RA/IL7R/ITPKB/KLRK1/LCK/NFATC2/PDCD1/PRKCQ/RASGRP1/RUNX3/SIRPG/TBX21/TESPA1/TGFBR2/TMIGD2/TNFRSF4/TOX/YES1/ZAP70,44
Cluster2,Severe,positive regulation of T cell activation,0.059440559,202/18670,4.61E-16,1.90E-13,13 ,ADA/BTLA/CARD11/CBFB/CCR7/CD160/CD27/CD28/CD3E/CD40LG/CD5/CD6/CD81/CLECL1/CTLA4/DPP4/GATA3/ICOS/IL23A/IL2RA/IL7R/ITPKB/KLRK1/LCK/PDCD1/PRKCQ/RASGRP1/RUNX3/SIRPG/TESPA1/TGFBR2/TMIGD2/YES1/ZAP70,34
Cluster2,Critical,positive regulation of cell-cell adhesion,0.066433566,255/18670,5.48E-16,2.06E-13,13 ,ADA/ANK3/BTLA/CARD11/CBFB/CCR7/CD160/CD27/CD28/CD3E/CD40LG/CD5/CD6/CD81/CLECL1/CTLA4/DPP4/ETS1/GATA3/ICOS/IL23A/IL2RA/IL7R/ITPKB/KLRK1/LCK/PDCD1/PRKCQ/RASGRP1/RUNX3/SIRPG/SKAP1/SMAD7/TESPA1/TGFBR2/TMIGD2/YES1/ZAP70,38
Cluster2,Critical,regulation of lymphocyte differentiation,0.052447552,169/18670,5.75E-15,1.93E-12,12 ,ADA/CAMK4/CARD11/CBFB/CD2/CD27/CD28/CTLA4/ERBB2/FCRL3/FGL2/FLT3LG/GATA3/IKZF3/IL23A/IL2RA/IL7R/ITPKB/LAG3/NFATC2/RASGRP1/RUNX3/SMAD7/SOX13/TBX21/TESPA1/TGFBR2/TOX/ZAP70/ZNF683,30
Cluster3,Asymptomatic,regulation of cell cycle phase transition,0.06507791,480/18670,3.94E-13,1.51E-09,9 ,ANKRD17/ANLN/ATAD5/ATF5/AURKA/BABAM1/BRCA1/BRD4/BUB1/BUB1B/CARM1/CCNB1/CDC20/CDC27/CDC7/CDKN2C/CENPE/CENPF/CENPJ/CEP192/CEP70/CHEK2/CKAP5/CLSPN/CUL4A/DDB1/DLGAP5/DTL/DYNLL1/DYRK3/E2F1/E2F4/FAM83D/FBXO7/FOXO4/FZR1/GADD45A/GFI1B/GTSE1/HAUS6/HMMR/KANK2/KIF14/KNTC1/MIIP/MTBP/NDC80/PBX1/PCNT/PLK4/PRKAR2B/PSMD1/PSMD2/PSMD9/PSME4/PSMF1/RAD51C/RBL1/RBX1/RGCC/SPDL1/SSNA1/TFDP1/TFDP2/TMEM14B/TPRA1/TPX2/TTK/TUBB4B/TUBG1/UIMC1,71
Cluster3,Asymptomatic,cell cycle G2/M phase transition,0.044912924,266/18670,5.97E-13,1.51E-09,9 ,ATAD5/ATF5/AURKA/BABAM1/BORA/BRCA1/BRD4/CCNA2/CCNB1/CCNB2/CDC7/CENPF/CENPJ/CEP192/CEP70/CHEK2/CKAP5/CLSPN/DTL/DYNLL1/DYRK3/FOXO4/FZR1/GTSE1/HAUS6/HMMR/KIF14/MELK/MIIP/OPTN/PBX1/PCNT/PLK4/PPME1/PPP1CB/PRKAR2B/PSMD1/PSMD2/PSMD9/PSME4/PSMF1/RAD51C/RBX1/SSNA1/TAF2/TPX2/TUBB4B/TUBG1/UIMC1,49
Cluster3,Asymptomatic,porphyrin-containing compound biosynthetic process,0.013748854,26/18670,1.21E-12,2.04E-09,9 ,ABCB6/ALAD/ALAS2/CPOX/FECH/HMBS/IBA57/PPOX/SLC11A2/SLC25A38/SLC25A39/SPTA1/SRRD/UROD/UROS,15
Cluster3,Mild,regulation of mitotic cell cycle phase transition,0.060494959,444/18670,2.16E-12,2.73E-09,9 ,ANKRD17/ANLN/ATAD5/AURKA/BRCA1/BRD4/BUB1/BUB1B/CARM1/CCNB1/CDC20/CDC27/CDC7/CDKN2C/CENPE/CENPF/CENPJ/CEP192/CEP70/CHEK2/CKAP5/CLSPN/CUL4A/DDB1/DLGAP5/DTL/DYNLL1/E2F1/E2F4/FBXO7/FOXO4/FZR1/GADD45A/GFI1B/GTSE1/HAUS6/HMMR/KANK2/KIF14/KNTC1/MIIP/MTBP/NDC80/PBX1/PCNT/PLK4/PRKAR2B/PSMD1/PSMD2/PSMD9/PSME4/PSMF1/RAD51C/RBL1/RBX1/RGCC/SPDL1/SSNA1/TFDP1/TFDP2/TMEM14B/TPRA1/TPX2/TTK/TUBB4B/TUBG1,66
Cluster3,Mild,proteasomal protein catabolic process,0.062328139,477/18670,7.10E-12,7.17E-09,8 ,ALAD/AMFR/AURKA/BAG6/BBS7/BIRC2/BUB1B/CCNB1/CCNF/CD2AP/CDC20/CDC27/CDC34/CLEC16A/CUL4A/DCAF11/DDB1/DDI2/DNAJB2/FAM122A/FBXL4/FBXO9/FBXW4/FZR1/GABARAPL2/GCLC/GID4/GNA12/GPX1/GSK3A/HECTD3/HERC2/IFI27/KIF14/LRRC29/NEDD4L/NPLOC4/PCBP2/PINK1/PSMD1/PSMD2/PSMD9/PSME4/PSMF1/PTTG1/RAD23A/RBX1/RHBDD1/RMND5A/RNF14/RNF187/RNF217/RNF5/SHARPIN/SIAH2/SPSB3/TBL1XR1/UBE2H/UBQLN1/UBXN11/UBXN2A/UBXN6/UBXN8/UGGT2/USP14/YOD1/ZFAND2B/ZNRF1,68
Cluster3,Mild,porphyrin-containing compound metabolic process,0.015582035,38/18670,8.55E-12,7.20E-09,8 ,ABCB6/ALAD/ALAS2/BLVRB/CPOX/EIF2AK1/FECH/HMBS/IBA57/PPOX/SLC11A2/SLC25A38/SLC25A39/SPTA1/SRRD/UROD/UROS,17
Cluster3,Mild,tetrapyrrole biosynthetic process,0.013748854,29/18670,1.03E-11,7.43E-09,8 ,ABCB6/ALAD/ALAS2/CPOX/FECH/HMBS/IBA57/PPOX/SLC11A2/SLC25A38/SLC25A39/SPTA1/SRRD/UROD/UROS,15
Cluster3,Severe,heme biosynthetic process,0.011915674,22/18670,2.62E-11,1.66E-08,8 ,ALAD/ALAS2/CPOX/FECH/HMBS/IBA57/PPOX/SLC11A2/SLC25A38/SLC25A39/SRRD/UROD/UROS,13
Cluster3,Severe,autophagy,0.062328139,496/18670,4.22E-11,2.00E-08,8 ,ANXA7/ATG14/ATG4A/ATG4D/ATG9A/ATP6V0A1/ATP6V0C/BECN1/BNIP3L/CAPN1/CISD2/CLEC16A/DAP/DRAM2/DYNLL1/DYNLL2/EPM2A/FBXO7/FIS1/FLCN/FNBP1L/FOXO3/FZD5/GABARAP/GABARAPL2/GSK3A/HDAC6/HSPB1/IFT20/LARP1/LEPR/MCOLN1/MFN2/MTMR3/NPRL3/OPTN/PINK1/PIP4K2A/POLDIP2/RAB39A/RNF152/RNF5/RRAGA/RRAGB/SCFD1/SESN3/SNCA/SNF8/SQSTM1/STAM/STK11/TAB3/TBC1D17/TBC1D25/TMEM150B/TOLLIP/TOMM6/TSG101/UBQLN1/UBXN2A/UBXN6/USP33/VPS28/VPS37A/WDR45/WIPI2/YOD1/ZFYVE1,68
