"B2_TKR180900710_HT3YJCCXY_L6_sc1" "B2_TKR180900710_HT3YJCCXY_L6_sc2" "B2_TKR180900710_HT3YJCCXY_L6_sc3" "B2_TKR180900710_HT3YJCCXY_L6_sc4" "B2_TKR180900710_HT3YJCCXY_L6_sc5" "B2_TKR180900710_HT3YJCCXY_L6_sc6" "B2_TKR180900710_HT3YJCCXY_L6_sc7" "B2_TKR180900710_HT3YJCCXY_L6_sc8" "B2_TKR180900710_HT3YJCCXY_L6_sc55" "B2_TKR180900710_HT3YJCCXY_L6_sc56" "B2_TKR180900710_HT3YJCCXY_L6_sc57" "B2_TKR180900710_HT3YJCCXY_L6_sc58" "B2_TKR180900710_HT3YJCCXY_L6_sc59" "B2_TKR180900710_HT3YJCCXY_L6_sc60" "B2_TKR180900710_HT3YJCCXY_L6_sc61" "B2_TKR180900710_HT3YJCCXY_L6_sc62" "B2_TKR180900710_HT3YJCCXY_L6_sc63" "B2_TKR180900710_HT3YJCCXY_L6_sc64" "B2_TKR180900710_HT3YJCCXY_L6_sc65" "B2_TKR180900710_HT3YJCCXY_L6_sc66" "B2_TKR180900710_HT3YJCCXY_L6_sc67" "B2_TKR180900710_HT3YJCCXY_L6_sc68" "B2_TKR180900710_HT3YJCCXY_L6_sc69" "B2_TKR180900710_HT3YJCCXY_L6_sc70" "B2_TKR180900710_HT3YJCCXY_L6_sc71" "B2_TKR180900710_HT3YJCCXY_L6_sc72" "B2_TKR180900710_HT3YJCCXY_L6_sc74" "B2_TKR180900710_HT3YJCCXY_L6_sc75" "B2_TKR180900710_HT3YJCCXY_L6_sc76" "B2_TKR180900710_HT3YJCCXY_L6_sc77" "B2_TKR180900710_HT3YJCCXY_L6_sc78" "B2_TKR180900710_HT3YJCCXY_L6_sc79" "B2_TKR180900710_HT3YJCCXY_L6_sc80" "B2_TKR180900710_HT3YJCCXY_L6_sc81" "B2_TKR180900710_HT3YJCCXY_L6_sc82" "B2_TKR180900710_HT3YJCCXY_L6_sc83" "B2_TKR180900710_HT3YJCCXY_L6_sc84" "B2_TKR180900710_HT3YJCCXY_L6_sc85" "B2_TKR180900710_HT3YJCCXY_L6_sc86" "B2_TKR180900710_HT3YJCCXY_L6_sc88" "B2_TKR180900710_HT3YJCCXY_L6_sc89" "B2_TKR180900710_HT3YJCCXY_L6_sc90" "B2_TKR180900710_HT3YJCCXY_L6_sc91" "B2_TKR180900710_HT3YJCCXY_L6_sc92" "B2_TKR180900710_HT3YJCCXY_L6_sc93" "B2_TKR180900710_HT3YJCCXY_L6_sc94" "FL4_TKR180900708_HT3YJCCXY_L6_sc1" "FL4_TKR180900708_HT3YJCCXY_L6_sc2" "FL4_TKR180900708_HT3YJCCXY_L6_sc3" "FL4_TKR180900708_HT3YJCCXY_L6_sc4" "FL4_TKR180900708_HT3YJCCXY_L6_sc6" "FL4_TKR180900708_HT3YJCCXY_L6_sc7" "FL4_TKR180900708_HT3YJCCXY_L6_sc8" "FL4_TKR180900708_HT3YJCCXY_L6_sc55" "FL4_TKR180900708_HT3YJCCXY_L6_sc56" "FL4_TKR180900708_HT3YJCCXY_L6_sc57" "FL4_TKR180900708_HT3YJCCXY_L6_sc58" "FL4_TKR180900708_HT3YJCCXY_L6_sc59" "FL4_TKR180900708_HT3YJCCXY_L6_sc60" "FL4_TKR180900708_HT3YJCCXY_L6_sc61" "FL4_TKR180900708_HT3YJCCXY_L6_sc62" "FL4_TKR180900708_HT3YJCCXY_L6_sc63" "FL4_TKR180900708_HT3YJCCXY_L6_sc64" "FL4_TKR180900708_HT3YJCCXY_L6_sc65" "FL4_TKR180900708_HT3YJCCXY_L6_sc66" "FL4_TKR180900708_HT3YJCCXY_L6_sc67" "FL4_TKR180900708_HT3YJCCXY_L6_sc68" "FL4_TKR180900708_HT3YJCCXY_L6_sc69" "FL4_TKR180900708_HT3YJCCXY_L6_sc70" "FL4_TKR180900708_HT3YJCCXY_L6_sc71" "FL4_TKR180900708_HT3YJCCXY_L6_sc72" "FL4_TKR180900708_HT3YJCCXY_L6_sc74" "FL4_TKR180900708_HT3YJCCXY_L6_sc75" "FL4_TKR180900708_HT3YJCCXY_L6_sc76" "FL4_TKR180900708_HT3YJCCXY_L6_sc77" "FL4_TKR180900708_HT3YJCCXY_L6_sc78" "FL4_TKR180900708_HT3YJCCXY_L6_sc79" "FL4_TKR180900708_HT3YJCCXY_L6_sc80" "FL4_TKR180900708_HT3YJCCXY_L6_sc81" "FL4_TKR180900708_HT3YJCCXY_L6_sc82" "FL4_TKR180900708_HT3YJCCXY_L6_sc83" "FL4_TKR180900708_HT3YJCCXY_L6_sc84" "FL4_TKR180900708_HT3YJCCXY_L6_sc85" "FL4_TKR180900708_HT3YJCCXY_L6_sc86" "FL4_TKR180900708_HT3YJCCXY_L6_sc87" "FL4_TKR180900708_HT3YJCCXY_L6_sc88" "FL4_TKR180900708_HT3YJCCXY_L6_sc89" "FL4_TKR180900708_HT3YJCCXY_L6_sc90" "FL4_TKR180900708_HT3YJCCXY_L6_sc91" "FL4_TKR180900708_HT3YJCCXY_L6_sc93" "FL4_TKR180900708_HT3YJCCXY_L6_sc94" "H2_TKR180900698_HT3YJCCXY_L5_sc2" "H2_TKR180900698_HT3YJCCXY_L5_sc3" "H2_TKR180900698_HT3YJCCXY_L5_sc5" "H2_TKR180900698_HT3YJCCXY_L5_sc6" "H2_TKR180900698_HT3YJCCXY_L5_sc56" "H2_TKR180900698_HT3YJCCXY_L5_sc57" "H2_TKR180900698_HT3YJCCXY_L5_sc58" "H2_TKR180900698_HT3YJCCXY_L5_sc60" "H2_TKR180900698_HT3YJCCXY_L5_sc62" "H2_TKR180900698_HT3YJCCXY_L5_sc66" "H2_TKR180900698_HT3YJCCXY_L5_sc68" "H2_TKR180900698_HT3YJCCXY_L5_sc69" "H2_TKR180900698_HT3YJCCXY_L5_sc70" "H2_TKR180900698_HT3YJCCXY_L5_sc72" "H2_TKR180900698_HT3YJCCXY_L5_sc73" "H2_TKR180900698_HT3YJCCXY_L5_sc77" "H2_TKR180900698_HT3YJCCXY_L5_sc85" "H2_TKR180900698_HT3YJCCXY_L5_sc87" "H2_TKR180900698_HT3YJCCXY_L5_sc88" "H2_TKR180900698_HT3YJCCXY_L5_sc91" "FL3_TKR180900711_HT3YJCCXY_L6_sc1" "FL3_TKR180900711_HT3YJCCXY_L6_sc2" "FL3_TKR180900711_HT3YJCCXY_L6_sc3" "FL3_TKR180900711_HT3YJCCXY_L6_sc4" "FL3_TKR180900711_HT3YJCCXY_L6_sc5" "FL3_TKR180900711_HT3YJCCXY_L6_sc6" "FL3_TKR180900711_HT3YJCCXY_L6_sc7" "FL3_TKR180900711_HT3YJCCXY_L6_sc8" "FL3_TKR180900711_HT3YJCCXY_L6_sc55" "FL3_TKR180900711_HT3YJCCXY_L6_sc56" "FL3_TKR180900711_HT3YJCCXY_L6_sc57" "FL3_TKR180900711_HT3YJCCXY_L6_sc58" "FL3_TKR180900711_HT3YJCCXY_L6_sc59" "FL3_TKR180900711_HT3YJCCXY_L6_sc60" "FL3_TKR180900711_HT3YJCCXY_L6_sc61" "FL3_TKR180900711_HT3YJCCXY_L6_sc62" "FL3_TKR180900711_HT3YJCCXY_L6_sc63" "FL3_TKR180900711_HT3YJCCXY_L6_sc64" "FL3_TKR180900711_HT3YJCCXY_L6_sc65" "FL3_TKR180900711_HT3YJCCXY_L6_sc66" "FL3_TKR180900711_HT3YJCCXY_L6_sc67" "FL3_TKR180900711_HT3YJCCXY_L6_sc68" "FL3_TKR180900711_HT3YJCCXY_L6_sc69" "FL3_TKR180900711_HT3YJCCXY_L6_sc70" "FL3_TKR180900711_HT3YJCCXY_L6_sc72" "FL3_TKR180900711_HT3YJCCXY_L6_sc73" "FL3_TKR180900711_HT3YJCCXY_L6_sc74" "FL3_TKR180900711_HT3YJCCXY_L6_sc75" "FL3_TKR180900711_HT3YJCCXY_L6_sc76" "FL3_TKR180900711_HT3YJCCXY_L6_sc77" "FL3_TKR180900711_HT3YJCCXY_L6_sc78" "FL3_TKR180900711_HT3YJCCXY_L6_sc79" "FL3_TKR180900711_HT3YJCCXY_L6_sc80" "FL3_TKR180900711_HT3YJCCXY_L6_sc81" "FL3_TKR180900711_HT3YJCCXY_L6_sc82" "FL3_TKR180900711_HT3YJCCXY_L6_sc83" "FL3_TKR180900711_HT3YJCCXY_L6_sc84" "FL3_TKR180900711_HT3YJCCXY_L6_sc85" "FL3_TKR180900711_HT3YJCCXY_L6_sc86" "FL3_TKR180900711_HT3YJCCXY_L6_sc87" "FL3_TKR180900711_HT3YJCCXY_L6_sc88" "FL3_TKR180900711_HT3YJCCXY_L6_sc89" "FL3_TKR180900711_HT3YJCCXY_L6_sc90" "FL3_TKR180900711_HT3YJCCXY_L6_sc91" "FL3_TKR180900711_HT3YJCCXY_L6_sc92" "FL3_TKR180900711_HT3YJCCXY_L6_sc93" "FL3_TKR180900711_HT3YJCCXY_L6_sc94"
"DENND6B" 1 31 0 1 0 0 0 0 0 0 0 41 0 0 22 0 0 0 0 0 0 3 0 0 0 0 0 5 0 1 0 0 0 9 0 0 0 0 0 0 0 0 0 35 0 0 1 0 33 21 0 6 1 0 0 6 18 5 0 0 1 1 0 0 23 20 0 2 0 33 0 3 0 0 63 14 4 1 14 0 0 75 2 1 9 0 1 0 2 0 1 64 0 1 0 0 0 50 1 0 0 0 7 0 0 0 53 0 11 0 11 31 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 4 0 1 0 0 1 0 0 4 0 93 0 0 0 0 0 93 0 0 0 0 0 0 0 0 0 7 46
"DENR" 58 68 49 337 3 58 39 19 70 23 13 95 41 111 289 62 210 50 65 88 266 119 21 52 33 13 68 6 6 1 3 12 124 52 10 156 228 6 232 23 2 1 0 117 30 214 14 83 14 8 4 21 2 33 15 31 27 7 78 63 79 0 18 8 7 3 48 9 10 4 41 91 14 21 273 9 9 249 53 9 2 109 2 3 20 11 359 149 28 2 166 31 17 2 18 21 7 105 86 32 41 17 11 66 2 15 413 21 58 1 54 8 0 44 13 1 19 1 0 11 5 6 0 16 11 43 2 113 60 0 4 5 174 11 72 17 1 33 12 12 36 81 44 81 19 1 44 255 7 127 94 11 90 60 93 4 7 48
"DEPDC1" 37 0 0 55 0 0 0 0 0 0 21 36 29 21 14 0 50 0 0 34 0 0 16 0 39 0 19 11 2 0 0 15 0 58 2 0 5 2 1 0 1 0 0 0 25 115 27 66 0 0 2 2 0 1 5 0 0 1 18 1 2 3 1 1 1 0 0 0 0 0 0 79 2 0 78 9 1 1 1 0 0 0 0 1 20 0 236 0 23 0 153 1 1 0 0 0 0 105 2 0 17 0 10 25 0 3 246 24 2 0 22 0 0 1 0 0 0 1 0 24 0 0 15 0 1 0 0 1 0 0 7 11 0 0 17 0 0 0 0 1 0 0 1 0 17 0 2 1 8 2 6 0 31 0 0 0 0 1
"DEPDC1-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DEPDC1B" 42 30 10 58 0 8 3 3 0 3 0 24 3 0 8 76 92 0 2 20 0 10 1 0 40 0 0 7 2 0 0 8 0 60 1 3 146 8 0 3 0 0 0 0 20 67 30 26 5 81 1 1 0 1 13 2 1 5 2 0 1 7 17 2 1 0 2 0 1 1 1 32 2 3 53 8 1 40 5 0 0 11 1 1 9 13 41 0 2 0 7 1 10 0 0 0 0 18 73 22 1 51 0 0 0 3 88 16 7 0 21 1 1 0 1 0 0 39 0 8 1 0 1 2 0 0 0 1 15 0 16 0 0 0 80 0 3 0 0 2 1 0 20 0 0 0 0 1 2 1 10 0 0 0 0 0 4 2
"DEPDC4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 9 0 0 0 0 0 6 0 0 0 0 0 0 28 9 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28
"DEPDC5" 15 0 0 0 0 0 0 2 16 0 0 56 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 1 1 90 0 1 5 0 0 45 49 1 0 0 0 0 4 0 0 0 22 1 0 1 0 0 0 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 1 0 0 0 0 0 0 0 0 1 0 7 0 21 0 0 2 7 1 0 21 0 18 1 0 0 0 0 0 0 2 1 0 0 0 16 0 5 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 32 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 3 0
"DEPDC7" 14 1 0 0 0 0 1 0 7 1 0 0 0 0 22 0 16 0 0 0 0 16 0 0 0 0 0 5 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 41 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 22 0 0 7 0 0 0 0 0 0 0 0 0 0 1
"DEPTOR" 0 1 12 7 0 0 48 0 15 19 1 70 20 13 0 16 9 39 12 29 0 90 0 0 53 42 0 5 3 0 0 0 0 1 0 0 23 4 0 0 0 0 0 0 0 54 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 8 23 0 0 0 0 0 0 7 0 0 0 1 0 7 0 1 0 0 0 1 0 0 0 6 0 0 0 2 0 0 0 0 6 0 0 0 0 4 0 5 28 33 0 0 7 22 2 0 0 0 0 0 1 0 1 0 1 0 0 0 1 50 4 1 1 0 0 0 2 85 0 0 9 1 0 1 2 0 97 0 0 0 7 1 0 0 0
"DERA" 43 41 8 66 1 0 11 1 1 0 15 54 0 5 10 11 48 25 1 1 37 20 15 10 22 0 33 22 0 2 0 3 31 7 0 100 70 6 24 5 0 0 1 0 3 82 17 2 5 1 11 16 0 19 4 3 0 18 0 0 20 1 21 8 2 0 6 0 0 29 14 145 0 1 1 1 7 41 21 0 15 21 4 1 0 1 19 26 0 1 0 0 0 4 1 1 4 11 1 3 4 36 3 1 13 2 4 0 16 2 23 15 0 44 24 6 5 0 0 12 3 11 0 6 22 4 1 2 32 0 8 3 42 2 24 15 0 3 2 5 77 29 1 16 4 0 75 0 9 51 16 1 21 2 68 31 14 15
"DERL1" 126 102 11 36 0 4 53 1 0 0 7 30 0 0 1 0 1 22 0 53 18 18 27 1 29 13 12 4 3 0 0 0 51 30 7 5 36 9 45 0 0 0 0 2 0 1 10 1 0 1 0 0 0 0 5 0 0 4 44 0 24 15 0 0 0 0 1 1 23 0 0 85 0 3 0 8 0 61 0 7 20 0 0 0 0 0 95 30 21 0 0 0 0 0 2 0 1 75 53 0 18 0 8 5 2 4 0 6 9 1 0 33 0 49 1 0 0 0 0 12 3 8 1 4 31 1 0 1 1 0 10 1 1 11 0 0 0 93 1 2 0 22 3 86 18 2 22 0 2 97 23 0 64 0 13 1 0 65
"DERL2" 161 119 38 23 3 6 0 3 0 0 0 18 3 31 2 0 1 3 37 11 11 121 0 14 67 21 14 1 2 17 0 10 1 18 0 24 13 5 84 0 0 0 0 0 10 92 12 58 1 14 7 10 1 6 5 17 1 13 17 21 2 23 33 9 1 57 2 0 22 65 52 74 1 1 48 1 15 167 1 0 4 41 2 0 1 0 93 27 2 0 29 0 2 0 0 0 6 34 2 1 0 42 0 15 1 1 73 6 0 1 21 3 53 60 15 0 20 1 0 1 13 0 1 0 2 2 1 8 36 1 0 4 14 1 10 1 4 1 1 1 58 12 1 45 33 0 41 4 0 2 19 0 1 35 0 60 15 0
"DERL3" 0 0 20 14 0 0 0 0 4 0 4 0 0 1 0 15 0 28 0 0 10 0 0 0 1 0 0 0 0 0 0 0 0 8 0 5 0 0 0 0 0 36 0 0 0 22 2 0 0 0 0 5 0 0 3 0 1 0 0 0 0 1 27 0 2 0 0 0 0 0 0 0 0 0 0 10 0 0 9 0 0 58 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 73 2 1 0 0 0 0 12 0 0 0 0 0 0 0 11 0 5 1 0 0 0 0 1 9 0 47 0 0 0 0 0 0 3 0 0 0 0 15 4 61 0 0 0 0 0 1 1 0 0 0 0
"DES" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DESI1" 2 0 3 0 1 0 0 4 17 17 0 0 3 0 0 2 40 2 11 1 0 0 4 0 1 1 47 0 1 0 12 0 9 5 2 38 25 0 1 0 1 0 45 0 0 85 2 0 3 13 0 8 0 0 0 0 0 2 0 0 32 2 2 0 0 0 1 0 0 0 8 0 0 3 2 0 6 21 4 4 0 0 0 0 0 1 86 2 18 0 0 0 0 0 0 0 0 0 37 0 0 1 0 0 10 2 1 3 5 1 0 36 0 1 0 0 0 1 0 0 0 0 0 0 23 36 0 54 19 0 11 0 1 5 0 0 4 0 1 1 0 1 2 2 0 0 13 0 5 1 0 0 34 0 9 0 1 0
"DESI2" 3 17 29 15 0 3 6 2 11 1 9 13 25 0 0 11 1 0 0 30 4 92 1 0 0 33 78 6 1 1 0 0 63 22 3 0 46 2 0 4 1 0 0 54 0 4 1 12 12 7 3 1 0 1 0 6 1 3 28 8 1 1 21 0 1 2 35 0 33 0 0 14 0 1 119 14 50 110 0 2 0 21 1 0 13 0 99 2 13 0 1 0 0 0 0 3 4 50 3 1 0 1 4 44 4 0 36 1 13 0 9 3 2 0 1 0 0 2 1 2 0 0 24 0 3 0 0 1 32 1 3 1 16 6 2 1 0 3 1 2 55 1 1 21 0 0 4 2 0 0 1 0 1 0 2 1 2 7
"DET1" 1 2 3 0 0 0 0 0 0 0 0 28 0 0 0 26 0 0 0 0 19 26 0 0 1 0 5 1 1 0 0 0 0 11 3 0 0 0 0 0 0 0 0 0 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 12 1 1 0 1 0 0 20 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 1 20 0 1 1 0 0 5 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 14 0 0
"DEXI" 0 24 0 0 0 17 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 75 0 0 0 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 0 0 0 0 0 0 0 4 0 1 1 0 0 0 0 2 2 0 4 0 2 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 19 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61 0 67 1 0 0 0 38 0 0 0
"DFFA" 7 38 0 124 0 0 27 5 18 0 18 51 11 0 0 1 43 0 0 20 32 1 1 53 54 34 54 10 2 4 0 0 32 13 0 71 48 0 68 0 0 0 0 73 27 42 1 2 26 2 0 0 0 19 3 5 0 0 0 0 1 16 2 11 0 10 3 0 0 108 2 260 1 4 43 38 15 2 3 0 0 64 0 0 6 0 5 1 1 0 6 14 0 0 0 0 6 116 3 29 0 37 0 1 13 7 3 0 7 1 0 0 0 1 1 0 10 2 0 0 0 0 1 1 15 0 1 0 1 0 11 1 0 0 16 0 6 66 0 6 0 19 46 1 15 0 43 1 4 23 6 4 8 1 3 0 6 1
"DFFB" 0 0 0 0 0 0 0 0 1 0 0 22 0 0 11 0 0 0 4 0 0 1 0 0 16 0 0 0 0 0 0 4 0 8 0 0 10 0 0 4 1 0 0 0 0 26 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 12 0 1 0 0 2 0 0 0 8 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 2 0 0 0 0 0 0 0 0 0 29 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 6 0 0 3 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 11 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 1
"DFNA5" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 34 0 0 0 0 0
"DFNB31" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DFNB59" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 5 0 1 0 0 0 0 0 0 0 0 9 1 0 1 1 0 0 0 0 0 0 0 33 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DGAT1" 3 0 0 0 0 0 0 6 54 0 0 7 3 0 0 46 58 0 0 0 0 0 12 0 4 0 63 0 0 22 0 11 70 12 0 117 0 3 0 0 0 0 0 0 0 7 41 1 0 1 0 6 0 0 0 7 0 0 0 0 4 1 1 0 0 4 1 0 0 0 0 0 1 1 2 3 33 33 0 0 1 1 0 0 0 0 31 0 35 0 1 29 0 0 0 4 0 0 47 2 0 0 0 16 28 0 0 1 10 3 0 0 50 0 11 0 0 0 0 2 0 5 0 0 0 0 0 0 12 1 23 1 33 1 44 0 0 0 0 2 0 0 28 0 1 0 20 2 1 1 0 2 50 0 15 0 3 48
"DGAT2" 0 0 0 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DGAT2L6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DGCR10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DGCR11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20
"DGCR14" 66 54 1 0 0 0 0 0 7 11 0 37 3 0 0 0 53 0 6 24 40 0 0 31 0 1 31 7 0 0 0 15 35 15 0 0 0 2 0 0 0 0 5 69 0 0 15 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 67 0 0 0 19 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 14 0 1 1 13 0 0 0 11 0 1 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 28 5 1 0 2 0 0 2 0 0 0 11 0 0 0 1 43 0 1 97 0 0 0 0 0 1 55 0 0 0 0
