uid	pubdate	pmcrefcount	title	fulljournalname
30568661	2018	0	Editorial: Immune Checkpoint Molecules and Cancer Immunotherapy.	Frontiers in immunology
30568505	2018	0	Orchestration of immune checkpoints in tumor immune contexture and their prognostic significance in esophageal squamous cell carcinoma.	Cancer management and research
30568128	2018 Dec 18	0	A High PD-L1 Expression in Pulmonary Pleomorphic Carcinoma Correlates with Parietal-pleural Invasion and Might Predict a Poor Prognosis.	Internal medicine (Tokyo, Japan)
30568113	2018 Dec 18	0	Rapid and Long-term Response of Pulmonary Pleomorphic Carcinoma to Nivolumab: A Case Report.	Internal medicine (Tokyo, Japan)
30567732	2018 Dec 19	0	BCL6-Mediated Silencing of PD-1 Ligands in Germinal Center B Cells Maintains Follicular T Cell Population.	Journal of immunology (Baltimore, Md. : 1950)
30566947	2018 Dec 19	0	Liquid Biopsy and Lung Cancer.	Acta cytologica
30565869	2018 Nov 22	0	The prognostic significance of circulating tumor cells in head and neck and non-small-cell lung cancer.	Cancer medicine
30565707	2018 Dec 19	0	Undo the brake of tumour immune tolerance with antibodies, peptides and small molecule compounds targeting PD-1/PD-L1 checkpoint at different locations for acceleration of cytotoxic immunity to cancer cells.	Clinical and experimental pharmacology &amp; physiology
30565657	2018 Nov 22	0	An effective dendritic cell-based vaccine containing glioma stem-like cell lysate and CpG adjuvant for an orthotopic mouse model of glioma.	International journal of cancer
30565573	2018 Nov	0	[Influenza vaccination in advanced cancer patients undergoing immunotherapy with anti-PD-1/PD-L1 immune checkpoint inhibitors: what data do we have for the clinical recommendation?]	Recenti progressi in medicina
30565086	2018 Dec 18	0	SEOM clinical guideline for treatment of muscle-invasive and metastatic urothelial bladder cancer (2018).	Clinical &amp; translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico
30565045	2018 Dec 18	0	Soluble PD-L1 Expression in Circulation as a Predictive Marker for Recurrence and Prognosis in Gastric Cancer: Direct Comparison of the Clinical Burden Between Tissue and Serum PD-L1 Expression.	Annals of surgical oncology
30565043	2018 Dec 18	0	MiR-21 Participates in the PD-1/PD-L1 Pathway-Mediated Imbalance of Th17/Treg Cells in Patients After Gastric Cancer Resection.	Annals of surgical oncology
30564891	2018 Dec 18	0	A secreted PD-L1 splice variant that covalently dimerizes and mediates immunosuppression.	Cancer immunology, immunotherapy : CII
30564890	2018 Dec 18	0	Identification and characterization of an alternative cancer-derived PD-L1 splice variant.	Cancer immunology, immunotherapy : CII
30564889	2018 Dec 18	0	Addressing current challenges and future directions in immuno-oncology: expert perspectives from the 2017 NIBIT Foundation Think Tank, Siena, Italy.	Cancer immunology, immunotherapy : CII
30564631	2018	0	Association of B7-H4, PD-L1, and tumor infiltrating lymphocytes with outcomes in breast cancer.	NPJ breast cancer
30564277	2018	0	The suppressive effect of co-inhibiting &lt;i&gt;PD-1&lt;/i&gt; and &lt;i&gt;CTLA-4&lt;/i&gt; expression on H22 hepatomas in mice.	Cellular &amp; molecular biology letters
30563829	2018 Dec 18	0	Rapamycin prevents surgery-induced immune dysfunction in patients with bladder cancer.	Cancer immunology research
30563828	2018 Dec 18	0	Late stage tumor regression after PD-L1 blockade with a concurrent OX40 agonist.	Cancer immunology research
30563569	2018 Dec 18	0	Tumor cell-released autophagosomes (TRAPs) promote immunosuppression through induction of M2-like macrophages with increased expression of PD-L1.	Journal for immunotherapy of cancer
30563566	2018 Dec 18	0	Agonist redirected checkpoint, PD1-Fc-OX40L, for cancer immunotherapy.	Journal for immunotherapy of cancer
30563160	2018 Dec 5	0	Immune Gene Signature Delineates a Subclass of Papillary Thyroid Cancer with Unfavorable Clinical Outcomes.	Cancers
30563098	2018 Dec 5	0	Recent Advances in Oncolytic Virotherapy and Immunotherapy for Glioblastoma: A Glimmer of Hope in the Search for an Effective Therapy?	Cancers
30562859	2017 Feb	0	The development status of the next-generation immune checkpoint inhibitors.	Nihon rinsho. Japanese journal of clinical medicine
30561439	2015 Apr 30	0	Chemotherapy for Invasive Bladder Cancer: Five Simple Rules Learned Over 30 Years.	Bladder cancer (Amsterdam, Netherlands)
30562710	2018 Dec 15	0	Long-term survival in patients with advanced non-small-cell lung cancer treated with atezolizumab versus docetaxel: Results from the randomised phase III OAK study.	European journal of cancer (Oxford, England : 1990)
30561902	2018 Dec 18	0	Impact of tumor infiltrating lymphocytes and lymphoid follicle formation on patient survival following surgery for lung squamous cell carcinoma.	Thoracic cancer
30561383	2018 Dec 18	0	Predicting tumour response to anti-PD-1 immunotherapy with computational modelling.	Physics in medicine and biology
30559926	2018 Nov 23	0	Epstein-Barr virus: From kisses to cancer, an ingenious immune evader.	Oncotarget
30559738	2018	0	Hantavirus-Driven PD-L1/PD-L2 Upregulation: An Imperfect Viral Immune Evasion Mechanism.	Frontiers in immunology
30559623	2018 Winter	0	Immune Checkpoint Inhibitors in Pediatric Solid Tumors: Status in 2018.	The Ochsner journal
30557521	2018 Dec 13	0	T-Cell-Inflamed Gene-Expression Profile, Programmed Death Ligand 1 Expression, and Tumor Mutational Burden Predict Efficacy in Patients Treated With Pembrolizumab Across 20 Cancers: KEYNOTE-028.	Journal of clinical oncology : official journal of the American Society of Clinical Oncology
30556751	2018 Dec 17	0	CD73 as a potential opportunity for cancer immunotherapy.	Expert opinion on therapeutic targets
30555574	2018	0	Clinical significance of PD-1/PD-Ls gene amplification and overexpression in patients with hepatocellular carcinoma.	Theranostics
30555473	2018	0	Human CD8&lt;sup&gt;+&lt;/sup&gt;HLA-DR&lt;sup&gt;+&lt;/sup&gt; Regulatory T Cells, Similarly to Classical CD4&lt;sup&gt;+&lt;/sup&gt;Foxp3&lt;sup&gt;+&lt;/sup&gt; Cells, Suppress Immune Responses via PD-1/PD-L1 Axis.	Frontiers in immunology
30555157	2018 Dec 17	0	Interferon-alpha promotes immunosuppression through IFNAR1/STAT1 signalling in head and neck squamous cell carcinoma.	British journal of cancer
30553600	2018 Nov 22	0	Molecular and immunologic analysis of laryngeal squamous cell carcinoma in smokers and non-smokers.	American journal of otolaryngology
30552520	2018 Dec 14	0	Rational combination of cancer immunotherapy in melanoma.	Virchows Archiv : an international journal of pathology
30552459	2018 Dec 14	0	Ex vivo conditioning with IL-12 protects tumor-infiltrating CD8&lt;sup&gt;+&lt;/sup&gt; T cells from negative regulation by local IFN-γ.	Cancer immunology, immunotherapy : CII
30552160	2018 Dec 14	0	Patient-Reported Outcomes with PD-1/PD-L1 Inhibitors for Advanced Cancer: A Meta-Analysis.	The oncologist
30552042	2018 Dec 6	0	Association of PD-L1 gene rs4143815 C&amp;gt;G polymorphism and human cancer susceptibility: A systematic review and meta-analysis.	Pathology, research and practice
30552022	2018 Dec 18	0	Simultaneous Loss of Both Atypical Protein Kinase C Genes in the Intestinal Epithelium Drives Serrated Intestinal Cancer by Impairing Immunosurveillance.	Immunity
30550791	2018 Dec 13	0	Organoid Modeling of the Tumor Immune Microenvironment.	Cell
30549362	2018 Dec 14	0	HLA class II expression on tumor cells and low numbers of tumor-associated macrophages predict clinical outcome in oropharyngeal cancer.	Head &amp; neck
30548363	2018 Dec 12	0	Programmed death ligand-1 is associated with tumor infiltrating lymphocytes and poorer survival in urothelial cell carcinoma of the bladder.	Cancer science
30548240	2018 Dec 11	0	Predictive value of oncogenic driver subtype, programmed death-1 ligand (PD-L1) score, and smoking status on the efficacy of PD-1/PD-L1 inhibitors in patients with oncogene-driven non-small cell lung cancer.	Cancer
30547271	2018 Dec 13	0	Frequent discordance in PD-1 and PD-L1 expression between primary breast tumors and their matched distant metastases.	Clinical &amp; experimental metastasis
30547224	2018 Dec 13	0	[Diagnosis and treatment of immune-related adverse events during checkpoint inhibitor therapy in intensive care medicine].	Medizinische Klinik, Intensivmedizin und Notfallmedizin
30547218	2018 Dec 13	0	Enhanced anti-tumor efficacy of checkpoint inhibitors in combination with the histone deacetylase inhibitor Belinostat in a murine hepatocellular carcinoma model.	Cancer immunology, immunotherapy : CII
30547012	2018	0	Progresses and Perspectives of Anti-PD-1/PD-L1 Antibody Therapy in Head and Neck Cancers.	Frontiers in oncology
30546958	2019	0	Immunoprofiles of colorectal cancer from Lynch syndrome.	Oncoimmunology
30546955	2019	0	Inhibition of MEK with trametinib enhances the efficacy of anti-PD-L1 inhibitor by regulating anti-tumor immunity in head and neck squamous cell carcinoma.	Oncoimmunology
30546953	2019	0	A B cell-derived gene expression signature associates with an immunologically active tumor microenvironment and response to immune checkpoint blockade therapy.	Oncoimmunology
30546952	2019	0	Identification of PD-L2, B7-H3 and CTLA-4 immune checkpoint proteins in genetic subtypes of meningioma.	Oncoimmunology
30546949	2019	0	BRAF and MEK inhibitors differentially affect nivolumab-induced T cell activation by modulating the TCR and AKT signaling pathways.	Oncoimmunology
30546089	2018 Dec 13	0	Microenvironmental oxygen pressure orchestrates an anti- and pro-tumoral γδ T cell equilibrium via tumor-derived exosomes.	Oncogene
30546030	2018 Dec 13	0	Analysis of expression of the PD-1/PD-L1 immune checkpoint system and its prognostic impact in gastroenteropancreatic neuroendocrine tumors.	Scientific reports
30546008	2018 Dec 13	0	Immune checkpoint inhibitors: recent progress and potential biomarkers.	Experimental &amp; molecular medicine
30544743	2018 Dec 10	0	Pathological and Molecular Characteristics of Colorectal Cancer with Brain Metastases.	Cancers
30544524	2018 Dec 7	0	The Role of Yes-Associated Protein (YAP) in Regulating Programmed Death-Ligand 1 (PD-L1) in Thoracic Cancer.	Biomedicines
30544444	2018 Dec	0	Increased nerve twigs in small intestinal mucosa with programmed cell death-ligand 1 and somatostatin receptor type 2A expression in recurrent Crohn disease: A case report.	Medicine
30543161	2018 Dec 12	0	Chemical Generation of Hydroxyl Radical for Oxidative 'Footprinting'.	Protein and peptide letters
30542345	2018	0	CTLA-4 and PD-1 Control of T-Cell Motility and Migration: Implications for Tumor Immunotherapy.	Frontiers in immunology
30542036	2018	0	[An elderly case of squamous cell lung cancer treated continuously with pembrolizumab without any decline in the life function].	Nihon Ronen Igakkai zasshi. Japanese journal of geriatrics
30541986	2018	0	Potential anti-lymphoma effect of M-CSFR inhibitor in adult T-cell leukemia/lymphoma.	Journal of clinical and experimental hematopathology : JCEH
30541848	2018 Dec 12	0	Contrasting roles of the PD-1 signaling pathway in dendritic cell-mediated induction and regulation of HIV-1-specific effector T cell functions.	Journal of virology
30541787	2018 Dec 12	0	MEK inhibition enhances oncolytic virus immunotherapy through increased tumor cell killing and T cell activation.	Science translational medicine
30541755	2018 Dec 12	0	Biomarkers for Programmed Death-1 Inhibition in Prostate Cancer.	The oncologist
30541754	2018 Dec 12	0	FDA Approval Summary: Atezolizumab or Pembrolizumab for the Treatment of Patients with Advanced Urothelial Carcinoma Ineligible for Cisplatin-Containing Chemotherapy.	The oncologist
30541627	2018 Dec 12	0	Cryotherapy for nodal metastasis in NSCLC with acquired resistance to immunotherapy.	Journal for immunotherapy of cancer
30541416	2018 Dec 12	0	Anti-PD1 'SHR-1210' aberrantly targets pro-angiogenic receptors and this polyspecificity can be ablated by paratope refinement.	mAbs
30524909	2018	0	Integrated analysis of the immunological and genetic status in and across cancer types: impact of mutational signatures beyond tumor mutational burden.	Oncoimmunology
30524905	2018	0	Assessment of PD-L1 expression across breast cancer molecular subtypes, in relation to mutation rate, &lt;i&gt;BRCA1&lt;/i&gt;-like status, tumor-infiltrating immune cells and survival.	Oncoimmunology
30524900	2018	0	Adoptive cell therapy with tumor-infiltrating lymphocytes in patients with metastatic ovarian cancer: a pilot study.	Oncoimmunology
30524885	2018	0	Profiling targetable immune checkpoints in osteosarcoma.	Oncoimmunology
30524881	2018	0	PD-L2 amplification and durable disease stabilization in patient with urothelial carcinoma receiving pembrolizumab.	Oncoimmunology
30524879	2018	0	PD-L1 expression with immune-infiltrate evaluation and outcome prediction in melanoma patients treated with ipilimumab.	Oncoimmunology
30524878	2018	0	Impact of PD-L1 expression, driver mutations and clinical characteristics on survival after anti-PD-1/PD-L1 immunotherapy versus chemotherapy in non-small-cell lung cancer: A meta-analysis of randomized trials.	Oncoimmunology
30523626	2019	0	Merkel Cell Carcinoma in the HIV-1/AIDS Patient.	Cancer treatment and research
30523370	2018 Dec 6	0	CRISPR/Cas9-mediated PD-1 disruption enhances human mesothelin-targeted CAR T cell effector functions.	Cancer immunology, immunotherapy : CII
30523049	2018 Dec 6	0	Genome-wide sequencing of cell-free DNA identifies copy number alterations that can be used for monitoring response to immunotherapy in cancer patients.	Molecular cancer therapeutics
30523022	2018 Dec 6	0	Molecular subtype not immune response drives outcomes in endometrial carcinoma.	Clinical cancer research : an official journal of the American Association for Cancer Research
30522901	2018 Nov 13	0	Differential Expression of PD-L1 Between Sporadic and VHL-Associated Hereditary Clear-Cell Renal Cell Carcinoma and Its Correlation With Clinicopathological Features.	Clinical genitourinary cancer
30522188	2018 Dec 8	0	[Research progrss on resistance of PD1/PD-L1 signal pathway].	Zhonghua bing li xue za zhi = Chinese journal of pathology
30540571	2018 Dec 11	0	Gray-zone Lymphoma Between cHL and Large B-Cell Lymphoma: A Histopathologic Series From the LYSA.	The American journal of surgical pathology
30539869	2018 Dec	0	Expression of programmed death ligand-1 and programmed death 1 in hepatocellular carcinoma and its clinical significance.	Journal of cancer research and therapeutics
30539847	2018 Dec	0	Expression of programmed death-ligand 1 and hypoxia-inducible factor-1α proteins in endometrial carcinoma.	Journal of cancer research and therapeutics
30539796	2018 Dec	0	Immune checkpoint blockade as a potential therapeutic strategy for undifferentiated malignancies.	Human pathology
30539728	2018 Dec	0	Durable response to first-line nivolumab in a patient with oligometastatic PD-L1 positive nasopharyngeal cancer.	Oral oncology
30539511	2018	0	Immune Checkpoint Inhibitors-Induced Hepatitis.	Advances in experimental medicine and biology
30539507	2018	0	Update on Immunotherapy in AML and MDS: Monoclonal Antibodies and Checkpoint Inhibitors Paving the Road for Clinical Practice.	Advances in experimental medicine and biology
30539506	2018	0	Immunotherapy in Lung Cancer: A New Age in Cancer Treatment.	Advances in experimental medicine and biology
30539505	2018	0	Immunotherapy for Melanoma.	Advances in experimental medicine and biology
30539504	2018	0	Overview of Basic Immunology and Translational Relevance for Clinical Investigators.	Advances in experimental medicine and biology
30538704	2018	0	Promises and Pitfalls in the Use of PD-1/PD-L1 Inhibitors in Multiple Myeloma.	Frontiers in immunology
30538492	2018	0	Icotinib inhibits the proliferation of hepatocellular carcinoma cells in vitro and in vivo dependently on EGFR activation and PDL1 expression.	OncoTargets and therapy
30538110	2018 Dec 11	0	The COX2 effector microsomal PGE2 synthase-1 is a regulator of immunosuppression in cutaneous melanoma.	Clinical cancer research : an official journal of the American Association for Cancer Research
30537988	2018 Dec 11	0	HDAC is indispensable for IFN-γ-induced B7-H1 expression in gastric cancer.	Clinical epigenetics
30537506	2018 Dec 10	0	The Link between the Multiverse of Immune Microenvironments in Metastases and the Survival of Colorectal Cancer Patients.	Cancer cell
30537493	2018 Dec 8	0	Molecular characterization of metaplastic breast carcinoma via next generation sequencing.	Human pathology
30537444	2018 Dec 11	0	The value of immunotherapy in head and neck cancer.	Expert opinion on biological therapy
30537104	2018 Dec 11	0	Expression of PD-L1 in tumor-associated nerves correlates with reduced CD8&lt;sup&gt;+&lt;/sup&gt; tumor-associated lymphocytes and poor prognosis in prostate cancer.	International journal of cancer
30536734	2018 Dec 11	0	Clinical significance of ≥ 50% PD-L1 expression with the SP263 monoclonal antibody in non-small cell lung cancer patients.	Thoracic cancer
30536665	2018 Dec 10	0	Characterization of head and neck squamous cell carcinoma arising in young patients: Particular focus on molecular alteration and tumor immunity.	Head &amp; neck
30536016	2018 Dec 11	0	Predicting PD-1/PD-L1 status in bladder cancer with &lt;sup&gt;18&lt;/sup&gt;F-FDG PET?	European journal of nuclear medicine and molecular imaging
30534975	2018 Dec 6	0	Assessment of Programmed Death-Ligand 1 (PD-L1) Immunohistochemical Expression on Cytology Specimens in Non-Small Cell Lung Carcinoma: A Comparative Study With Paired Surgical Specimens.	American journal of clinical pathology
30534602	2018	0	Immunogenetics of glioblastoma: the future of personalized patient management.	NPJ precision oncology
30534571	2018	0	Association of PD-1 and PD-L1 Genetic Polymorphyisms with Type 1 Diabetes Susceptibility.	Journal of diabetes research
30534022	2018 Nov-Dec	0	The current status of immunotherapy for cervical cancer.	Reports of practical oncology and radiotherapy : journal of Greatpoland Cancer Center in Poznan and Polish Society of Radiation Oncology
30529597	2018 Dec 4	0	Brief Report: Pembrolizumab in Combination With Erlotinib or Gefitinib as First-Line Therapy for Advanced Non-Small-Cell Lung Cancer With Sensitizing EGFR Mutation.	Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer
30528981	2018 Oct 21	0	High frequency of macrophages expressing elevated level of CD80, PD-Ls and TLR1 in nasal polyps of CRS patients.	Immunobiology
30528808	2019 Jan	0	Performance of the Food and Drug Administration/EMA-approved programmed cell death ligand-1 assays in urothelial carcinoma with emphasis on therapy stratification for first-line use of atezolizumab and pembrolizumab.	European journal of cancer (Oxford, England : 1990)
30528799	2019 Jan	0	Predictive biomarkers of response for immune checkpoint inhibitors in non-small-cell lung cancer.	European journal of cancer (Oxford, England : 1990)
30528699	2018 Dec 6	0	Effect of PD-L1 testing on the cost-effectiveness and budget impact of pembrolizumab for advanced urothelial carcinoma of the bladder in the United States.	Urologic oncology
30528536	2018 Nov 22	0	Sulforaphane as anticancer agent: A double-edged sword? Tricky balance between effects on tumor cells and immune cells.	Advances in biological regulation
30528265	2018 Dec 4	0	DCUN1D1 facilitates tumor metastasis by activating FAK signaling and up-regulates PD-L1 in non-small-cell lung cancer.	Experimental cell research
30528137	2018 Dec 4	0	Haematological immune-related adverse events induced by anti-PD-1 or anti-PD-L1 immunotherapy: a descriptive observational study.	The Lancet. Haematology
30528043	2018 Oct 21	0	PD-1/PD-L1 expressions in medullary thyroid carcinoma: Clinicopathologic and prognostic analysis of Chinese population.	European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology
30527665	2018 Dec 3	0	Phosphorylated RB Promotes Cancer Immunity by Inhibiting NF-κB Activation and PD-L1 Expression.	Molecular cell
30527224	2018 Dec	0	Cost-effectiveness of nivolumab in the treatment of head and neck cancer.	Oral oncology
30527198	2018 Dec	0	Validation of the immunohistochemical expression of programmed death ligand 1 (PD-L1) on cytological smears in advanced non small cell lung cancer.	Lung cancer (Amsterdam, Netherlands)
30522700	2018 Dec 3	0	Pembrolizumab in patients with programmed death ligand 1-positive advanced ovarian cancer: Analysis of KEYNOTE-028.	Gynecologic oncology
30522017	2018 Dec 3	0	PD-1/ PD-L1 blockade as a novel treatment for colorectal cancer.	Biomedicine &amp; pharmacotherapy = Biomedecine &amp; pharmacotherapie
30521746	2018 Dec 6	0	Analysis of the Expression and Regulation of PD-1 Protein on the Surface of Myeloid-Derived Suppressor Cells (MDSCs).	Biomolecules &amp; therapeutics
30521597	2018	0	Gene landscape and correlation between B-cell infiltration and programmed death ligand 1 expression in lung adenocarcinoma patients from The Cancer Genome Atlas data set.	PloS one
30520757	2019 Feb	0	Translational highlights in breast cancer research and treatment: recent developments with clinical impact.	Current opinion in obstetrics &amp; gynecology
30520029	2018 Nov 22	0	CD8&lt;sup&gt;+&lt;/sup&gt; cytotoxic T lymphocytes in cancer immunotherapy: A review.	Journal of cellular physiology
30519815	2018 Dec	0	PD-1 and PD-L1 Expression in Male Breast Cancer in Comparison with Female Breast Cancer.	Targeted oncology
30519541	2018	0	Crosstalk Between PD-1/PD-L1 Blockade and Its Combinatorial Therapies in Tumor Immune Microenvironment: A Focus on HNSCC.	Frontiers in oncology
30519393	2018	0	Elevated expression of IL-17RB and ST2 on myeloid dendritic cells is associated with a Th2-skewed eosinophilic inflammation in nasal polyps.	Clinical and translational allergy
30519342	2018	0	PD-1 Blockade Overcomes Adaptive Immune Resistance in Treatment with Anchored-GM-CSF Bladder Cancer Cells Vaccine.	Journal of Cancer
30519336	2018	0	The Clinical and Biomarker Association of Programmed Death Ligand 1 and its Spatial Heterogeneous Expression in Colorectal Cancer.	Journal of Cancer
30519309	2018	0	Immunoscore System for Predicting Clinical Outcome of Metastatic Renal Cell Carcinoma Patients Treated with Tyrosine Kinase Inhibitors.	Journal of Cancer
30519101	2018	0	Risk score for non-small cell lung cancer patients starting checkpoint inhibitor treatment.	Cancer management and research
30518877	2018 Dec 5	0	Cisplatin-induced immune modulation in ovarian cancer mouse models with distinct inflammation profiles.	Oncogene
30518694	2018 Dec 6	0	Tumor-draining lymph nodes are pivotal in PD-1/PD-L1 checkpoint therapy.	JCI insight
30518409	2018 Dec 5	0	Treatment duration with immune-based therapies in Cancer: an enigma.	Journal for immunotherapy of cancer
30508306	2018 Dec 3	0	Promising efficacy of SHR-1210, a novel anti-programmed cell death 1 antibody, in patients with advanced gastric and gastroesophageal junction cancer in China.	Cancer
30506500	2018 Dec 1	0	Combined intracavitary thermotherapy with iron oxide nanoparticles and radiotherapy as local treatment modality in recurrent glioblastoma patients.	Journal of neuro-oncology
30506460	2018 Dec 1	0	The correlation and prognostic value of serum levels of soluble programmed death protein 1 (sPD-1) and soluble programmed death-ligand 1 (sPD-L1) in patients with hepatocellular carcinoma.	Cancer immunology, immunotherapy : CII
30506459	2018 Dec 1	0	Fulminant diabetes induced by PD-1 and PD-L1 inhibitors: what about glucose variability?	Acta diabetologica
30506221	2018 Nov 30	0	Advances in molecular imaging of immune checkpoint targets in malignancies: current and future prospect.	European radiology
30505716	2018 Dec	0	Tumor mutational burden in non-small cell lung cancer-the pathologist's point of view.	Translational lung cancer research
30505713	2018 Dec	0	Predictive markers for anti-PD-1/PD-L1 therapy in non-small cell lung cancer-where are we?	Translational lung cancer research
30505712	2018 Dec	0	Approach to evaluating tumor mutational burden in routine clinical practice.	Translational lung cancer research
30505709	2018 Dec	0	Clinical utility of tumor mutational burden in patients with non-small cell lung cancer treated with immunotherapy.	Translational lung cancer research
30505708	2018 Dec	0	The clinical utility of tumor mutational burden in non-small cell lung cancer.	Translational lung cancer research
30505707	2018 Dec	0	Tumor mutational burden assessment as a predictive biomarker for immunotherapy in lung cancer patients: getting ready for prime-time or not?	Translational lung cancer research
30505679	2019	0	The clinical benefits of immune checkpoint inhibitor for thymic carcinomas ∼experience of single public hospital in Japan∼.	Respiratory medicine case reports
30505301	2018	0	Update on PD-1/PD-L1 Inhibitors in Multiple Myeloma.	Frontiers in immunology
30504406	2018 Dec	0	Comparison of PD-L1 Assays in Non-small Cell Lung Cancer: 22C3 pharmDx and SP263.	Anticancer research
30504313	2018 Nov 30	0	Where does PD-1 blockade fit in HL therapy?	Hematology. American Society of Hematology. Education Program
30516854	2018 Dec 5	0	Cocktail Strategy Based on Spatio-Temporally Controlled Nano Device Improves Therapy of Breast Cancer.	Advanced materials (Deerfield Beach, Fla.)
30515783	2018 Dec 4	0	Anti-PD-1/PD-L1 therapy augments lenvatinib's efficacy by favorably altering the immune microenvironment of murine anaplastic thyroid cancer.	International journal of cancer
30515719	2018 Dec 4	0	Q-TWiST Analysis to Assess Benefit-Risk of Pembrolizumab in Patients with PD-L1-Positive Advanced or Metastatic Non-small Cell Lung Cancer.	PharmacoEconomics
30515672	2018 Dec 4	0	Phase 1 trial of avelumab (anti-PD-L1) in Japanese patients with advanced solid tumors, including dose expansion in patients with gastric or gastroesophageal junction cancer: the JAVELIN Solid Tumor JPN trial.	Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association
30514902	2018 Dec 4	0	Palmitoylation stabilizes PD-L1 to promote breast tumor growth.	Cell research
30514794	2018 Dec 4	0	Intracellular activation of complement C3 leads to PD-L1 antibody treatment resistance by modulating tumor-associated macrophages.	Cancer immunology research
30514666	2018 Nov 14	0	The Association Between Imaging Features of TSCT and the Expression of PD-L1 in Patients With Surgical Resection of Lung Adenocarcinoma.	Clinical lung cancer
30514399	2018 Dec 4	0	SITC 2018 workshop report: Immuno-Oncology Biomarkers: State of the Art.	Journal for immunotherapy of cancer
30514390	2018 Dec 4	0	Activity of durvalumab plus olaparib in metastatic castration-resistant prostate cancer in men with and without DNA damage repair mutations.	Journal for immunotherapy of cancer
30513765	2018 Dec 1	0	Current Landscape and the Potential Role of Hypoxia-Inducible Factors and Selenium in Clear Cell Renal Cell Carcinoma Treatment.	International journal of molecular sciences
30513627	2018 Nov 30	0	Genomic Characteristics of Invasive Mucinous Adenocarcinomas of the Lung and Potential Therapeutic Targets of B7-H3.	Cancers
30502542	2018 Nov 28	0	The role and clinical significance of programmed cell death- ligand 1 expressed on CD19&lt;sup&gt;+&lt;/sup&gt;B-cells and subsets in systemic lupus erythematosus.	Clinical immunology (Orlando, Fla.)
30511887	2018 Dec 4	0	α-PD-L1 mAb enhances the abscopal effect of hypo-fractionated radiation by attenuating PD-L1 expression and inducing CD8&lt;sup&gt;+&lt;/sup&gt; T-cell infiltration.	Immunotherapy
