Sobs	Shannon	Simpson	Pielou	Chao	ACE	goods_coverage	depth	sample
105	4.14992717446766	0.974155555555556	1.78339601639588	164.913043478261	182.511371949403	0.823333333333333	300	KUUP1
96	4.17574530193902	0.978244444444444	1.82972250440699	126.565217391304	135.381437446931	0.873333333333333	300	KUUP2
91	4.12117797880071	0.976955555555556	1.82722515425135	113.545454545455	120.788670421936	0.893333333333333	300	KUUP3
97	4.06515221497779	0.973222222222222	1.77722799716965	148.47619047619	166.401265126513	0.843333333333333	300	KUUPmet2
141	4.63316283889557	0.986536	1.8724540860848	171	166.919039528226	0.92	500	ADAL1
201	4.9643721676551	0.989328	1.87218055673589	276.566037735849	296.701067706523	0.82	500	ADAL3
287	5.41652192378927	0.994064	1.91414045217995	657.30612244898	685.80358532469	0.618	500	ADALmet1
153	4.77326001076353	0.989592	1.89775128342794	170.333333333333	181.642297520588	0.92	500	ADALmet2
43	2.75570377464007	0.88744	1.46533217583501	46.2727272727273	49.5022151401024	0.982	500	ADUP1
56	2.73847761065513	0.878904	1.3606153305601	77.2307692307692	92.5790577913408	0.952	500	ADUP3
37	2.1572683182394	0.789792	1.19485868714178	53.5	44.8635856709548	0.976	500	ADUPmet1
38	2.19236339095929	0.7894	1.20539461867987	41.6	43.924306979469	0.982	500	ADUPmet2
128	4.52640248284247	0.985936	1.86577669001838	155.045454545455	152.296104111321	0.93	500	KUAL1
209	4.94396156024553	0.989288	1.85086193677501	364.116279069767	411.552010590815	0.768	500	KUAL2
157	4.63359578659021	0.985736	1.83282062026691	218.176470588235	227.041409927285	0.87	500	KUAL3
195	4.92358561962322	0.989824	1.86747052221044	272.019230769231	313.97823699998	0.82	500	KUALmet1
188	4.91817800400026	0.990168	1.87844266733449	277.552631578947	284.437425582296	0.834	500	KUALmet2
145	4.51454302323083	0.982528	1.81425941466383	169.06976744186	179.931881704225	0.908	500	KUALmet3
154	4.39137056011888	0.975528	1.7436616568576	211.5	239.963946209429	0.86	500	KUUP1
121	4.34912531417851	0.979808	1.81372613037559	131.15625	135.764232413096	0.948	500	KUUP2
103	4.05972012826539	0.971368	1.75186947870111	136.066666666667	127.043010752688	0.936	500	KUUP3
106	4.21867958352395	0.97936	1.80925685889212	123.181818181818	125.590060916777	0.944	500	KUUPmet2
152	4.70016053034287	0.987959183673469	1.8711275122248	168.607142857143	169.342936196322	0.955714285714286	700	ADAL1
219	5.02279562892947	0.989922448979592	1.86406709012222	260.637931034483	273.183680560371	0.9	700	ADAL3
348	5.54838428701512	0.994571428571429	1.89616962372393	747.842105263158	755.087973902212	0.694285714285714	700	ADALmet1
175	4.8905486631801	0.990714285714286	1.8938049661194	202.774193548387	200.386146105956	0.94	700	ADALmet2
44	2.66034339807307	0.878069387755102	1.40603069900515	45.1111111111111	46.568569163694	0.992857142857143	700	ADUP1
64	2.77983421384445	0.880571428571429	1.33681767826895	78	83.4360795454545	0.97	700	ADUP3
41	2.20465838465625	0.798755102040816	1.18735187849085	44.1111111111111	44.3843635102324	0.988571428571429	700	ADUPmet1
36	1.96723445143943	0.755828571428571	1.09793445226606	41.625	44.5944007844757	0.985714285714286	700	ADUPmet2
135	4.54488580025205	0.98614693877551	1.85306063596253	152.55	151.620941776463	0.961428571428571	700	KUAL1
234	5.00668754139698	0.989665306122449	1.83552441204689	311.918032786885	349.400744250555	0.86	700	KUAL2
193	4.86537647667583	0.989028571428571	1.8490073715277	239.5	247.666577908773	0.91	700	KUAL3
233	5.08842545437346	0.99109387755102	1.86695635986385	328.232558139535	321.517529756937	0.87	700	KUALmet1
200	4.88027470530107	0.989081632653061	1.84219795368003	246	264.806465694474	0.901428571428571	700	KUALmet2
172	4.58176252952714	0.983024489795918	1.78019133392581	220.48717948718	232.448462810378	0.911428571428571	700	KUALmet3
187	4.53946337671701	0.97789387755102	1.7355645654502	236.153846153846	261.155023398636	0.897142857142857	700	KUUP1
126	4.29559765156972	0.978914285714286	1.77640498805308	150.391304347826	151.08716618777	0.951428571428571	700	KUUP2
112	4.18731271868788	0.9754	1.7748495158752	118.12	121.798077394972	0.974285714285714	700	KUUP3
118	4.27721865802376	0.979134693877551	1.79312572291564	129	131.885270305335	0.967142857142857	700	KUUPmet2
154	4.73347838941975	0.988481481481482	1.87950086611954	161.434782608696	162.025242478137	0.978888888888889	900	ADAL1
240	5.08567989839082	0.990711111111111	1.85587117470226	311.818181818182	305.015692492154	0.911111111111111	900	ADAL3
427	5.69980997301163	0.994940740740741	1.88212422980997	805.011764705882	903.510082038574	0.717777777777778	900	ADALmet1
170	4.86458612930723	0.990681481481481	1.89438358570053	181.7	182.797719429884	0.97	900	ADALmet2
48	2.72320783653871	0.88557037037037	1.4069059337738	52.6666666666667	51.9390248911927	0.991111111111111	900	ADUP1
68	2.80718303123597	0.885548148148148	1.33057371967463	78.2	81.04	0.98	900	ADUP3
41	2.0771124166635	0.777762962962963	1.11866008218167	42.6666666666667	44.3400750411184	0.993333333333333	900	ADUPmet1
38	2.04794985269614	0.765449382716049	1.12599386668558	42.6666666666667	43.2319053687547	0.991111111111111	900	ADUPmet2
148	4.60583820924434	0.98683950617284	1.84336304200062	157.51724137931	161.494867909125	0.973333333333333	900	KUAL1
255	5.06279642014105	0.99023950617284	1.82730757304065	325.5	347.010101450388	0.895555555555556	900	KUAL2
199	4.842424050974	0.98858024691358	1.82964110751964	249.323529411765	244.692242247849	0.934444444444444	900	KUAL3
247	5.08874792118263	0.990762962962963	1.84730050243552	292.491803278689	304.741377940242	0.916666666666667	900	KUALmet1
240	5.08450948046777	0.991145679012346	1.85544406467388	294.411764705882	299.346995960049	0.916666666666667	900	KUALmet2
189	4.63265488636829	0.982832098765432	1.76759957054722	237.617647058824	233.440633157008	0.935555555555556	900	KUALmet3
199	4.49397771097752	0.976888888888889	1.69798561004332	244.566037735849	266.311422226245	0.922222222222222	900	KUUP1
130	4.35716360321877	0.979918518518519	1.79029594862383	145	140.091780882876	0.976666666666667	900	KUUP2
118	4.19549697408753	0.974244444444444	1.75886578315054	132.615384615385	127.356128329279	0.977777777777778	900	KUUP3
125	4.27678890844367	0.979165432098765	1.77154557103542	139.526315789474	138.861974581288	0.973333333333333	900	KUUPmet2
161	4.73497012253066	0.988229752066116	1.86364626092698	169.636363636364	169.836378168295	0.981818181818182	1100	ADAL1
245	5.13351494610671	0.991717355371901	1.86630576120454	280.934782608696	280.588380788107	0.947272727272727	1100	ADAL3
480	5.79089400176357	0.995357024793388	1.87596197999267	850.561224489796	947.525366643034	0.754545454545455	1100	ADALmet1
180	4.94702811864461	0.991654545454545	1.90528373745164	187.777777777778	188.814760623991	0.980909090909091	1100	ADALmet2
52	2.7857284669201	0.894864462809917	1.41005144978515	54.1	55.942053733468	0.993636363636364	1100	ADUP1
73	2.8115308179026	0.882919008264463	1.31059661859899	79.8	85.2330072524878	0.984545454545455	1100	ADUP3
43	2.13577705386971	0.778988429752066	1.13568913547472	47.6666666666667	46.6617309090909	0.992727272727273	1100	ADUPmet1
39	2.087055379948	0.769123966942149	1.13935867963508	41.5	41.0998252370627	0.995454545454545	1100	ADUPmet2
156	4.61189377674731	0.986545454545455	1.8265446658782	169.541666666667	170.035529569677	0.976363636363636	1100	KUAL1
277	5.08976551384237	0.990385123966942	1.81001055144042	384.019230769231	386.287883553875	0.903636363636364	1100	KUAL2
209	4.88030249161466	0.988955371900826	1.82703000652562	234.567567567568	233.800411102583	0.96	1100	KUAL3
253	5.08266126397328	0.990828099173554	1.83708783714848	293.2	298.61565084693	0.939090909090909	1100	KUALmet1
248	5.08911389282414	0.991036363636364	1.84607950047927	280.181818181818	285.92272806937	0.945454545454545	1100	KUALmet2
193	4.62986281733952	0.982733884297521	1.75950422736283	222.684210526316	226.516057194722	0.956363636363636	1100	KUALmet3
215	4.5325919484744	0.975785123966942	1.68791563487833	266.382978723404	277.631283339735	0.936363636363636	1100	KUUP1
140	4.39824462633743	0.981100826446281	1.7800740119173	149.130434782609	151.306430178796	0.980909090909091	1100	KUUP2
123	4.24938479733473	0.976036363636364	1.76609393303506	131	129.882231428219	0.985454545454545	1100	KUUP3
128	4.323663901557	0.97964958677686	1.78220813407055	140.666666666667	137.344656471984	0.981818181818182	1100	KUUPmet2
163	4.72295079660527	0.988155029585799	1.85441005562355	173	171.677538981057	0.984615384615385	1300	ADAL1
271	5.17275658297807	0.991184615384615	1.84671434090211	311.78431372549	312.892254653201	0.95	1300	ADAL3
493	5.73033670674072	0.994737278106509	1.84834391689306	905.670454545455	964.399861118673	0.792307692307692	1300	ADALmet1
184	4.91679605808108	0.99112426035503	1.88565930113601	198.285714285714	195.640182628711	0.980769230769231	1300	ADALmet2
53	2.73762733427914	0.88269349112426	1.37905594545055	57	59.3932689723606	0.993076923076923	1300	ADUP1
78	2.78876713459166	0.878765680473373	1.28021735926322	92.4375	95.4594156386855	0.983076923076923	1300	ADUP3
45	2.18331618111775	0.786482840236686	1.14710257974538	46.6666666666667	47.1268468130356	0.996153846153846	1300	ADUPmet1
42	2.02573977218672	0.761533727810651	1.08395871174783	43.4285714285714	44.049939719602	0.996153846153846	1300	ADUPmet2
150	4.58547267836825	0.986363313609467	1.83029592425976	156	156.703540601996	0.987692307692308	1300	KUAL1
287	5.09250439505705	0.989989349112426	1.7996361507688	360.438596491228	366.970797051801	0.929230769230769	1300	KUAL2
217	4.91066803534537	0.989149112426036	1.82556198107152	237.085714285714	235.913942509369	0.970769230769231	1300	KUAL3
282	5.15963973218544	0.990947928994083	1.82904102010582	348.5	331.399579186299	0.940769230769231	1300	KUALmet1
258	5.10247329969381	0.99121775147929	1.83774912158517	298.666666666667	295.991508292023	0.953076923076923	1300	KUALmet2
201	4.67482860101252	0.984630769230769	1.76298692308206	233.228571428571	235.159882464783	0.963076923076923	1300	KUALmet3
219	4.54359121890848	0.976720710059172	1.68622406481243	264.02380952381	267.767066241067	0.952307692307692	1300	KUUP1
139	4.38381798535159	0.980657988165681	1.77681270374865	149.2	147.158521462231	0.986153846153846	1300	KUUP2
124	4.20551053762758	0.974003550295858	1.74492318773902	137.333333333333	131.010388135362	0.987692307692308	1300	KUUP3
130	4.30142967531834	0.979827218934911	1.76739567807917	138.55	140.407888654757	0.985384615384615	1300	KUUPmet2
163	4.74839596206844	0.988467555555556	1.86440079504345	167.4	167.113085128453	0.992	1500	ADAL1
272	5.16137753762797	0.991252444444444	1.84144123413131	305.478260869565	304.785591571924	0.962666666666667	1500	ADAL3
531	5.78690918225325	0.995052444444444	1.84450315809997	839.08547008547	955.782144830803	0.820666666666667	1500	ADALmet1
186	4.9601609070407	0.991659555555556	1.89835490189049	193.65	192.668649392791	0.988	1500	ADALmet2
52	2.69473964658532	0.876671111111111	1.3639956623849	52.0769230769231	52.9385545463977	0.998666666666667	1500	ADUP1
80	2.87479492048753	0.889602666666667	1.31208464035339	86.0666666666667	88.2631389181445	0.990666666666667	1500	ADUP3
44	2.15301757840998	0.785488	1.13790152539511	46.5	47.2139426949616	0.996	1500	ADUPmet1
45	2.06411419805529	0.769459555555556	1.08447449890932	48.75	47.7420051971034	0.996	1500	ADUPmet2
156	4.63497646087808	0.987130666666667	1.835686583627	163.058823529412	162.58963453649	0.989333333333333	1500	KUAL1
293	5.13376051306899	0.990685333333333	1.80760722127329	333.571428571429	341.531099884458	0.952	1500	KUAL2
221	4.88995650876719	0.988712888888889	1.81171142077371	242.724137931034	238.222673866619	0.976	1500	KUAL3
276	5.10028310393634	0.990560888888889	1.81491791272278	320.6875	319.781634239703	0.956	1500	KUALmet1
253	5.08334028952045	0.990992	1.8373332655784	272.30612244898	276.321781886643	0.970666666666667	1500	KUALmet2
205	4.61111236383635	0.981725333333333	1.73252065350541	227.285714285714	227.797464491045	0.973333333333333	1500	KUALmet3
222	4.57649176908493	0.977461333333333	1.69415696907631	253.783783783784	249.506637083255	0.967333333333333	1500	KUUP1
138	4.40555408084808	0.981590222222222	1.78823919463263	143.571428571429	143.53223523049	0.991333333333333	1500	KUUP2
126	4.21698392375274	0.974198222222222	1.74389500235353	127.647058823529	128.789419207326	0.994666666666667	1500	KUUP3
132	4.31931012758587	0.980127111111111	1.7691932607817	143.769230769231	140.884049774603	0.988	1500	KUUPmet2
163	4.74876470893046	0.988563321799308	1.86454557908173	165.894736842105	166.572956867972	0.993529411764706	1700	ADAL1
280	5.21933435094198	0.991959169550173	1.8525392138888	302	302.307842634922	0.973529411764706	1700	ADAL3
574	5.81909108079829	0.995033910034602	1.8320259904252	914.691056910569	1009.55940174888	0.829411764705882	1700	ADALmet1
189	4.95100733883005	0.991386851211073	1.88906764275564	217.875	198.144661143294	0.987058823529412	1700	ADALmet2
53	2.76066665243877	0.886467128027682	1.39066180147387	54.4285714285714	55.5250014535729	0.997058823529412	1700	ADUP1
83	2.79980839448966	0.878519031141868	1.26721402421698	89.0666666666667	89.3955338386877	0.991764705882353	1700	ADUP3
46	2.11738561872037	0.769049826989619	1.10607675122671	47.4285714285714	48.1865559212055	0.997058823529412	1700	ADUPmet1
44	2.09704546703291	0.770268512110727	1.10831943951052	44.2	44.5350907770516	0.998823529411765	1700	ADUPmet2
160	4.6435549113947	0.987508650519031	1.82990970573518	169	169.179466778786	0.988823529411765	1700	KUAL1
309	5.12983521179184	0.990348096885813	1.78947492013507	362.114754098361	368.437949996851	0.952352941176471	1700	KUAL2
230	4.92986793214758	0.989071972318339	1.81309159064977	251.483870967742	248.282305646455	0.978235294117647	1700	KUAL3
289	5.12918802950878	0.990782698961938	1.81037832546895	336.788461538462	337.673709961862	0.958235294117647	1700	KUALmet1
275	5.13190068379096	0.991485121107266	1.8273490567999	307.571428571429	310.295699248052	0.966470588235294	1700	KUALmet2
216	4.6199198767357	0.981510726643599	1.71895091801435	249.176470588235	246.937494547416	0.971764705882353	1700	KUALmet3
241	4.60828585337843	0.977950865051903	1.68038522091486	272.108695652174	274.168826914398	0.968235294117647	1700	KUUP1
142	4.40156636883932	0.981161937716263	1.77631960021211	149	148.978328298174	0.991176470588235	1700	KUUP2
127	4.26132389885711	0.975053287197232	1.75935562471119	128.5	128.765934277455	0.996470588235294	1700	KUUP3
135	4.34178441437178	0.980480968858132	1.77025125420353	139.588235294118	141.021599228334	0.992352941176471	1700	KUUPmet2
167	4.74724116460754	0.988585041551246	1.8551179773177	179	173.25522436226	0.991578947368421	1900	ADAL1
281	5.20805545275815	0.991941828254848	1.84736709844951	309.447368421053	305.728976518024	0.975263157894737	1900	ADAL3
598	5.87901447194978	0.99533351800554	1.83903371304055	838.5	906.703256185851	0.863157894736842	1900	ADALmet1
194	4.96695408857662	0.991540720221607	1.88575847663286	206.214285714286	201.41228681178	0.99	1900	ADALmet2
52	2.74766960863072	0.884417174515235	1.39078720743513	55.75	54.8303613343516	0.996842105263158	1900	ADUP1
82	2.85039404686277	0.88283324099723	1.29365811022898	86.0909090909091	85.9020322959732	0.994736842105263	1900	ADUP3
48	2.22451178689566	0.793737396121884	1.14926183405493	50	49.8389067866557	0.997368421052632	1900	ADUPmet1
43	2.06369395543531	0.770002770083102	1.0973592959463	43.4285714285714	44.1452475983101	0.998421052631579	1900	ADUPmet2
160	4.63303108422298	0.986631578947368	1.82576252672029	162.25	162.842645973821	0.995263157894737	1900	KUAL1
309	5.16862362534696	0.990929085872576	1.80300574332587	350.418181818182	352.46619767165	0.96421052631579	1900	KUAL2
235	4.97073284565795	0.989770637119114	1.82091949389941	250.5	250.119583609305	0.983157894736842	1900	KUAL3
302	5.15465860731564	0.990742936288089	1.80534961453208	323.873015873016	330.639763477981	0.972105263157895	1900	KUALmet1
279	5.11553835561832	0.990716343490305	1.81685170219748	308.651162790698	305.675420395497	0.973157894736842	1900	KUALmet2
223	4.73624597794645	0.984996121883656	1.75183855003278	237.171428571429	238.410693117546	0.983157894736842	1900	KUALmet3
241	4.62627300932984	0.978168421052632	1.68694413500759	269.285714285714	264.413815310206	0.976315789473684	1900	KUUP1
147	4.41558930265294	0.980898060941828	1.76962186178058	157.5	152.249017293818	0.992105263157895	1900	KUUP2
125	4.2828378396086	0.97721052631579	1.77405117920176	126.666666666667	126.656857551404	0.996842105263158	1900	KUUP3
136	4.31607607810745	0.979052077562327	1.75712570025597	137.473684210526	139.12536243943	0.995789473684211	1900	KUUPmet2
171	4.77791771924954	0.988902947845805	1.85851044773512	175.583333333333	174.971932922749	0.994761904761905	2100	ADAL1
282	5.17310753818701	0.990904761904762	1.83381522352046	298.738095238095	299.289008372988	0.981904761904762	2100	ADAL3
639	5.91011788504391	0.995418140589569	1.82978492229523	928.021126760563	1015.50999883874	0.863333333333333	2100	ADALmet1
192	4.95879142581654	0.991563718820862	1.8863702485406	200.076923076923	197.617404186365	0.992857142857143	2100	ADALmet2
55	2.74481218583234	0.885663945578231	1.36989467007501	58	58.0712773327349	0.997142857142857	2100	ADUP1
85	2.74495929982375	0.873084807256236	1.23573026166013	96.7692307692308	96.2632539996608	0.991428571428571	2100	ADUP3
45	2.15313469723912	0.785589569160998	1.13124539043073	45.1666666666667	45.6724670072371	0.999047619047619	2100	ADUPmet1
44	2.10330235047968	0.7727179138322	1.11162629463781	46	45.3589027178054	0.998095238095238	2100	ADUPmet2
162	4.66188856879144	0.987671201814059	1.83264876441047	170.076923076923	168.07415851623	0.992857142857143	2100	KUAL1
314	5.17617498982509	0.990912471655329	1.80059877712721	349.882352941176	348.750382016696	0.970952380952381	2100	KUAL2
237	4.96239200994434	0.989651247165533	1.81504660953278	257.035714285714	253.57141229461	0.983809523809524	2100	KUAL3
302	5.17338418002617	0.991131972789116	1.81190799367029	335.279069767442	330.610576552884	0.974285714285714	2100	KUALmet1
280	5.12705881414939	0.991225850340136	1.81978713500348	314.894736842105	309.88278275964	0.975238095238095	2100	KUALmet2
224	4.67021761505559	0.983149659863946	1.72598783080231	246.965517241379	242.923013738482	0.982380952380952	2100	KUALmet3
243	4.57072458256974	0.976850340136054	1.66418112366502	275.666666666667	270.01543104758	0.976666666666667	2100	KUUP1
147	4.34359090611858	0.97878820861678	1.74076729044538	156.545454545455	153.508611105663	0.992857142857143	2100	KUUP2
123	4.24444166649541	0.975066213151927	1.76403951014754	124.428571428571	124.294883560571	0.997619047619048	2100	KUUP3
135	4.3180959543585	0.97949977324263	1.76059289210018	137.153846153846	137.788732704496	0.996190476190476	2100	KUUPmet2
170	4.77369565035165	0.98905595463138	1.85898870793435	175.5	173.896293795517	0.995217391304348	2300	ADAL1
288	5.20636717534524	0.991697920604915	1.8387439550771	302.025	302.792692606424	0.985217391304348	2300	ADAL3
653	5.90536657902009	0.995323629489603	1.82220051115224	928.042553191489	995.189403323292	0.878695652173913	2300	ADALmet1
193	4.98055614057444	0.991779584120983	1.89277953358332	202.545454545455	198.248237928723	0.993478260869565	2300	ADALmet2
54	2.70094991268252	0.88241247637051	1.35420441954831	56	56.2573220464657	0.997826086956522	2300	ADUP1
88	2.81400730577564	0.88038034026465	1.25700049934867	98.5	94.8741076137431	0.993478260869565	2300	ADUP3
48	2.16513343732787	0.784406049149338	1.11858486874082	48.75	49.0944753025193	0.998695652173913	2300	ADUPmet1
44	2.08267160435329	0.770792060491493	1.10072264121544	45	44.5054297335875	0.999130434782609	2300	ADUPmet2
163	4.63121467332751	0.987043856332703	1.81839096569518	166.882352941176	167.997670603334	0.994782608695652	2300	KUAL1
329	5.17516424046315	0.990560302457467	1.78575316637581	373.22	368.248054798574	0.970869565217391	2300	KUAL2
239	4.98559165435851	0.990136105860113	1.82073398538373	258.375	253.366144156838	0.986521739130435	2300	KUAL3
306	5.19841549411376	0.991275992438563	1.81648928128649	326.5	324.598051130344	0.981739130434783	2300	KUALmet1
290	5.11953958469118	0.991054442344045	1.80587199422169	338.125	319.752758544891	0.975652173913043	2300	KUALmet2
223	4.66942230619557	0.983594706994329	1.72712186834585	244.483870967742	243.022904860117	0.983913043478261	2300	KUALmet3
249	4.64200073078927	0.97891606805293	1.68266075593092	300.130434782609	272.344372409149	0.978695652173913	2300	KUUP1
150	4.42907983853867	0.981021928166352	1.76787156860417	152.769230769231	153.376278610094	0.996086956521739	2300	KUUP2
128	4.25299420077941	0.974685066162571	1.75307818354114	128.6	129.178487485902	0.998260869565217	2300	KUUP3
140	4.34403516333589	0.980456332703214	1.75813415534107	151.375	146.123246571462	0.993913043478261	2300	KUUPmet2
168	4.7597273523732	0.98882528	1.85783013756764	172	170.219982069407	0.9968	2500	ADAL1
293	5.22011152289577	0.99151296	1.83801158246812	307.588235294118	305.403409606671	0.9872	2500	ADAL3
708	5.97196594929723	0.99544192	1.82004322293155	980.161676646707	1077.13917895908	0.8792	2500	ADALmet1
193	4.97594511825605	0.99182848	1.89102718938182	199	197.755126008234	0.9948	2500	ADALmet2
54	2.73096609278032	0.88227488	1.36925395584498	54	54.2359368512809	0.9996	2500	ADUP1
85	2.82614556477979	0.88030464	1.27227882704097	89.5833333333333	90.0656209442033	0.9956	2500	ADUP3
46	2.1682215945896	0.78409568	1.13263237271471	46.2	46.6596991737872	0.9992	2500	ADUPmet1
44	2.08403521234694	0.77214624	1.10144332813949	44.25	44.6083226083226	0.9992	2500	ADUPmet2
162	4.65380613095757	0.98736384	1.82947145343637	164.8	164.675822763448	0.9968	2500	KUAL1
336	5.17400741730353	0.99066464	1.77889240037705	378.654545454545	380.498556920866	0.9724	2500	KUAL2
231	4.93368516466236	0.98942272	1.81304906278108	244.541666666667	242.323130870717	0.9896	2500	KUAL3
308	5.16773119151428	0.9909104	1.80371420646799	335.972972972973	329.605525715003	0.9816	2500	KUALmet1
296	5.1856449110527	0.99151456	1.82260714904826	312.65	312.623790116726	0.9852	2500	KUALmet2
231	4.69034157258552	0.9834496	1.72362425012608	270.047619047619	252.941520781275	0.9836	2500	KUALmet3
258	4.69367519724198	0.97924608	1.69051300498821	272.588235294118	270.30544202468	0.9872	2500	KUUP1
146	4.40459120552478	0.98045984	1.7676319741364	148.8	148.417318069372	0.9968	2500	KUUP2
127	4.25919503214287	0.97548064	1.75847668809035	127.375	127.791469419779	0.9988	2500	KUUP3
135	4.354390269722	0.98035424	1.77539096845792	136.666666666667	136.857796422918	0.9976	2500	KUUPmet2
171	4.75612124600875	0.988350068587106	1.85003207376091	171.588235294118	172.515073985418	0.998148148148148	2700	ADAL1
292	5.2109898624812	0.991517421124829	1.83590483011577	309.6	305.652540274379	0.987777777777778	2700	ADAL3
728	5.98642828565301	0.995507544581619	1.81673894466204	979.635294117647	1057.41643463294	0.891481481481482	2700	ADALmet1
196	4.98720471702277	0.991881207133059	1.8897674791134	203	201.347545910953	0.994814814814815	2700	ADALmet2
55	2.72310326670189	0.881023593964335	1.35906007353562	56	55.9959343112245	0.998888888888889	2700	ADUP1
85	2.83655706073395	0.88338244170096	1.27696589129745	88.2142857142857	90.0599256788097	0.996296296296296	2700	ADUP3
47	2.15978750243242	0.783600274348422	1.12192452126934	47.25	47.5425690783231	0.999259259259259	2700	ADUPmet1
44	2.08488858063124	0.768877366255144	1.10189434585628	44	44.2281902530102	0.99962962962963	2700	ADUPmet2
163	4.68386969440005	0.987908641975309	1.83906532898225	165.333333333333	165.101790342965	0.997407407407407	2700	KUAL1
342	5.18746259512033	0.990525925925926	1.77810826396465	383.108695652174	375.583674620133	0.977037037037037	2700	KUAL2
232	4.95421071482535	0.989548971193416	1.81914800614288	238	237.061238142319	0.994074074074074	2700	KUAL3
316	5.17270715782513	0.990758573388203	1.79740751613737	335.06976744186	335.871261195671	0.984814814814815	2700	KUALmet1
294	5.15511318967898	0.991320438957476	1.81403742032562	321.774193548387	313.510238263985	0.984444444444444	2700	KUALmet2
