,TCGA-NJ-A4YG-01,TCGA-05-4420-01,TCGA-L9-A444-01,TCGA-55-1594-01,TCGA-78-8648-01,TCGA-55-8085-01,TCGA-55-7281-01,TCGA-38-4630-01,TCGA-91-6848-01,TCGA-49-4486-01,TCGA-55-7728-01,TCGA-55-A492-01,TCGA-86-7954-01,TCGA-55-8619-01,TCGA-NJ-A55O-01,TCGA-44-2655-01,TCGA-55-8206-01,TCGA-NJ-A7XG-01,TCGA-MP-A4TK-01,TCGA-J2-8194-01,TCGA-55-7913-01,TCGA-78-7633-01,TCGA-44-3919-01,TCGA-55-A4DF-01,TCGA-64-1677-01,TCGA-95-8039-01,TCGA-86-7714-01,TCGA-O1-A52J-01,TCGA-50-5942-01,TCGA-05-4390-01,TCGA-78-7156-01,TCGA-38-4626-01,TCGA-55-5899-01,TCGA-97-7552-01,TCGA-MP-A4TI-01,TCGA-50-5068-01,TCGA-55-8094-01,TCGA-73-4670-01,TCGA-86-8056-01,TCGA-44-5644-01,TCGA-44-7662-01,TCGA-78-7145-01,TCGA-50-5946-01,TCGA-44-2665-01,TCGA-49-4494-01,TCGA-67-6217-01,TCGA-97-7937-01,TCGA-35-3615-01,TCGA-91-6840-01,TCGA-86-8074-01
RP13-526J3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF708,1.2,1,1.3,1.6,0.9,1,1,1.5,0.9,0.7,1.5,0.6,1.4,1.3,1,0.9,1.8,1.1,1.2,1.1,1.2,1.1,1.5,4.1,2.4,1.3,2,1.1,1.8,1.2,1.2,1,0.7,1.7,1.2,2.1,0.7,0.6,2.1,1.5,1.2,1.3,2.9,1.9,1.1,1.2,1.9,1.3,3,1.5
LINC01224,0,0.7,0.3,0.9,0.4,0.3,0.4,2.3,0,0.1,0.2,0,0.2,0.3,0,0,0,0,0.5,0,0,0.2,0,4.2,0.7,0,0,0.3,0.1,0.5,0,0.1,1.4,0.2,0,0.2,1.5,0,0.3,1.5,1.5,0.1,3.4,0.1,0,0.2,0,0,1.6,0.4
RP11-434D2.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-15J22.8,0,0.1,0,0.1,0,0,0,0.1,0.1,0.1,0.3,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0.1,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0.2,0,0,0,0.2,0,0,0,0.1,0,0
MYADML2,0,0.1,0.2,0.1,0.1,0.1,0,0.2,0.1,0,0,0.1,0.1,0,0,0,0,0.1,0,0.1,0,0,0,0.3,0.1,0.1,0,0,0,0.1,0,0,0.2,0,0,0,0.1,0.1,0.1,1.6,0.1,0,0.1,0.1,0,0.1,0,0,0.1,0
DNM3-IT1,0.2,0,0,0,0,0,0,0.1,0,0,0.2,0.1,0,0.2,0,0.1,0.1,0.2,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0
PHEX,0.2,0.1,0.6,0.7,0.6,0.6,0.2,0.7,0.4,0.4,0.2,0.4,1,0.5,0.3,0.7,0.5,0.1,0.6,0.5,0.4,0.1,0.8,1.2,1,0.8,0.3,0.4,0.3,0.1,0.6,0.5,1.5,0.7,0.3,0.2,0,0.7,0.5,0.1,0.1,0.8,0.1,0.9,1.1,0.3,0,0.6,0.4,0.8
KRT8P47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOGAT2,0,0,0,0,0,0.2,0,0.2,0,0.1,0.7,0,0,0.2,0.1,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.8,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0.2
RP11-411B10.8,0.1,0,0.3,0,0,0,0,0.3,0.1,0,0,0,0.1,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0.2,0.1,0,0,0.3,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0.1,0,0.1
PFN2,2.8,5.8,4.1,6.6,4.1,6.9,2.9,6.1,5.9,5.2,1.6,3.8,5.6,2.5,1.7,6,2.6,2.9,3.3,4.4,5.5,4.8,4.1,7.4,4.6,2.5,1.5,4.3,3.6,6.1,5.1,3.9,6.2,3.3,3.3,3.9,5.1,4.6,4.4,5.2,4.8,5.6,5.5,4.2,3.4,2.8,2.8,3.7,3.6,3.7
RP11-189E14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASC23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNM1P41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-640I15.1,0.5,0,0.3,0.1,0.2,0.1,0.1,0.6,0.4,0.2,0.5,0.7,0.2,0.1,0.2,0.3,0.3,0.3,0.3,0.1,0.2,0,0,0.2,0.5,0.2,0.2,0.3,0.2,0.1,0.3,0.2,0.3,0,0.1,0,0.4,0.2,0,1,0.2,0.1,0.6,0.1,0,0.1,0.2,0.2,0.2,0.1
RMND5A,2.4,3.2,3,3.8,2.7,2.9,2.9,4.5,3.2,2.5,2.7,2.4,3.5,3.5,2.7,3.1,3.2,2.6,2.9,3.2,2.9,3.4,3.2,4,3.3,2.8,3.3,3,3.4,3,3.6,2.8,3.4,3.9,2.5,2.3,3.5,2.5,3.6,3.9,2.7,3.5,4,2,1.8,3.1,2.9,2.5,3.6,3
AC092301.3,0.4,0.1,0.7,0.3,0.4,0.2,0.2,1.7,0.3,0.1,0.6,0,0.5,0.1,0.6,0,0.4,0.5,0.4,0.3,0.6,0.1,0.2,0.6,0.4,0.3,0.2,0.3,0,0.2,0.3,0.3,0.2,0.2,0.6,0,0.1,0.1,0.4,0.6,0.4,0.1,0.4,0.3,0,0.6,0.6,0.2,0.5,0.2
SNORA40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-114O18.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0
RAD23A,5,4.8,5.4,4.6,5.1,4.8,5.5,5.8,5.3,5.5,5.1,5.5,5.1,5.2,4.7,4.9,4.9,5.1,5.4,4.8,5.2,4.7,4.9,4.9,5.4,5.3,5,5.1,5,5.1,4.8,5,5.7,5.1,5.4,4.8,4.7,5.3,5.5,5.2,5.2,5.2,4.2,5.5,5.6,4.8,5.3,5.3,4.8,5.2
RP11-642P15.1,0.2,0.3,0.2,0.4,0.3,0.4,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.3,0.2,0.3,0.3,0.1,0.2,0.1,0.1,0.2,0.3,0,0.1,0.2,0.1,0.2,0.3,0.1,0.2,0.6,0.1,0.1,0.4,0.1,0.1,0.2,0.1,0.1,0.4,0.1
U1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR2D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERPINB11,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0.1,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
RP1-278O22.2,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
RP11-725G5.2,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
SIN3B,2.7,2.4,3.4,2.3,3,2.4,2.4,3.6,2.7,1.8,3.6,2.2,3,3,2.8,1.8,3.2,3,3.2,2.8,2.4,2.4,2.8,2.8,2.4,3,2.6,2.7,2.5,2.6,2.1,2.6,2.3,2.6,3.2,1.4,2.4,2.1,3.1,3,2.9,2.6,3.8,2.9,1.9,2.5,3.4,2.2,2.6,3.2
AC007611.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00705,0,0,0,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P17,0,0,0.2,0.2,0,0.1,0,0.1,0.1,0,0.2,0,0.2,0,0,0,0.1,0,0,0.1,0,0,0.1,0,0,0.1,0.2,0.1,0,0,0.1,0,0,0.1,0,0,0,0,0.3,0.1,0.1,0.1,0.1,0,0,0.2,0,0.1,0.2,0
TLL2,0.1,0.2,0.1,0.2,0.2,0,0,0.5,0.2,0,0.2,0,0.1,0.3,1.2,0.4,0,0,0.1,0.3,1.1,0,0.1,0.1,0,0,0,0,0.1,0.3,0,0,0.3,0.3,0.2,0.1,0.1,0.2,0,0.9,0.1,0,0,0.2,0,0,0,0.1,0.1,0.3
CTC-360J11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-344N17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0
CTSA,5.3,6.5,5.9,6.2,6,5.7,6,4.4,4.9,4.6,5.8,5.7,6.5,5.6,5.6,5.9,5.1,5.7,6.8,5.4,5.6,5.8,5.4,4.8,5,6,5,7.5,4.1,4.8,4.6,5.9,5.4,5,6.4,4.9,6.5,5.3,5.6,5.5,5.8,6,5.5,5.2,5,5.4,6.1,4.8,5.5,5.7
HCG4P5,3.2,2.3,5.5,3.4,1,3.1,1.9,3.1,2.7,0.3,4.8,2.8,4.1,1.2,3.2,1.2,4.1,3.5,0.8,2.7,1.4,0.9,5.4,3.2,4.3,4.7,2.7,4.7,1.2,2.2,1.7,0.5,6.3,3.3,3.6,0.5,3.6,4.2,3.2,1.4,0.9,1.6,0.5,2.1,2.2,2.7,2,2.2,0.8,4.4
IL32,5.6,4.1,5.5,3,5.1,5.7,6.1,3.8,5.2,3.4,4.9,3.5,4.7,5.3,3.7,4.7,3.5,2.7,5.2,4.1,3.1,2.3,5.5,4.4,5.5,5,2.3,3.1,3.1,5.8,3.3,4.2,3.8,5.1,6.3,5.6,3.5,4.6,4.1,4.4,5.4,2.8,2.7,5.2,6.1,4.7,2.8,3.7,4.2,6
RP11-43F13.3,0.1,0.1,0.2,0.1,0.6,0.1,0.2,0.1,0.3,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0,0.5,0.2,0.4,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.3,0.2,0.1,0.7,0.1,0.1,0.3,0.1,0,0.4,0.1,0.1,0.1,0.1,0.1,0.3
RP11-927P21.2,0,0.2,0.5,0.1,0,0.1,0.1,0.2,0.1,0,0.2,0.4,0.1,0.1,0.2,0.1,0.1,0,0.4,0.2,0.2,0.4,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0,0.4,0.1,0,0,0.4,0.1,0.3,0,0,0,0.1,0.2,0.1,0.3,0,0.1,0.1,0,0.2,0
ASS1P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0,0
PRKRIRP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPN4,1.2,1.3,1.7,1.4,1.2,1.6,1.1,1.8,1.2,1.1,1.1,1.2,1.7,1.4,1.3,1.6,1.8,1.5,1,1.8,1,1.9,1.6,1.5,1.1,2,2.2,2.1,2.4,1.2,2,1.6,0.9,2,1.2,1.7,0.9,0.9,2.2,1,1.1,1.3,1.6,1,0.8,1.5,1.7,1.4,1.5,1.4
NUCB2,2.4,4.7,2.8,3.8,3.2,3.3,2.8,3.3,3.3,3,2.8,4.3,4.3,2.5,3,3.8,3.3,2.9,3.4,3,4.4,4.1,3,4,3.2,2.5,3.3,3.2,3.1,3.5,3.7,2.9,3.7,3.6,2.6,3.4,4.6,2.8,3.7,3.3,2.7,3.1,3.2,4.2,3,3.8,2.8,2.8,3.8,3.5
RP11-334C17.6,2,1.8,2,1.6,1.2,3.2,1.4,1.1,0.3,2.4,1,2.4,1.4,0.8,2,1.1,1.4,1.6,1.1,1.4,1.8,1.2,0.7,1.3,1,0.7,1.2,2,1.2,1.3,0.7,0.3,1.7,1,1.3,1.8,3,1.5,0.8,2,1.7,0.6,1.4,1.6,0.6,1.2,1.5,1.5,0.9,1.4
SERPINB12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-709D24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
RP11-369E15.3,0,0,0.1,0,0,0,0,1,0,0,0,0.1,0.2,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0
GGT3P,0.5,0,0.7,0.1,0.1,0.2,0.2,0,0,0,0.1,0.2,0.1,0.1,0.2,0.1,0.6,0.2,0.2,0.1,0.1,0,0.7,0.1,0.2,0.2,0.1,0.5,0.2,0,0.1,0.2,0,0.1,0.1,0.1,0,0,0.3,0.1,0.1,0.1,0.9,0.3,0,0.3,0.3,0,0,0.3
TMEM143,1.4,0.7,1.5,2,1.6,1.1,1.1,1.5,0.9,2,1.8,1.7,1.3,1.7,2,1.5,1.7,1.5,1.7,1.2,1.9,1.6,1.5,1.4,1.4,1.1,1.5,1.8,1.5,1.1,1.8,1.3,1.6,1.3,1.6,0.7,1.2,1.1,1.2,1.2,1.3,0.6,1.4,1.1,1.3,1.9,1.2,1.2,0.9,1.1
DACH1,0.3,0.4,0.3,0.7,1.1,0.1,0.2,2.9,0.4,0.4,1.9,0.3,0.4,1,0.9,0.7,1,0.3,0.3,1.2,0.1,1.1,0.5,0.2,0.5,0.8,0.6,0.2,0.9,0.1,1.2,1.8,2.6,1.4,0.4,0.8,0.4,0.2,1,1.8,0.3,0.6,0.1,0.3,0.3,0.7,0.2,0.4,0.9,0.3
RP11-19N8.3,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa_SRP,0.2,0,0.2,0,0,0.1,0.5,0.1,0,0.1,1.1,0,0,0.1,0,0.2,0.1,0,0,0,0.1,0,0.3,0,0.9,0.3,0,0,0.2,0,0.1,0,0,0,0,0,0.2,0.1,0,0.7,0.3,0,0.6,0,0.8,0.2,0.1,0.2,0.6,0
COLCA1,1.2,0,1.1,1.7,1.9,0.3,1.4,0.1,0.3,0.6,2.2,0.8,2.7,1.8,1.3,0.9,3.5,2.5,0.5,0.5,0.6,0.4,1.6,3.7,0.6,1.5,1.9,3.3,3.3,1.1,0.6,1.3,3.7,3,0.4,1.8,0.4,0.2,2.1,2.6,0.5,0.3,2.4,0.4,0.4,0.6,1.7,0.7,1,0.3
CTC-273B12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL560P,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMP2KL,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-820P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.4,0.2,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-1007J8.1,0.4,0,0.2,0,0,0.1,0.1,0.3,0.1,0,0.4,0,0.1,0.1,0.2,0.1,0.3,0.3,0.1,0,0.1,0,0.3,0.1,0.3,0.2,0,0.1,0.1,0.2,0.1,0.1,0,0,0,0,0.1,0,0.5,0,0.2,0.1,0.1,0,0,0,0.3,0.1,0.2,0
FGF23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.1
RP11-638L3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
