,TCGA-56-5898-01,TCGA-92-8064-01,TCGA-63-A5MG-01,TCGA-22-4596-01,TCGA-37-4130-01,TCGA-43-5668-01,TCGA-56-7582-01,TCGA-63-A5MN-01,TCGA-39-5030-01,TCGA-22-5472-01,TCGA-XC-AA0X-01,TCGA-60-2721-01,TCGA-34-5239-01,TCGA-77-8131-01,TCGA-94-8490-01,TCGA-66-2782-01,TCGA-21-1082-01,TCGA-85-A511-01,TCGA-52-7812-01,TCGA-90-7769-01,TCGA-NC-A5HG-01,TCGA-NC-A5HI-01,TCGA-56-7580-01,TCGA-18-3416-01,TCGA-85-7950-01,TCGA-56-8622-01,TCGA-22-5482-01,TCGA-18-3408-01,TCGA-63-A5MI-01,TCGA-66-2777-01,TCGA-85-8070-01,TCGA-77-8136-01,TCGA-66-2778-01,TCGA-98-A53H-01,TCGA-66-2787-01,TCGA-66-2783-01,TCGA-85-8351-01,TCGA-77-8140-01,TCGA-22-A5C4-01,TCGA-85-8287-01,TCGA-NC-A5HH-01,TCGA-NK-A7XE-01,TCGA-37-4135-01,TCGA-58-A46M-01,TCGA-94-A5I4-01,TCGA-37-3792-01,TCGA-98-A53A-01,TCGA-39-5011-01,TCGA-39-5022-01,TCGA-77-8128-01
RPL7L1P12,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
CH17-38B12.4,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y_RNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0
ARL8B,5.1,5,5.1,5.3,4.7,5.6,5.4,5.2,4.9,5,5.2,4.6,4.8,5.3,5.2,5.3,4.8,5.2,4.9,5.7,6.4,4.9,4.5,5.3,4.4,5.1,5.1,6,4.2,6.6,4.1,4.8,5.4,4.8,5.6,5.5,4.9,4.9,5.5,5,4.5,4.9,4.8,5.9,5.1,4.9,4.5,5.1,4.9,5.3
RP11-166P13.4,0,0.1,0,0,0,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0.1,0,0,0
CALB2,4.5,0.3,1,2.5,0.1,0.2,1.8,0.5,0.5,1.6,1.3,0.4,0.9,5.4,3.2,0.1,5.9,1.2,0.6,2.8,0.4,0.2,0.9,0.2,0.7,2.3,4.6,2,0.2,6.1,0.5,2.6,0.7,2.7,3.5,3.5,2.4,0.7,2.1,1,0.1,4.9,0.9,0.8,0.3,0.6,1.8,0.1,2.5,2
MFSD3,3.7,3.5,3.7,2.9,3,3.2,2.7,3,2.8,3.2,2.8,3.4,3.2,3.2,3.8,4.7,3.1,3.4,4.1,3.5,4.4,3.3,2.9,3.2,3.4,4.2,3.8,0.4,4.6,3.7,3.7,2.8,3.7,3.3,2.7,2.6,3.1,4.5,4.2,3.3,4.7,4.1,3.9,3.4,3.1,2.3,4.4,3.8,3.5,3.4
AC092839.4,0,0,0.1,0,0,0,0.2,0,0,0.1,0.1,0.1,0.1,0,0.4,0.1,0.5,0.1,0.1,0,0.1,0,0.2,0.1,0.2,0.1,0.1,0.1,0,0.1,0.5,0.1,0,0.3,0,0,0.1,0.1,0.1,0.1,0.4,0.1,0,0.4,0,0,0.1,0.1,0,0.2
LINC00636,0,0,0,0.1,0.2,0.2,0,0.1,0,0.1,0.1,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0.3,0,0,0,0.1,0,0.1,0,0,0.2,0,0,0,0,0.1,0.1,0
PIGV,2.1,2.3,2.7,2.5,1.9,2.7,2.5,2.9,2.7,3,2,2.3,2.4,2.7,2.6,3.3,2.3,2.2,2.2,2.3,2.2,2.2,1.9,3.1,2.1,2.8,3.1,2.9,2.4,2.9,2.2,2.5,3.1,2.7,2.5,3.2,2.1,1.9,2.9,2.2,3.2,2.6,2.6,2.9,2.6,2,2.6,3,2.8,2.7
RP11-578F21.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
PIGFP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-1071N3.1,0.1,0.3,0.6,0.3,0.1,0.3,0.1,0.6,0.5,0.2,0.6,0.2,0.5,0.3,0.1,0.2,0.3,0.2,0.1,0.1,0.2,0.2,0.3,0.4,2.2,0.1,0.1,0.1,0.3,0.2,0.3,0.8,0.1,0.6,0.1,0.1,0,0.2,0.4,0.4,0.3,0.3,0.2,0.1,0.2,0.2,0.4,0.2,0.5,0.2
RP13-526J3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF708,0.8,0.5,0.9,1.3,1.9,2.6,1,1,1.3,1.4,1.4,1.8,1.1,0.7,1,0.7,1.5,1.4,1.4,0.7,1.2,2.1,1.1,1.2,1.2,1.1,0.7,1.6,0.3,0.6,0.8,1.2,1,1.3,1.3,0.3,0.8,0.9,1.4,1.2,1.2,0.8,1.7,0.4,1.3,0.6,1.2,1.5,1,1
LINC01224,0.3,0,0.3,0.3,1.4,0.5,0,0.1,1,0,0.5,1.2,0.8,0,1.5,0,0.2,0,0,0,0.3,2.8,0,0.1,0.4,0.1,1.3,0.6,0,2.5,3.6,0,0.8,0,0.6,0,0,0.1,0,0.6,0,0.1,0.4,0,1,0,2,1.3,0.3,0.3
RP11-434D2.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-15J22.8,0,0,0.1,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0,0,0.1,0,0.3,0,0,0,0,0.1,0.1,0,0,0.1,0.2,0,0,0,0,0,0,0.3,0,0.1,0.1,0.1,0,0.2,0,0,0.1
MYADML2,0,0.1,0,0,0,0,0.2,0,0.1,0,0.2,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.3,0.4,0,0,0,0.6,0,0.2,0,0,0.1,0.1,0.1,0,0,0.2,0,0,0,0,0.2,0.1,0,0.3,0,0,0.1
DNM3-IT1,0,0,0,0,0.2,0,0.2,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0.1,0,0.1,0.2,0,0,0,0,0.1,0.1,0,0.1,0,0,0.1,0.1,0.1,0.2,0,0,0,0.3,0.1,0.1,0,0,0,0,0.1,0.1
PHEX,0.3,1.1,0.3,0.5,0.5,0.7,1,0.5,0.2,0.7,0.3,0.2,0.1,0.6,0.3,0.5,1.1,0.3,0.8,0.3,0,0.1,0.4,1.8,0.2,0.2,0.5,1.1,0.1,1.3,1.2,1,0.2,0.9,0.4,1.1,0.6,0.4,0.3,0.2,0.4,1.6,1.8,0.3,0.1,0.8,1.6,0.6,1.2,0.6
KRT8P47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOGAT2,0,0,0.2,0,0,0.1,0,0,0.2,0.1,0,0.3,0.5,0.3,0,0,0,0.1,0,0,0,0,0,0,0.1,0.2,0.1,0,0,0,0,0.2,0,0.3,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0.7,0
RP11-411B10.8,0,0.2,0.1,0,0.1,0.1,0,0,0,0,0,0,0.1,0.2,0,0,0.1,0,0.1,0,0,0.2,0.2,0.1,0.1,0,0,0.2,0.2,0,0.1,0.1,0,0,0.1,0,0.1,0,0.1,0.4,0,0,0.3,0.3,0,0.1,0.1,0,0.1,0
PFN2,5.5,6.4,5.1,3.9,5.6,5.4,5.7,4.9,3.4,4.2,5.5,5.8,2.9,2.7,5.7,6.5,6.1,5.6,5.4,5.4,5.3,7.3,6,8.3,2.2,2.2,6.4,8.6,6.3,6.6,6.9,5.8,7.2,5.1,7.5,7.9,5.2,4.4,6.9,4.4,5.3,5.5,8.9,7.2,5.2,6.6,7.3,6.6,5.7,5.6
RP11-189E14.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0
CASC23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNM1P41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0
RP11-640I15.1,0.3,0.3,0.3,0.2,0.4,0,0.1,0.2,0.1,0.2,0.3,0.2,0.4,0.1,0.1,0.4,0.5,0.4,0.1,0.2,0,0.3,0.2,0.8,0.3,0.1,0.2,0.3,0.3,0.1,0.5,0.3,0.1,0.6,0.2,0.3,0.3,0,0.3,0.2,0.5,0.5,0.2,0.4,0.2,0,0.4,0.1,0.2,0.2
RMND5A,3.9,3.3,3.1,2.8,3.5,4.2,4.7,2.5,3.2,3.7,3.7,4,3.5,3.2,4.7,3.4,4,4,2,4.3,4.3,3.8,4.6,3.9,3.2,3.2,3.4,3.9,4.3,4.1,4.5,3.4,3.3,3.2,4.5,3.5,3.7,3.8,4.1,3.4,4.4,3.3,2.9,4.3,4,2.9,4.2,3.3,3.2,4.3
AC092301.3,0.3,0.9,0.7,0.2,0.2,0.5,0.1,0.3,0.3,0.2,0.6,0.9,0.5,0.1,0.1,0.7,0.8,0.7,0.2,0.2,0.3,0.8,0.3,0.2,0.3,0.2,0,0.1,0.4,0,0.1,0.5,0,0.5,0.2,0,0.5,1.1,0.4,0.3,0.5,0.9,0.2,0.5,0.6,0.3,0.5,0.2,0.3,0.3
SNORA40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-114O18.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0
RAD23A,5,6.2,5.3,5.2,4.5,5.2,5.9,4.9,5.7,5.7,5.5,5.9,5.8,6,6.3,5.3,5.7,6.2,5.7,6.4,6.5,5.7,5.9,6.4,6.6,5.9,5.9,4.8,5.3,5.4,5.6,5.4,5.6,5.3,6.2,7,5.2,6.3,5,5,5.4,5.5,6.1,6.6,5.9,5.4,5.8,5.3,5.7,6.1
RP11-642P15.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.3,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0,0.1,0,0.1,0.1,0.1,0.4,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0,0.5,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.2,0.1
U1,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.4,0,0,0,0
OR2D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERPINB11,1.1,0.1,1,0.1,0,0,1,0,0.1,3,3.5,1.8,0.2,0,2.1,0,1.3,1.5,0,0.7,0,1.1,0,0,0,0.2,2.1,2.6,0.1,0.3,0,0,2.6,2.3,0.8,0.4,0,0.3,0,0,0,1.2,0,0,1.3,0.1,0.1,0,0.2,0.6
RP1-278O22.2,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0.1,0.1,0,0.1,0,0,0.2,0.1,0,0,0.1,0.1,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0.4,0.1,0,0,0,0,0
RP11-725G5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIN3B,2.5,3.4,3.1,2.7,1.6,4.6,2.3,2.7,3.1,3,4,3.2,3.1,3,3.3,2.6,3.3,3.3,2.4,2,3.7,3.2,3.2,2.5,3.5,3,1.6,1.5,2.8,2.3,2.6,2.7,1.9,3.3,2.8,2.2,2.7,3.5,2.6,3,3.4,2.8,1.4,3.2,2.9,2.2,3.1,2,2.5,2.8
AC007611.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00705,0.1,0,0.1,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0.1,0.1,0.3,0.1,0,0,0,0.2,0,0,0,0.3,0.2,0,0.1,0,0.1,0,0,0,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0
RPL7P17,0,0,0.1,0.1,0,0.1,0,0,0.1,0,0,0.2,0.1,0,0,0.1,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0,0,0.1,0.1,0,0.1,0.1,0,0.1,0,0,0,0,0.1,0.1,0.3,0,0,0.1,0.1,0,0.3,0,0,0
TLL2,1.2,0.5,0.8,0.2,0,0.1,0.2,0.2,0.3,0.5,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0,0,0.1,0.1,0.2,0.1,0.9,0.5,0.5,0.2,0,0.4,0.1,0.8,0.1,0.1,0.2,0.1,1.3,0.2,0.4,0.1,0.1,0.2,0,0.2,0.2,0.1,0.3,0.1,0.1,0.2
CTC-360J11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-344N17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
CTSA,5.4,5.3,5.2,5.6,5.2,5.8,4.4,6.5,5.2,5.3,4.7,5,4.9,5.2,4.4,5.6,5.2,4.8,5.4,5,5.6,4.8,3.9,4.7,4.2,6,4.9,4.5,4.2,5.2,5.5,5.3,4.4,4.9,4.7,4.4,5.5,4.8,6.6,5.1,4.4,4.6,4,4.2,4.2,5.3,3.8,6,5.5,4.5
HCG4P5,3.3,4.8,2.3,4.1,0.8,0.9,0.3,4.2,3.6,0.5,1,1.2,0.9,4.9,0.4,0.6,2.8,1,1.7,0.9,2.1,0.7,2.1,4.8,4.2,3.1,0.3,0,2.4,2.3,3.1,1,0.6,4.5,0.6,1.6,0.6,1.9,1,3.9,0.6,4.4,0.9,3.5,0.9,1.8,0.2,4.9,1.7,1.1
IL32,3.4,4.3,3,5,6.8,4.5,2.4,4.8,6.3,3.6,3.7,4.7,4.9,4.6,2.2,4.2,4.2,5.3,5.3,2,3.9,2.4,5.2,3.9,5.5,4.7,3.5,3.4,1.8,4,1.7,5.2,3.1,4.8,3.4,3.2,4,4.8,2.9,4.8,3.3,2.5,4.1,3.6,2.7,4.2,3,4.2,5.7,3.2
RP11-43F13.3,0.1,0.2,0.2,0.4,0.5,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.3,0.1,0.5,0.1,0.1,0,0.1,0.2,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.4,0.1,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0,0.1,0,0.2,0.1,0.5,0.1,0.1,0.3,0.2
RP11-927P21.2,0,0.3,0.1,0.1,0,0,0.3,0.4,0,0.2,0.1,0.1,0.2,0.4,0.2,0.4,0.1,0.2,0.1,0,0.1,0.2,0.4,0.7,0,0,0.2,0.2,0.4,0,0.6,0.4,0,0.2,0,0,0.2,0.4,0,0,0,0.1,0.2,0.2,0.2,0,0,0.1,0,0.1
ASS1P7,0.1,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0,0
PRKRIRP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPN4,1.3,1.8,1.2,1.4,1,2,2,1.5,1.4,1.4,1.2,1.4,1.2,1,1.6,1.3,0.9,1.7,1.2,1.4,1.5,1.3,1.4,1.5,1.1,1.4,1.3,1.7,1.6,1.2,1.4,1.5,1,1.5,1.5,1.4,1.5,1.1,1.6,1.7,1.5,1.5,1.2,1.7,1.8,1.4,1.6,1.7,1.3,1.3
NUCB2,2.4,3,3.4,3.1,2.6,2.3,2.9,3.6,3.2,3.1,2.8,3.5,2.5,2.9,2.2,2,3.2,2.9,3,3.3,2.1,3.5,2.1,1.9,2.3,3.2,2.6,3.6,2.2,2.8,4.6,3,3.4,4.2,3,3.5,1.9,2.2,2.5,3.3,2.8,3.1,2.7,3.7,3.3,3.4,1.8,2.1,3.9,2.6
RP11-334C17.6,1.8,1.7,1.3,0.7,0.9,2.9,1.5,0.9,0.7,1.1,0.8,1.3,0.7,1.5,1.6,1.1,2.2,1.6,1.1,1.8,1.5,1.7,0.8,0.7,0.7,1.6,1.6,0.8,1,1.3,2.8,0.6,1.7,1.3,1.4,0.9,2,1.7,2.6,1.3,1.6,2.2,2.6,2.4,1.2,2.2,1.9,1.4,1.6,1
SERPINB12,1.1,0.2,0.2,0,0,0,1.7,0,3.2,1.7,3,3,1.3,0.2,2,0,6.4,0.1,0,0.7,0,0.5,3,0.4,0,4.8,0.3,0.6,1.7,0.2,0.2,0.2,0.6,0.1,0.8,0.1,0,6.9,0,0.1,0,0.5,0,0,0.2,0,0.1,0,0.5,0.5
RP11-709D24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-369E15.3,0,0,0,0.5,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.3,0,0.1,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0.2,0
GGT3P,0.1,0,0.3,0.1,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0.3,0.1,0,0.1,0,2,0,0,0.3,0,0,0.2,0.1,0.1,0,0.1,0.1,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.2,0,0.1
TMEM143,1.1,1.6,2,1.5,1.3,1.8,1.2,1.2,1.5,1.7,1.2,1.6,1.4,1.3,0.6,2.1,2,1.5,1.1,1.5,0.9,1.5,1.4,1.8,1,1.2,1.3,1.3,2,1.2,1.6,1.5,1.5,1.8,1.5,1.5,1,1.2,2,1.4,1.5,1.4,1,2.1,1.1,1.5,1.5,1.4,1.4,1.6
DACH1,0.4,0.4,0.5,0.9,0.3,0.7,1.6,0.3,1.3,1.1,1,0.5,1,0.8,0.1,0.2,1,0.7,0.2,0.5,0.1,0.2,2.3,0.9,0.6,0.2,0.2,1.8,0.5,1.4,2,0.2,0.3,1.2,2.7,0.4,0.5,0.6,0.4,0.6,1.9,2,0.4,0.1,0.7,0.6,0.8,0.2,1.1,0.4
RP11-19N8.3,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa_SRP,0.2,0,0.1,0.1,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0.9,0,0.1,0,0
COLCA1,1.1,3.4,1.7,0.9,0.2,1.4,4.3,0.6,1.8,2.5,1.1,0.7,3.8,0.5,2.3,0.3,1.2,0.8,1,3.7,0,0.6,1.6,4.4,2.7,1.1,0.5,1.9,1.7,1.1,4.4,0.4,0.9,2,5.8,2.7,0.3,0.7,2,0.8,0.8,3.2,5,4.8,0.8,0.1,2,0.9,1.5,0.9
CTC-273B12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL560P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
BMP2KL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-820P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-1007J8.1,0.1,0.2,0.2,0,0,0,0.2,0.1,0.1,0.2,0.6,0.3,0.3,0,0.4,0.5,0.2,0.3,0,0.9,0.2,0.2,0,0.6,1.1,0,0,0,0.2,0,1.5,0.2,0.1,0.1,0.4,0,0.1,0.5,0.4,0.2,0,0,0,0.4,0.7,0,0.5,0,0.2,0.6
FGF23,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
