ID	Type	TTYH3	C3orf35	SNRPGP14
TCGA-D7-5577-01A-01R-1602-13	Tumor	62.37637	0.2048642	0
TCGA-BR-8487-01A-11R-2402-13	Tumor	32.79059	0.4098275	0.4422163
TCGA-BR-4257-01A-01R-1131-13	Tumor	35.92819	0.211666	0.3452469
TCGA-HU-A4G3-01A-11R-A24K-31	Tumor	33.03802	0.8399377	0.5147537
TCGA-CG-4460-01A-01R-1157-13	Tumor	13.81014	0.3327021	0.5743932
TCGA-VQ-A94R-01A-11R-A414-31	Tumor	43.71901	1.079564	0.4157032
TCGA-HU-A4GD-01A-11R-A36D-31	Tumor	21.2527	1.200124	2.670319
TCGA-BR-7901-01A-11R-2203-13	Tumor	55.75583	0.223071	0.1706785
TCGA-CD-A48A-01A-12R-A36D-31	Tumor	74.35037	0.8010631	0.8704587
TCGA-CG-5722-01A-21R-1602-13	Tumor	23.5446	0.09408531	0.3599378
TCGA-BR-8295-01A-11R-2343-13	Tumor	13.94879	0.3044245	1.636942
TCGA-RD-A8MV-01A-11R-A36D-31	Tumor	31.94849	0.4687667	0.871462
TCGA-R5-A7ZI-01A-11R-A354-31	Tumor	20.17053	0.2942186	0
TCGA-BR-A4J7-01A-31R-A251-31	Tumor	14.35409	0.6663929	1.492499
TCGA-CG-5734-01A-11R-1602-13	Tumor	35.88158	0.04229092	0.4449237
TCGA-VQ-A91V-01A-11R-A414-31	Tumor	11.47536	0.2933627	0.1159187
TCGA-FP-8209-01A-11R-2343-13	Tumor	23.29168	0.2714971	0.4080426
TCGA-HU-A4H3-01A-21R-A251-31	Tumor	13.15102	0.4715448	0.1613304
TCGA-BR-4256-01A-01R-1131-13	Tumor	28.69174	0.1480484	0.2966763
TCGA-HU-A4G8-01A-11R-A251-31	Tumor	11.90045	0.4505044	1.110166
TCGA-BR-4279-01A-01R-1131-13	Tumor	13.13173	0.009726873	0.2728854
TCGA-CD-8532-01A-11R-2343-13	Tumor	32.61422	0.4036128	0
TCGA-VQ-A91Q-01A-12R-A414-31	Tumor	48.96138	0.9013312	0.6964547
TCGA-HU-A4GU-01A-11R-A251-31	Tumor	93.78537	0.212343	0.2707836
TCGA-D7-6522-01A-11R-1802-13	Tumor	56.44862	0.09831655	0
TCGA-CG-4441-01A-01R-1802-13	Tumor	81.68637	0.2883024	0.3676484
TCGA-BR-7957-01A-11R-2203-13	Tumor	41.5377	0.08080624	0.05397625
TCGA-VQ-A91K-01A-11R-A414-31	Tumor	87.89114	0.3542281	0.1911115
TCGA-BR-6454-01A-11R-1802-13	Tumor	54.87199	0.06789914	0.2116552
TCGA-HU-A4H4-01A-21R-A251-31	Tumor	35.95296	0.5125765	0.5203372
TCGA-VQ-AA64-01A-11R-A414-31	Tumor	90.19669	0.2793658	0.4837994
TCGA-D7-8572-01A-11R-2343-13	Tumor	50.65785	0.179483	0.2041362
TCGA-D7-A6EZ-01A-11R-A31P-31	Tumor	85.94044	0.2425766	0.1890399
TCGA-CG-4465-01A-01R-1157-13	Tumor	20.3716	0.1640698	0.1917893
TCGA-BR-4366-01A-01R-1157-13	Tumor	15.4789	0.2811307	0.3943533
TCGA-BR-8677-01A-11R-2402-13	Tumor	21.32806	0.5658735	0.1202687
TCGA-RD-A8N0-01A-12R-A36D-31	Tumor	10.63543	0.7628576	1.172702
TCGA-D7-8579-01A-11R-2343-13	Tumor	39.55635	0.2847872	0.6462213
TCGA-B7-A5TN-01A-21R-A31P-31	Tumor	41.28878	0.3272707	0.4320711
TCGA-VQ-A927-01A-12R-A414-31	Tumor	20.93618	0.5990121	0.614823
TCGA-RD-A7BS-01A-11R-A32D-31	Tumor	15.17861	0.6364814	0
TCGA-BR-6801-01A-11R-1884-13	Tumor	92.93746	0.1173855	0.2993843
TCGA-CG-5732-01A-11R-1602-13	Tumor	48.52592	0.1218201	0.1798756
TCGA-BR-4267-01A-01R-1131-13	Tumor	47.66039	0.1267756	0.3112082
TCGA-VQ-A91S-01A-11R-A414-31	Tumor	24.08455	0.9741139	0.05042171
TCGA-R5-A7ZF-01A-11R-A354-31	Tumor	23.10266	0.06263785	0
TCGA-BR-8364-01A-11R-2343-13	Tumor	34.25946	0.1400044	0.3100891
TCGA-VQ-A91X-01A-12R-A414-31	Tumor	25.99305	0.3587742	1.045749
TCGA-BR-4371-01A-01R-1157-13	Tumor	27.61696	0.3853875	0.7154978
TCGA-BR-8286-01A-12R-2343-13	Tumor	33.88561	0.2081939	1.168167
TCGA-D7-5578-01A-01R-1602-13	Tumor	43.27853	0.04458691	0.268045
TCGA-BR-A4J5-01A-21R-A251-31	Tumor	28.20265	0.4205109	0.2835901
TCGA-BR-8058-01A-31R-2343-13	Tumor	36.74557	0.0747459	0.2621226
TCGA-D7-A74A-01A-11R-A32D-31	Tumor	21.21416	0.2302082	0.06727544
TCGA-VQ-AA6D-01A-11R-A414-31	Tumor	77.35424	1.262495	0.7409841
TCGA-HU-A4G9-01A-11R-A24K-31	Tumor	7.668727	0.4601895	0.1450621
TCGA-HU-A4GP-01A-11R-A251-31	Tumor	16.9504	0.3471001	0.1698457
TCGA-VQ-A94T-01A-11R-A414-31	Tumor	114.5163	0.3496541	0.5350622
TCGA-RD-A8N5-01A-12R-A36D-31	Tumor	62.54293	0.3409753	0.2314353
TCGA-HU-8608-01A-11R-2402-13	Tumor	52.26208	0.237635	1.85189
TCGA-KB-A93H-01A-11R-A39E-31	Tumor	29.67628	0.8103909	1.291781
TCGA-BR-6456-01A-11R-1802-13	Tumor	54.94868	0.06565924	0.1228038
TCGA-BR-4191-01A-02R-1131-13	Tumor	49.20734	0.3623987	2.00007
TCGA-RD-A7BT-01A-11R-A33Y-31	Tumor	39.02175	0.2226491	0.5552333
TCGA-HU-A4H2-01A-11R-A251-31	Tumor	75.26478	0.462525	0.09268603
TCGA-CG-5724-01A-11R-1602-13	Tumor	36.60942	0.1665816	0.0834538
TCGA-D7-8576-01A-11R-2343-13	Tumor	37.58067	0.1721194	0.2476294
TCGA-BR-4201-01A-01R-1131-13	Tumor	24.31524	0.340416	0.6228458
TCGA-IN-7806-01A-11R-2055-13	Tumor	26.07371	0.2895284	0.3807497
TCGA-BR-8678-01A-11R-2402-13	Tumor	61.26256	0.2136659	0.7652365
TCGA-VQ-A91U-01A-11R-A414-31	Tumor	28.98779	0.468995	0.7309754
TCGA-FP-7916-01A-11R-2203-13	Tumor	109.2775	0.2701277	0.5982929
TCGA-D7-A4Z0-01A-22R-A251-31	Tumor	18.20207	0.3451603	1.133164
TCGA-BR-8588-01A-11R-2402-13	Tumor	36.43378	0.232055	0.08797643
TCGA-CG-5726-01A-11R-1602-13	Tumor	37.60646	0.1846449	0.08094021
TCGA-BR-6565-01A-11R-1802-13	Tumor	45.06779	0.1016684	0.4278428
TCGA-IN-A7NR-01A-11R-A354-31	Tumor	19.54564	0.3128009	0.626826
TCGA-VQ-A8PQ-01A-11R-A414-31	Tumor	37.51063	0.4742592	1.099129
TCGA-BR-8369-01A-11R-2343-13	Tumor	20.30967	0.7204834	0.39376
TCGA-VQ-A8PK-01A-12R-A414-31	Tumor	72.46638	0.3388958	0.4194552
TCGA-BR-6453-01A-11R-1802-13	Tumor	29	0.170312	0.764491
TCGA-BR-6457-01A-21R-1802-13	Tumor	33.16322	0.1037468	0.09095609
TCGA-VQ-A925-01A-11R-A414-31	Tumor	17.22751	0.4509399	0.2790668
TCGA-D7-A6F2-01A-12R-A31P-31	Tumor	53.29769	0.368203	0.5959534
TCGA-CG-4301-01A-01R-1157-13	Tumor	25.86591	0.2475297	0.4960281
TCGA-CG-5719-01A-11R-1602-13	Tumor	50.24391	0.1355151	0.1810405
TCGA-B7-A5TJ-01A-11R-A31P-31	Tumor	59.22979	0.3152484	0.8710225
TCGA-BR-6803-01A-11R-1884-13	Tumor	21.14011	0.07653559	0.08258424
TCGA-CD-5801-01A-11R-1602-13	Tumor	141.5764	0.08945605	0.2281519
TCGA-CD-A489-01A-11R-A24K-31	Tumor	43.08767	0.3147336	0.1496574
TCGA-BR-8680-01A-11R-2402-13	Tumor	40.2952	0.2476798	0.1510567
TCGA-HU-8602-01A-11R-2402-13	Tumor	30.24077	0.1252159	0.283299
TCGA-CG-5717-01A-11R-1602-13	Tumor	12.00706	0.0953347	0.07429432
TCGA-B7-A5TI-01A-11R-A31P-31	Tumor	24.55839	0.1282161	0
TCGA-FP-A8CX-01A-11R-A36D-31	Tumor	26.62855	0.3834632	0.4191421
TCGA-CG-5718-01A-11R-1602-13	Tumor	64.63404	0.2434164	0.2226847
TCGA-RD-A8N4-01A-21R-A36D-31	Tumor	8.995733	0.1522632	0.1642967
TCGA-KB-A93J-01A-11R-A39E-31	Tumor	24.23619	0.2236922	0.3201856
TCGA-HU-8249-01A-11R-A36D-31	Tumor	33.14792	0.2768591	1.569971
TCGA-D7-8574-01A-13R-2343-13	Tumor	41.06973	0.4500187	0.415302
TCGA-CD-8525-01A-11R-2343-13	Tumor	27.11552	0.57748	0.5625376
TCGA-BR-8060-01A-11R-2343-13	Tumor	43.55918	0.2015488	0.4584657
TCGA-CD-8530-01A-11R-2343-13	Tumor	33.65194	0.3611228	0.06845423
TCGA-HU-8604-01A-11R-2402-13	Tumor	26.21846	0.222207	0.6818405
TCGA-MX-A5UG-01A-21R-A31P-31	Tumor	42.84537	0.3282126	0.5004313
TCGA-CG-4475-01A-01R-1157-13	Tumor	51.31958	0.2645927	0.6185912
TCGA-IN-8462-01A-11R-2343-13	Tumor	15.83599	0.2248525	0.1617485
TCGA-BR-8690-01A-11R-2402-13	Tumor	15.11633	0.3164623	1.109785
TCGA-BR-4370-01A-01R-1157-13	Tumor	31.98391	0.2829994	0.6616242
TCGA-D7-A6EV-01A-11R-A31P-31	Tumor	18.27994	0.3194506	0.344697
TCGA-BR-7715-01A-11R-2055-13	Tumor	88.44738	0.07052169	0.4121816
TCGA-BR-A4J9-01A-12R-A251-31	Tumor	6.963158	0.2574053	0.637187
TCGA-BR-A4J6-01A-11R-A251-31	Tumor	17.2494	0.4704371	0.1609514
TCGA-BR-8380-01A-11R-2343-13	Tumor	13.39146	0.2324634	0.1105375
TCGA-BR-6563-01A-13R-2055-13	Tumor	25.71662	0.2007567	0.2681994
TCGA-CD-5798-01A-11R-1602-13	Tumor	42.77753	0.05425695	0.07610838
TCGA-RD-A7C1-01A-11R-A32D-31	Tumor	18.04407	0.8100818	0.9090672
TCGA-D7-6519-01A-11R-1802-13	Tumor	48.2721	0.1796007	0.06629816
TCGA-VQ-A91N-01A-11R-A414-31	Tumor	27.60083	0.3691261	0.3138108
TCGA-CG-4306-01A-01R-1157-13	Tumor	18.2966	0.4670208	0.4010869
TCGA-VQ-A8P2-01A-11R-A36D-31	Tumor	35.5484	0.2616235	0.326213
TCGA-D7-6521-01A-11R-1802-13	Tumor	27.77082	0.06373019	0
TCGA-VQ-A8E7-01B-11R-A414-31	Tumor	55.90543	0.1084413	0.5633885
TCGA-D7-6815-01A-11R-1884-13	Tumor	40.72465	0.2206427	0.3438937
TCGA-BR-4280-01A-01R-1131-13	Tumor	26.09553	0.2290887	0.1818972
TCGA-VQ-AA6F-01A-31R-A414-31	Tumor	25.60102	0.3053659	0.516083
TCGA-BR-7707-01A-11R-2055-13	Tumor	59.1681	0.0596165	0.09291827
TCGA-BR-A4CR-01A-11R-A24K-31	Tumor	18.43013	0.3244007	0.818067
TCGA-BR-A4CS-01A-11R-A24K-31	Tumor	27.2936	0.3486726	0.2445484
TCGA-BR-8381-01A-11R-2402-13	Tumor	35.84502	0.3779697	0.8836553
TCGA-BR-6710-01A-11R-1884-13	Tumor	5.536675	0.1915546	0
TCGA-IN-A6RI-01A-11R-A32D-31	Tumor	20.03252	0.2995822	0.4822379
TCGA-3M-AB47-01A-22R-A414-31	Tumor	17.57262	0.1940303	0.5184268
TCGA-BR-6458-01A-11R-1802-13	Tumor	101.8781	0.1976347	0.1205348
TCGA-VQ-A922-01A-11R-A414-31	Tumor	46.08813	0.3283581	0.2303005
TCGA-HU-8610-01A-22R-2402-13	Tumor	57.3448	0.7654966	1.147564
TCGA-IN-A6RN-01A-12R-A33Y-31	Tumor	5.909916	1.856262	0.4166164
TCGA-BR-A44T-01A-32R-A24K-31	Tumor	10.92326	0.4327355	1.462687
TCGA-CG-5720-01A-11R-1602-13	Tumor	43.22884	0.07717587	0
TCGA-VQ-A8E0-01A-11R-A414-31	Tumor	23.47837	0.2628414	0.2106846
TCGA-VQ-A8E2-01A-11R-A36D-31	Tumor	82.30753	0.3312243	0.9781506
TCGA-D7-6525-01A-11R-1802-13	Tumor	57.74899	0.009586953	0.13448
TCGA-CD-5804-01A-12R-2055-13	Tumor	63.49067	0.1310707	0.1598766
TCGA-B7-5818-01A-11R-1602-13	Tumor	49.80215	0.0493393	0
TCGA-FP-7829-01A-11R-2055-13	Tumor	83.17743	0.05507985	0.2897351
TCGA-BR-6709-01A-11R-1884-13	Tumor	85.16562	0.07247095	0.1016579
TCGA-IN-8663-01A-11R-2402-13	Tumor	32.374	0.2415019	0.3321219
TCGA-BR-7704-01A-11R-2055-13	Tumor	50.24293	0.4535771	0.2688383
TCGA-CD-8535-01A-11R-2343-13	Tumor	86.25191	0.1888943	0.1892639
TCGA-BR-8365-01A-21R-2343-13	Tumor	14.90667	0.1664665	0.3686987
TCGA-BR-8080-01A-11R-2343-13	Tumor	46.01882	0.1508014	0.3525586
TCGA-BR-4187-01A-01R-1131-13	Tumor	32.89899	0.04239225	0.1321451
TCGA-BR-4361-01A-01R-1157-13	Tumor	14.80456	0.4485796	1.872739
TCGA-MX-A663-01A-11R-A31P-31	Tumor	35.79081	0.3561667	0.3202623
TCGA-MX-A666-01A-11R-A31P-31	Tumor	27.6096	0.324164	0.3295056
TCGA-BR-8591-01A-11R-2402-13	Tumor	36.37349	0.2358567	0.5223877
TCGA-IN-A7NU-01A-22R-A354-31	Tumor	26.37893	0.5036273	0.3924766
TCGA-BR-6707-01A-11R-1884-13	Tumor	41.50204	0.1659543	0.4108071
TCGA-VQ-A8PU-01A-12R-A414-31	Tumor	99.06282	0.643894	0.2822549
TCGA-VQ-A8DV-01A-12R-A36D-31	Tumor	15.21877	0.2365022	0.4593475
TCGA-FP-7735-01A-11R-2055-13	Tumor	47.02148	0.152915	0.17875
TCGA-CG-4444-01A-01R-1157-13	Tumor	13.66901	0.248434	0.3960094
TCGA-CD-A486-01A-11R-A24K-31	Tumor	62.40072	0.4427494	0.4619471
TCGA-CG-4436-01A-01R-1157-13	Tumor	30.24538	0.1806818	0.5198964
TCGA-F1-6177-01A-11R-1802-13	Tumor	88.34243	1.08554	0.1307065
TCGA-CG-5725-01A-11R-1602-13	Tumor	70.12831	0.04346125	0.435463
TCGA-ZA-A8F6-01A-23R-A36D-31	Tumor	59.4742	0.4084947	0.4775098
TCGA-D7-A4YU-01A-21R-A251-31	Tumor	21.39204	0.3401105	0.4174507
TCGA-CD-5813-01A-11R-1602-13	Tumor	49.61909	0.1022441	0.1103245
TCGA-RD-A7BW-01A-11R-A32D-31	Tumor	13.01049	0.2766335	1.293483
TCGA-VQ-A8PM-01A-21R-A414-31	Tumor	19.50141	0.3521049	0.2905362
TCGA-R5-A805-01A-11R-A36D-31	Tumor	39.76481	0.2026941	0.1353939
TCGA-CG-4443-01A-01R-1157-13	Tumor	24.71623	0.3242454	1.29952
TCGA-VQ-A8PD-01A-11R-A414-31	Tumor	43.72821	0.3871205	1.234158
TCGA-FP-8099-01A-11R-2343-13	Tumor	59.29835	0.1553345	1.867661
TCGA-CD-8526-01A-11R-2343-13	Tumor	29.62285	0.1830169	0.4383111
TCGA-HU-8244-01A-11R-2343-13	Tumor	29.27027	0.3331014	0.4326431
TCGA-FP-A9TM-01A-11R-A39E-31	Tumor	31.62606	0.7484116	0.6947382
TCGA-CG-4476-01A-01R-1157-13	Tumor	28.45454	0.3578966	0.3392134
TCGA-SW-A7EA-01A-12R-A354-31	Tumor	17.94795	0.4479232	0
TCGA-VQ-A8E3-01A-11R-A39E-31	Tumor	34.77449	0.478065	0.6985425
TCGA-HF-7132-01A-11R-2055-13	Tumor	42.00814	0.1989783	0.4213053
TCGA-D7-8578-01A-21R-2343-13	Tumor	91.60972	0.2379012	0.1283513
TCGA-D7-A6EX-01A-11R-A31P-31	Tumor	30.61045	0.5938876	0.163347
TCGA-HU-A4GQ-01A-11R-A36D-31	Tumor	32.17645	0.2491617	0.2741247
TCGA-BR-8592-01A-11R-2402-13	Tumor	16.0653	0.1347891	0.2908831
TCGA-BR-8291-01A-11R-2343-13	Tumor	46.29774	0.1756466	0.3623329
TCGA-VQ-A8PJ-01A-11R-A414-31	Tumor	30.75827	0.2262001	0.4881536
TCGA-D7-A6EY-01A-21R-A31P-31	Tumor	31.09723	0.1636392	0.819797
TCGA-HU-A4HB-01A-12R-A251-31	Tumor	26.06973	0.4072184	0.5040189
TCGA-BR-8367-01A-11R-2343-13	Tumor	28.50537	0.1995152	0.2730418
TCGA-CD-A4MG-01A-11R-A251-31	Tumor	33.11616	0.3676642	0.3820276
TCGA-BR-7722-01A-31R-2203-13	Tumor	20.66865	1.304153	0.9286227
TCGA-BR-8366-01A-11R-2343-13	Tumor	70.0998	0.210877	0.8359723
TCGA-HU-A4GX-01A-12R-A251-31	Tumor	40.29609	0.284763	0.337562
TCGA-D7-A4YX-01A-11R-A251-31	Tumor	125.8046	0.2003544	0.2867807
