	OTUID	BS	P	LE	RS	RE	SE	VE
258	OTU_13287	1	1	1	1	1	1	1
259	OTU_133	1	1	1	1	1	1	1
260	OTU_1331	1	1	1	1	1	1	1
261	OTU_13347	1	1	1	1	1	1	1
262	OTU_13359	1	1	1	1	1	1	1
263	OTU_1336	1	1	1	1	1	1	1
264	OTU_13371	1	1	1	1	1	1	1
265	OTU_1338	1	1	1	1	1	1	1
266	OTU_1339	1	1	1	1	1	1	1
267	OTU_134	1	1	1	1	1	1	1
268	OTU_1341	1	1	1	1	1	1	1
269	OTU_13418	1	1	1	1	1	1	1
270	OTU_13427	1	1	1	1	1	1	1
271	OTU_135	1	1	1	1	1	1	1
272	OTU_1352	1	1	1	1	1	1	1
273	OTU_13583	1	1	1	1	1	1	1
274	OTU_13587	1	1	1	1	1	1	1
275	OTU_136	1	1	1	1	1	1	1
276	OTU_13613	1	1	1	1	1	1	1
277	OTU_13615	1	1	1	1	1	1	1
278	OTU_13625	1	1	1	1	1	1	1
279	OTU_1364	1	1	1	1	1	1	1
280	OTU_13647	1	1	1	1	1	1	1
281	OTU_1368	1	1	1	1	1	1	1
282	OTU_137	1	1	1	1	1	1	1
283	OTU_13712	1	1	1	1	1	1	1
284	OTU_13717	1	1	1	1	1	1	1
285	OTU_13738	1	1	1	1	1	1	1
286	OTU_13756	1	1	1	1	1	1	1
287	OTU_13779	1	1	1	1	1	1	1
288	OTU_13784	1	1	1	1	1	1	1
289	OTU_138	1	1	1	1	1	1	1
290	OTU_13802	1	1	1	1	1	1	1
291	OTU_13828	1	1	1	1	1	1	1
292	OTU_13836	1	1	1	1	1	1	1
293	OTU_13839	1	1	1	1	1	1	1
294	OTU_1388	1	1	1	1	1	1	1
295	OTU_1389	1	1	1	1	1	1	1
296	OTU_139	1	1	1	1	1	1	1
297	OTU_1391	1	1	1	1	1	1	1
298	OTU_1393	1	1	1	1	1	1	1
299	OTU_14	1	1	1	1	1	1	1
300	OTU_140	1	1	1	1	1	1	1
301	OTU_1402	1	1	1	1	1	1	1
302	OTU_1407	1	1	1	1	1	1	1
303	OTU_1409	1	1	1	1	1	1	1
304	OTU_141	1	1	1	1	1	1	1
305	OTU_1413	1	1	1	1	1	1	1
306	OTU_1418	1	1	1	1	1	1	1
307	OTU_1423	1	1	1	1	1	1	1
308	OTU_1424	1	1	1	1	1	1	1
309	OTU_1427	1	1	1	1	1	1	1
310	OTU_143	1	1	1	1	1	1	1
311	OTU_1434	1	1	1	1	1	1	1
312	OTU_1438	1	1	1	1	1	1	1
313	OTU_144	1	1	1	1	1	1	1
314	OTU_1442	1	1	1	1	1	1	1
315	OTU_145	1	1	1	1	1	1	1
316	OTU_1453	1	1	1	1	1	1	1
317	OTU_146	1	1	1	1	1	1	1
318	OTU_1465	1	1	1	1	1	1	1
319	OTU_147	1	1	1	1	1	1	1
320	OTU_1473	1	1	1	1	1	1	1
321	OTU_1479	1	1	1	1	1	1	1
322	OTU_148	1	1	1	1	1	1	1
323	OTU_1480	1	1	1	1	1	1	1
324	OTU_1481	1	1	1	1	1	1	1
325	OTU_1486	1	1	1	1	1	1	1
326	OTU_1487	1	1	1	1	1	1	1
327	OTU_149	1	1	1	1	1	1	1
328	OTU_1497	1	1	1	1	1	1	1
329	OTU_15	1	1	1	1	1	1	1
330	OTU_150	1	1	1	1	1	1	1
331	OTU_1502	1	1	1	1	1	1	1
332	OTU_1505	1	1	1	1	1	1	1
333	OTU_1506	1	1	1	1	1	1	1
334	OTU_151	1	1	1	1	1	1	1
335	OTU_1513	1	1	1	1	1	1	1
336	OTU_1515	1	1	1	1	1	1	1
337	OTU_1516	1	1	1	1	1	1	1
338	OTU_1519	1	1	1	1	1	1	1
339	OTU_152	1	1	1	1	1	1	1
340	OTU_1520	1	1	1	1	1	1	1
341	OTU_1527	1	1	1	1	1	1	1
342	OTU_1529	1	1	1	1	1	1	1
343	OTU_153	1	1	1	1	1	1	1
344	OTU_1530	1	1	1	1	1	1	1
345	OTU_1533	1	1	1	1	1	1	1
346	OTU_1536	1	1	1	1	1	1	1
347	OTU_1539	1	1	1	1	1	1	1
348	OTU_154	1	1	1	1	1	1	1
349	OTU_1547	1	1	1	1	1	1	1
350	OTU_155	1	1	1	1	1	1	1
351	OTU_1555	1	1	1	1	1	1	1
352	OTU_1556	1	1	1	1	1	1	1
353	OTU_1558	1	1	1	1	1	1	1
354	OTU_156	1	1	1	1	1	1	1
355	OTU_157	1	1	1	1	1	1	1
356	OTU_1575	1	1	1	1	1	1	1
357	OTU_1579	1	1	1	1	1	1	1
358	OTU_158	1	1	1	1	1	1	1
359	OTU_159	1	1	1	1	1	1	1
360	OTU_1593	1	1	1	1	1	1	1
361	OTU_1597	1	1	1	1	1	1	1
362	OTU_16	1	1	1	1	1	1	1
363	OTU_160	1	1	1	1	1	1	1
364	OTU_1608	1	1	1	1	1	1	1
365	OTU_161	1	1	1	1	1	1	1
366	OTU_162	1	1	1	1	1	1	1
367	OTU_1620	1	1	1	1	1	1	1
368	OTU_1625	1	1	1	1	1	1	1
369	OTU_1629	1	1	1	1	1	1	1
370	OTU_163	1	1	1	1	1	1	1
371	OTU_1630	1	1	1	1	1	1	1
372	OTU_1632	1	1	1	1	1	1	1
373	OTU_164	1	1	1	1	1	1	1
374	OTU_1644	1	1	1	1	1	1	1
375	OTU_1649	1	1	1	1	1	1	1
376	OTU_165	1	1	1	1	1	1	1
377	OTU_1650	1	1	1	1	1	1	1
378	OTU_166	1	1	1	1	1	1	1
379	OTU_1664	1	1	1	1	1	1	1
380	OTU_1667	1	1	1	1	1	1	1
381	OTU_1668	1	1	1	1	1	1	1
382	OTU_167	1	1	1	1	1	1	1
383	OTU_1671	1	1	1	1	1	1	1
384	OTU_1673	1	1	1	1	1	1	1
385	OTU_1675	1	1	1	1	1	1	1
386	OTU_168	1	1	1	1	1	1	1
387	OTU_1684	1	1	1	1	1	1	1
388	OTU_1686	1	1	1	1	1	1	1
389	OTU_169	1	1	1	1	1	1	1
390	OTU_1691	1	1	1	1	1	1	1
391	OTU_1698	1	1	1	1	1	1	1
392	OTU_17	1	1	1	1	1	1	1
393	OTU_170	1	1	1	1	1	1	1
394	OTU_1703	1	1	1	1	1	1	1
395	OTU_172	1	1	1	1	1	1	1
396	OTU_1720	1	1	1	1	1	1	1
397	OTU_1723	1	1	1	1	1	1	1
398	OTU_1726	1	1	1	1	1	1	1
399	OTU_173	1	1	1	1	1	1	1
400	OTU_1732	1	1	1	1	1	1	1
401	OTU_1735	1	1	1	1	1	1	1
402	OTU_1739	1	1	1	1	1	1	1
403	OTU_174	1	1	1	1	1	1	1
404	OTU_1744	1	1	1	1	1	1	1
405	OTU_1746	1	1	1	1	1	1	1
406	OTU_175	1	1	1	1	1	1	1
407	OTU_1753	1	1	1	1	1	1	1
408	OTU_1755	1	1	1	1	1	1	1
409	OTU_1756	1	1	1	1	1	1	1
410	OTU_176	1	1	1	1	1	1	1
411	OTU_177	1	1	1	1	1	1	1
412	OTU_1772	1	1	1	1	1	1	1
413	OTU_178	1	1	1	1	1	1	1
414	OTU_179	1	1	1	1	1	1	1
415	OTU_1797	1	1	1	1	1	1	1
416	OTU_18	1	1	1	1	1	1	1
417	OTU_180	1	1	1	1	1	1	1
418	OTU_1803	1	1	1	1	1	1	1
419	OTU_1808	1	1	1	1	1	1	1
420	OTU_1809	1	1	1	1	1	1	1
421	OTU_181	1	1	1	1	1	1	1
422	OTU_182	1	1	1	1	1	1	1
423	OTU_1823	1	1	1	1	1	1	1
424	OTU_183	1	1	1	1	1	1	1
425	OTU_1843	1	1	1	1	1	1	1
426	OTU_1847	1	1	1	1	1	1	1
427	OTU_1848	1	1	1	1	1	1	1
428	OTU_185	1	1	1	1	1	1	1
429	OTU_1852	1	1	1	1	1	1	1
430	OTU_1853	1	1	1	1	1	1	1
431	OTU_1854	1	1	1	1	1	1	1
432	OTU_1858	1	1	1	1	1	1	1
433	OTU_186	1	1	1	1	1	1	1
434	OTU_1868	1	1	1	1	1	1	1
435	OTU_187	1	1	1	1	1	1	1
436	OTU_188	1	1	1	1	1	1	1
437	OTU_1884	1	1	1	1	1	1	1
438	OTU_1886	1	1	1	1	1	1	1
439	OTU_1888	1	1	1	1	1	1	1
440	OTU_189	1	1	1	1	1	1	1
441	OTU_19	1	1	1	1	1	1	1
442	OTU_190	1	1	1	1	1	1	1
443	OTU_191	1	1	1	1	1	1	1
444	OTU_1922	1	1	1	1	1	1	1
445	OTU_193	1	1	1	1	1	1	1
446	OTU_194	1	1	1	1	1	1	1
447	OTU_1941	1	1	1	1	1	1	1
448	OTU_1946	1	1	1	1	1	1	1
449	OTU_195	1	1	1	1	1	1	1
450	OTU_1959	1	1	1	1	1	1	1
451	OTU_1976	1	1	1	1	1	1	1
452	OTU_1978	1	1	1	1	1	1	1
453	OTU_198	1	1	1	1	1	1	1
454	OTU_1984	1	1	1	1	1	1	1
455	OTU_199	1	1	1	1	1	1	1
456	OTU_1991	1	1	1	1	1	1	1
457	OTU_1998	1	1	1	1	1	1	1
458	OTU_2	1	1	1	1	1	1	1
459	OTU_20	1	1	1	1	1	1	1
460	OTU_200	1	1	1	1	1	1	1
461	OTU_2011	1	1	1	1	1	1	1
462	OTU_202	1	1	1	1	1	1	1
463	OTU_2022	1	1	1	1	1	1	1
464	OTU_2025	1	1	1	1	1	1	1
465	OTU_203	1	1	1	1	1	1	1
466	OTU_2030	1	1	1	1	1	1	1
467	OTU_204	1	1	1	1	1	1	1
468	OTU_2040	1	1	1	1	1	1	1
469	OTU_2041	1	1	1	1	1	1	1
470	OTU_2044	1	1	1	1	1	1	1
471	OTU_2049	1	1	1	1	1	1	1
472	OTU_206	1	1	1	1	1	1	1
473	OTU_207	1	1	1	1	1	1	1
474	OTU_2070	1	1	1	1	1	1	1
475	OTU_2071	1	1	1	1	1	1	1
476	OTU_2077	1	1	1	1	1	1	1
477	OTU_2079	1	1	1	1	1	1	1
478	OTU_208	1	1	1	1	1	1	1
479	OTU_2081	1	1	1	1	1	1	1
480	OTU_2085	1	1	1	1	1	1	1
481	OTU_209	1	1	1	1	1	1	1
482	OTU_2095	1	1	1	1	1	1	1
483	OTU_21	1	1	1	1	1	1	1
484	OTU_210	1	1	1	1	1	1	1
485	OTU_2103	1	1	1	1	1	1	1
486	OTU_2104	1	1	1	1	1	1	1
487	OTU_211	1	1	1	1	1	1	1
488	OTU_2117	1	1	1	1	1	1	1
489	OTU_213	1	1	1	1	1	1	1
490	OTU_2135	1	1	1	1	1	1	1
491	OTU_214	1	1	1	1	1	1	1
492	OTU_2140	1	1	1	1	1	1	1
493	OTU_2146	1	1	1	1	1	1	1
494	OTU_215	1	1	1	1	1	1	1
495	OTU_216	1	1	1	1	1	1	1
496	OTU_217	1	1	1	1	1	1	1
497	OTU_2171	1	1	1	1	1	1	1
498	OTU_2175	1	1	1	1	1	1	1
499	OTU_218	1	1	1	1	1	1	1
500	OTU_219	1	1	1	1	1	1	1
501	OTU_2194	1	1	1	1	1	1	1
502	OTU_22	1	1	1	1	1	1	1
503	OTU_220	1	1	1	1	1	1	1
504	OTU_2206	1	1	1	1	1	1	1
505	OTU_221	1	1	1	1	1	1	1
506	OTU_2214	1	1	1	1	1	1	1
507	OTU_222	1	1	1	1	1	1	1
508	OTU_2220	1	1	1	1	1	1	1
509	OTU_223	1	1	1	1	1	1	1
510	OTU_224	1	1	1	1	1	1	1
511	OTU_2241	1	1	1	1	1	1	1
512	OTU_2243	1	1	1	1	1	1	1
513	OTU_2245	1	1	1	1	1	1	1
514	OTU_2249	1	1	1	1	1	1	1
515	OTU_225	1	1	1	1	1	1	1
516	OTU_2250	1	1	1	1	1	1	1
517	OTU_2253	1	1	1	1	1	1	1
518	OTU_226	1	1	1	1	1	1	1
519	OTU_227	1	1	1	1	1	1	1
520	OTU_228	1	1	1	1	1	1	1
521	OTU_2285	1	1	1	1	1	1	1
522	OTU_229	1	1	1	1	1	1	1
523	OTU_2292	1	1	1	1	1	1	1
524	OTU_23	1	1	1	1	1	1	1
525	OTU_230	1	1	1	1	1	1	1
526	OTU_2302	1	1	1	1	1	1	1
527	OTU_2305	1	1	1	1	1	1	1
528	OTU_2306	1	1	1	1	1	1	1
529	OTU_2311	1	1	1	1	1	1	1
530	OTU_232	1	1	1	1	1	1	1
531	OTU_2321	1	1	1	1	1	1	1
532	OTU_233	1	1	1	1	1	1	1
533	OTU_2340	1	1	1	1	1	1	1
534	OTU_2346	1	1	1	1	1	1	1
535	OTU_235	1	1	1	1	1	1	1
536	OTU_2353	1	1	1	1	1	1	1
537	OTU_236	1	1	1	1	1	1	1
538	OTU_2365	1	1	1	1	1	1	1
539	OTU_237	1	1	1	1	1	1	1
540	OTU_2370	1	1	1	1	1	1	1
541	OTU_2376	1	1	1	1	1	1	1
542	OTU_238	1	1	1	1	1	1	1
543	OTU_2386	1	1	1	1	1	1	1
544	OTU_239	1	1	1	1	1	1	1
545	OTU_24	1	1	1	1	1	1	1
546	OTU_241	1	1	1	1	1	1	1
547	OTU_2410	1	1	1	1	1	1	1
548	OTU_2419	1	1	1	1	1	1	1
549	OTU_242	1	1	1	1	1	1	1
550	OTU_2421	1	1	1	1	1	1	1
551	OTU_2422	1	1	1	1	1	1	1
552	OTU_2423	1	1	1	1	1	1	1
553	OTU_2429	1	1	1	1	1	1	1
554	OTU_2432	1	1	1	1	1	1	1
555	OTU_244	1	1	1	1	1	1	1
556	OTU_2445	1	1	1	1	1	1	1
557	OTU_245	1	1	1	1	1	1	1
558	OTU_2454	1	1	1	1	1	1	1
559	OTU_246	1	1	1	1	1	1	1
560	OTU_2460	1	1	1	1	1	1	1
561	OTU_2464	1	1	1	1	1	1	1
562	OTU_2469	1	1	1	1	1	1	1
563	OTU_247	1	1	1	1	1	1	1
564	OTU_2474	1	1	1	1	1	1	1
565	OTU_2478	1	1	1	1	1	1	1
566	OTU_248	1	1	1	1	1	1	1
567	OTU_2482	1	1	1	1	1	1	1
568	OTU_2486	1	1	1	1	1	1	1
569	OTU_249	1	1	1	1	1	1	1
570	OTU_2492	1	1	1	1	1	1	1
571	OTU_2499	1	1	1	1	1	1	1
572	OTU_25	1	1	1	1	1	1	1
573	OTU_250	1	1	1	1	1	1	1
574	OTU_251	1	1	1	1	1	1	1
575	OTU_2524	1	1	1	1	1	1	1
576	OTU_253	1	1	1	1	1	1	1
577	OTU_2530	1	1	1	1	1	1	1
578	OTU_254	1	1	1	1	1	1	1
579	OTU_2544	1	1	1	1	1	1	1
580	OTU_2549	1	1	1	1	1	1	1
581	OTU_2551	1	1	1	1	1	1	1
582	OTU_2558	1	1	1	1	1	1	1
583	OTU_2563	1	1	1	1	1	1	1
584	OTU_2569	1	1	1	1	1	1	1
585	OTU_257	1	1	1	1	1	1	1
586	OTU_2571	1	1	1	1	1	1	1
587	OTU_2579	1	1	1	1	1	1	1
588	OTU_259	1	1	1	1	1	1	1
589	OTU_26	1	1	1	1	1	1	1
590	OTU_260	1	1	1	1	1	1	1
591	OTU_2606	1	1	1	1	1	1	1
592	OTU_2608	1	1	1	1	1	1	1
593	OTU_261	1	1	1	1	1	1	1
594	OTU_262	1	1	1	1	1	1	1
595	OTU_2620	1	1	1	1	1	1	1
596	OTU_263	1	1	1	1	1	1	1
597	OTU_264	1	1	1	1	1	1	1
598	OTU_2640	1	1	1	1	1	1	1
599	OTU_2649	1	1	1	1	1	1	1
600	OTU_265	1	1	1	1	1	1	1
601	OTU_2650	1	1	1	1	1	1	1
602	OTU_267	1	1	1	1	1	1	1
603	OTU_268	1	1	1	1	1	1	1
604	OTU_2682	1	1	1	1	1	1	1
605	OTU_269	1	1	1	1	1	1	1
606	OTU_2690	1	1	1	1	1	1	1
607	OTU_27	1	1	1	1	1	1	1
608	OTU_270	1	1	1	1	1	1	1
609	OTU_2700	1	1	1	1	1	1	1
610	OTU_2708	1	1	1	1	1	1	1
611	OTU_2714	1	1	1	1	1	1	1
612	OTU_272	1	1	1	1	1	1	1
613	OTU_2726	1	1	1	1	1	1	1
614	OTU_273	1	1	1	1	1	1	1
