measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,All risk factors,Number,2019,2741.958782,4584.655513,1588.67443
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,All risk factors,Percent,2019,0.166931351,0.254753397,0.101527337
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,All risk factors,Percent,2019,0.096216373,0.156213674,0.055811522
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,All risk factors,Rate,2019,2.732354905,4.238859611,1.607114765
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,All risk factors,Rate,2019,0.927038194,1.550041815,0.537120355
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,Behavioral risks,Number,2019,4982.19784,7059.369705,3147.389419
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,Behavioral risks,Number,2019,1558.258295,2111.672399,1122.541918
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,Behavioral risks,Percent,2019,0.09997442,0.140710426,0.063714077
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,Behavioral risks,Percent,2019,0.054663769,0.071172726,0.040959422
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Liver cancer,Behavioral risks,Rate,2019,1.636898189,2.319351791,1.034072954
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Liver cancer,Behavioral risks,Rate,2019,0.52683686,0.713942522,0.379524025
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,Alcohol use,Number,2019,11492.52813,16938.44199,6382.388884
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,Alcohol use,Number,2019,2084.168284,3313.674097,1294.018908
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,Alcohol use,Percent,2019,0.111220497,0.161523167,0.063386108
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,Alcohol use,Percent,2019,0.050841823,0.078629509,0.032016465
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,Alcohol use,Rate,2019,3.770798607,5.557650394,2.094117399
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,Alcohol use,Rate,2019,0.693121491,1.102012131,0.430345439
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,Drug use,Number,2019,2392.284224,3492.89924,1591.787231
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,Drug use,Number,2019,1494.432785,2296.355349,891.2224133
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,Drug use,Percent,2019,0.023165805,0.033288512,0.015604755
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,Drug use,Percent,2019,0.036456683,0.055136002,0.022274722
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,Drug use,Rate,2019,0.784929297,1.146050673,0.522279259
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,Drug use,Rate,2019,0.496996086,0.763687489,0.29638941
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,Metabolic risks,Number,2019,11385.85727,23958.21681,3618.95497
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,Metabolic risks,Number,2019,2873.620587,6554.252315,576.2196534
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,Metabolic risks,Percent,2019,0.110108354,0.231093596,0.034120662
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,Metabolic risks,Percent,2019,0.070108942,0.154349877,0.014110121
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,Metabolic risks,Rate,2019,3.73579897,7.860899671,1.187410656
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,Metabolic risks,Rate,2019,0.955665721,2.179715128,0.191630507
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,High fasting plasma glucose,Number,2019,128.5880095,353.1410528,21.38252878
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,High fasting plasma glucose,Number,2019,132.548451,355.983652,22.13586483
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,High fasting plasma glucose,Percent,2019,0.001246012,0.003338806,0.00019832
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,High fasting plasma glucose,Percent,2019,0.003227866,0.008693616,0.00052139
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,High fasting plasma glucose,Rate,2019,0.042190846,0.115868656,0.007015794
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,High fasting plasma glucose,Rate,2019,0.04408098,0.118387714,0.007361615
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,High body-mass index,Number,2019,11267.44672,23900.3778,3514.183314
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,High body-mass index,Number,2019,2747.69284,6448.538117,433.3575288
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,High body-mass index,Percent,2019,0.108961004,0.230711254,0.033754875
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,High body-mass index,Percent,2019,0.067042569,0.150609356,0.010820591
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,High body-mass index,Rate,2019,3.696947437,7.841922187,1.153034162
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,High body-mass index,Rate,2019,0.913786556,2.144558282,0.14411956
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,All risk factors,Number,2019,23428.85438,35279.86981,14436.43559
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,All risk factors,Number,2019,6114.55531,9386.835998,3634.843347
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,All risk factors,Percent,2019,0.226670775,0.334738758,0.145834618
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,All risk factors,Percent,2019,0.149152362,0.226148968,0.093849161
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,All risk factors,Rate,2019,7.687211245,11.57563266,4.736720295
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,All risk factors,Rate,2019,2.03348728,3.12173341,1.208821792
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,Behavioral risks,Number,2019,13779.0708,19436.74454,8636.059806
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,Behavioral risks,Number,2019,3557.005404,5083.516309,2440.327518
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,Behavioral risks,Percent,2019,0.133364497,0.185978684,0.084149582
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,Behavioral risks,Percent,2019,0.086767868,0.119812736,0.061009039
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Liver cancer,Behavioral risks,Rate,2019,4.521033178,6.377365227,2.833566464
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Liver cancer,Behavioral risks,Rate,2019,1.182935614,1.690599762,0.811567598
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Tobacco,Number,2019,10748.15308,21307.67762,317.929276
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Tobacco,Number,2019,371.4342216,777.8102001,15.29534379
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Tobacco,Percent,2019,0.04480252,0.090237119,0.001449809
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Tobacco,Percent,2019,0.005592188,0.011965111,0.000238732
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Tobacco,Rate,2019,3.545202094,7.028186404,0.104866718
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Tobacco,Rate,2019,0.124409472,0.260522458,0.005123076
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Smoking,Number,2019,10748.15308,21307.67762,317.929276
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Smoking,Number,2019,371.4342216,777.8102001,15.29534379
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Smoking,Percent,2019,0.04480252,0.090237119,0.001449809
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Smoking,Percent,2019,0.005592188,0.011965111,0.000238732
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Smoking,Rate,2019,3.545202094,7.028186404,0.104866718
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Smoking,Rate,2019,0.124409472,0.260522458,0.005123076
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Alcohol use,Number,2019,29817.76309,44226.44577,17349.38441
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Alcohol use,Number,2019,4495.487372,6583.135667,3006.181868
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Alcohol use,Percent,2019,0.124400501,0.181764892,0.074658592
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Alcohol use,Percent,2019,0.0674121,0.097051417,0.045259347
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Alcohol use,Rate,2019,9.835177765,14.5877796,5.722571451
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Alcohol use,Rate,2019,1.505734202,2.204978395,1.006901028
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Drug use,Number,2019,6792.511104,9545.24416,4693.859223
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Drug use,Number,2019,3918.959372,5601.316633,2588.805362
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Drug use,Percent,2019,0.028373404,0.039367539,0.020566027
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Drug use,Percent,2019,0.058742205,0.082330146,0.039364361
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Drug use,Rate,2019,2.240461633,3.148431116,1.548236188
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Drug use,Rate,2019,1.312629905,1.876124507,0.867103487
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Metabolic risks,Number,2019,30543.34567,63235.42401,9847.479164
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Metabolic risks,Number,2019,5564.108019,12539.84013,1113.448444
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Metabolic risks,Percent,2019,0.12731501,0.264221284,0.041811478
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Metabolic risks,Percent,2019,0.083426877,0.180944697,0.017446682
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Metabolic risks,Rate,2019,10.07450604,20.85775631,3.248121189
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Metabolic risks,Rate,2019,1.863661724,4.20013774,0.372942301
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,High fasting plasma glucose,Number,2019,356.3567905,955.048961,59.13283769
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,High fasting plasma glucose,Number,2019,249.4401034,686.8788758,40.63287389
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,High fasting plasma glucose,Percent,2019,0.001489287,0.003933589,0.000250703
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,High fasting plasma glucose,Percent,2019,0.003740712,0.010006058,0.000613502
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,High fasting plasma glucose,Rate,2019,0.117541761,0.315016129,0.019504547
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,High fasting plasma glucose,Rate,2019,0.083548337,0.230065604,0.013609716
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,High body-mass index,Number,2019,30218.57795,62892.10726,9695.390416
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,High body-mass index,Number,2019,5328.974652,12487.45333,861.1916662
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,High body-mass index,Percent,2019,0.125957764,0.262718238,0.040450993
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,High body-mass index,Percent,2019,0.079900743,0.175812884,0.013564388
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,High body-mass index,Rate,2019,9.967383704,20.74451571,3.197955794
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,High body-mass index,Rate,2019,1.784905335,4.182591122,0.288450537
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,All risk factors,Number,2019,69773.49237,98297.35195,45703.18238
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,All risk factors,Number,2019,13401.76817,19658.86245,8710.519405
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,All risk factors,Percent,2019,0.2909995,0.399865805,0.199230032
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,All risk factors,Percent,2019,0.200936855,0.284264064,0.134807468
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,All risk factors,Rate,2019,23.01429181,32.42268467,15.0748707
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,All risk factors,Rate,2019,4.48883492,6.584607877,2.917531716
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Behavioral risks,Number,2019,45397.33229,62868.28867,31004.81597
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Behavioral risks,Number,2019,8686.607694,11571.50521,6357.518082
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Behavioral risks,Percent,2019,0.189401047,0.253287242,0.131612678
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Behavioral risks,Percent,2019,0.130250246,0.168226025,0.096574717
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Liver cancer,Behavioral risks,Rate,2019,14.97398821,20.73665932,10.22671874
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Liver cancer,Behavioral risks,Rate,2019,2.909522644,3.875800267,2.129409255
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Tobacco,Number,2019,37001.12681,71481.89656,2981.056472
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Tobacco,Number,2019,1157.69355,2301.014362,79.29565907
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Tobacco,Percent,2019,0.099452207,0.186145675,0.00809457
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Tobacco,Percent,2019,0.012168954,0.024213993,0.000825523
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Tobacco,Rate,2019,13.57639123,26.2280173,1.093804229
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Tobacco,Rate,2019,0.431273742,0.857193231,0.029539886
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Smoking,Number,2019,37001.12681,71481.89656,2981.056472
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Smoking,Number,2019,1157.69355,2301.014362,79.29565907
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Smoking,Percent,2019,0.099452207,0.186145675,0.00809457
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Smoking,Percent,2019,0.012168954,0.024213993,0.000825523
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Smoking,Rate,2019,13.57639123,26.2280173,1.093804229
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Smoking,Rate,2019,0.431273742,0.857193231,0.029539886
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Alcohol use,Number,2019,53775.42285,80578.82106,31956.78993
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Alcohol use,Number,2019,8818.102877,13842.28143,5288.386947
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Alcohol use,Percent,2019,0.144731205,0.20934642,0.089964074
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Alcohol use,Percent,2019,0.092328325,0.143417538,0.058232747
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Alcohol use,Rate,2019,19.73118774,29.56584554,11.72553163
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Alcohol use,Rate,2019,3.284993881,5.156643152,1.970074403
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Drug use,Number,2019,14485.03735,20670.14185,10211.30762
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Drug use,Number,2019,8348.848916,12311.49768,5218.208233
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Drug use,Percent,2019,0.039024548,0.054258961,0.028003975
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Drug use,Percent,2019,0.087371828,0.126227046,0.057112642
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Drug use,Rate,2019,5.314825548,7.584253695,3.746715823
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Drug use,Rate,2019,3.110183448,4.586382708,1.943930838
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Metabolic risks,Number,2019,51027.48624,103932.9787,17021.98849
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Metabolic risks,Number,2019,9073.265676,19638.83856,1835.472011
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Metabolic risks,Percent,2019,0.137470495,0.279888741,0.046567687
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Metabolic risks,Percent,2019,0.095019447,0.201993311,0.020288473
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Metabolic risks,Rate,2019,18.72291945,38.13491381,6.245679396
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Metabolic risks,Rate,2019,3.380049274,7.316025385,0.683765478
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,High fasting plasma glucose,Number,2019,722.470472,1926.851922,134.3208552
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,High fasting plasma glucose,Number,2019,437.6585396,1212.686257,71.81909834
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,High fasting plasma glucose,Percent,2019,0.001951262,0.005053352,0.000332921
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,High fasting plasma glucose,Percent,2019,0.004585822,0.012373586,0.000760655
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,High fasting plasma glucose,Rate,2019,0.265087651,0.706997267,0.049284782
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,High fasting plasma glucose,Rate,2019,0.163040242,0.451760088,0.026754655
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,High body-mass index,Number,2019,50371.11033,103440.1636,16574.32416
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,High body-mass index,Number,2019,8662.813641,19314.33721,1494.301341
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,High body-mass index,Percent,2019,0.13569795,0.279098801,0.045207398
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,High body-mass index,Percent,2019,0.090718805,0.197361645,0.015173913
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,High body-mass index,Rate,2019,18.48208311,37.95409089,6.081423152
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,High body-mass index,Rate,2019,3.227144228,7.195139414,0.556669709
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,All risk factors,Number,2019,135015.4405,181785.9551,93268.41832
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,All risk factors,Number,2019,25148.37367,34785.61879,17151.99339
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,All risk factors,Percent,2019,0.363390278,0.480193483,0.259405561
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,All risk factors,Percent,2019,0.263309013,0.356089328,0.183590228
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,All risk factors,Rate,2019,49.53963842,66.70059701,34.22189123
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,All risk factors,Rate,2019,9.368483764,12.95863141,6.389604898
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Behavioral risks,Number,2019,98089.84846,135771.8386,64858.0931
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Behavioral risks,Number,2019,17974.64762,24007.04898,12722.40608
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Behavioral risks,Percent,2019,0.263923938,0.351822705,0.18118098
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Behavioral risks,Percent,2019,0.18818896,0.249097077,0.140378034
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Liver cancer,Behavioral risks,Rate,2019,35.99096227,49.81717472,23.79762247
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Liver cancer,Behavioral risks,Rate,2019,6.696066975,8.943307887,4.739457762
DALYs (Disability-Adjusted Life Years),Global,Male,40-44 years,Liver cancer,Tobacco,Number,2019,90986.51393,165589.7222,15586.80415
DALYs (Disability-Adjusted Life Years),Global,Female,40-44 years,Liver cancer,Tobacco,Number,2019,2702.005177,5163.632258,277.9265606
DALYs (Disability-Adjusted Life Years),Global,Male,40-44 years,Liver cancer,Tobacco,Percent,2019,0.151237969,0.261757615,0.026938909
DALYs (Disability-Adjusted Life Years),Global,Female,40-44 years,Liver cancer,Tobacco,Percent,2019,0.018684382,0.036270645,0.001940997
DALYs (Disability-Adjusted Life Years),Global,Male,40-44 years,Liver cancer,Tobacco,Rate,2019,36.57829057,66.570184,6.266188544
DALYs (Disability-Adjusted Life Years),Global,Female,40-44 years,Liver cancer,Tobacco,Rate,2019,1.104217867,2.110201361,0.113579158
DALYs (Disability-Adjusted Life Years),Global,Male,40-44 years,Liver cancer,Smoking,Number,2019,90986.51393,165589.7222,15586.80415
DALYs (Disability-Adjusted Life Years),Global,Female,40-44 years,Liver cancer,Smoking,Number,2019,2702.005177,5163.632258,277.9265606
DALYs (Disability-Adjusted Life Years),Global,Male,40-44 years,Liver cancer,Smoking,Percent,2019,0.151237969,0.261757615,0.026938909
DALYs (Disability-Adjusted Life Years),Global,Female,40-44 years,Liver cancer,Smoking,Percent,2019,0.018684382,0.036270645,0.001940997
DALYs (Disability-Adjusted Life Years),Global,Male,40-44 years,Liver cancer,Smoking,Rate,2019,36.57829057,66.570184,6.266188544
DALYs (Disability-Adjusted Life Years),Global,Female,40-44 years,Liver cancer,Smoking,Rate,2019,1.104217867,2.110201361,0.113579158
DALYs (Disability-Adjusted Life Years),Global,Male,40-44 years,Liver cancer,Alcohol use,Number,2019,95685.03593,137655.2091,58441.9419
DALYs (Disability-Adjusted Life Years),Global,Female,40-44 years,Liver cancer,Alcohol use,Number,2019,15810.14007,23294.78392,10177.83833
