ID	Sum C10-R1	Sum C11-R1	Sum C12-R1	Sum C13-R1	Sum C14-R1	Sum C15-R1	Sum C16-R1	Sum C17-R1
Sum C10-R2	Sum C11-R2	Sum C12-R2	Sum C13-R2	Sum C14-R2	Sum C15-R2	Sum C16-R2	Sum C17-R2
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
10	11	12	13	14	15	16	17
PRKCD	0.37348073	0.162599293	0.636083465	2.148063705	5.959967957	7.32523426	Na	1.183216889
0.097372907	0.505063639	0.645085992	0.713260881	4.223926284	3.136095222	8.492624186	1.528617437
4.656024918	6.817249278	8.787215525	10.34194547	33.21620381	34.24304198	Na	Na
0.296212471	0.828303252	0.732207285	1.872378597	9.219977987	8.732208115	Na	2.018855037
0.704957443	0.631990066	0.891474072	3.296717261	15.38959606	13.35781361	Na	Na
2.04921052	1.127374015	3.839252168	8.038868652	13.21364732	4.274052544	Na	Na
2.162744249	2.541307195	3.386967671	12.81990301	16.46229138	21.74990889	45.39875274	23.62293633
0.565746217	0.955935295	4.0104	1.778113397	6.65842152	5.37078365	Na	3.130405994
1.969480241	2.178024065	4.41764026	10.48744418	11.56451488	14.27164231	Na	Na
1.292080574	1.560870387	5.787842153	14.53144485	20.31357326	27.63476278	Na	4.065204413
1.054068944	1.379542798	2.502281655	7.90033954	15.47446735	18.14433982	Na	5.949640904
0.449977794	1.090063488	1.952531001	5.164127795	10.05824644	20.14717589	Na	Na
0.295648061	0.102279758	0.846549498	1.703676238	20.84670539	18.33096541	Na	Na
1.765724251	0.816887927	3.076604104	6.530452251	9.810122624	7.835320016	Na	Na
1.211247321	0.713696464	2.558437246	4.179390833	0.813602311	1.143451616	5.677138504	1.98645299
0.356087633	0.127122768	0.741029649	2.168429122	7.024608933	6.806787139	Na	1.457309255
5.139294503	6.127243355	8.79279918	15.8248453	28.17543957	113.0120702	70.59207127	20.26292551
4.334594152	7.948068367	16.8286109	11.12699305	18.75830525	27.5750495	62.69487853	28.09992004
14.19884735	14.94187531	19.56390612	68.55990776	24.55100291	30.41809753	Na	0
6.759001597	3.962495888	Na	3.017466423	10.22540994	8.218332649	25.0813372	56.79593384
12.72405208	5.856333012	Na	28.06407268	13.202729	27.92792068	Na	8.479099971
8.371898616	3.917290579	11.10571292	19.36462909	8.965088826	2.646112775	Na	0
8.184593907	5.45529734	11.03872923	41.15150014	3.549651267	4.59927235	10.99134048	8.31622244
5.683016298	1.078202159	4.466319228	10.55351326	7.900920621	8.623752741	Na	2.252588471
1.718050487	1.022439043	2.213966876	4.170238649	5.638202645	4.43000255	Na	5.822145893
7.99570496	5.074166662	9.390702823	19.89248141	13.43312415	6.618771774	12.84234983	13.43556158
0.362525285	0.37664605	1.303196018	1.425500674	5.491120641	8.808990687	Na	4.573809651
1.934828696	0.702729855	4.559241271	11.17797928	4.757545192	9.190292858	Na	3.041134467
0.771581652	1.16237379	2.565883868	3.509298934	6.557252539	12.21786362	Na	6.399819641
0.630981198	0.733969151	1.874693056	2.019305075	4.38695832	8.321879958	Na	4.228700163

