,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_011977,186.202,183.28,160.678,157.408,195.503,200.081,170.002,179.201,148.789,132.401,125.845,133.42,225.781,210.639,194.351,181.012,106.53,103.34,84.987,87.946
NM_013545,161.291,160.752,135.493,141.094,189.024,197.545,158.537,175.678,341.159,308.855,290.018,282.877,226.552,178.351,189.051,158.896,346.116,323.78,286.269,278.103
NM_027109,165.986,139.341,146.689,129.733,151.957,148.13,124.716,122.197,100.464,120.243,79.831,100.514,168.322,145.629,148.75,126.472,69.549,76.946,59.58,66.782
NM_198025,143.109,144.977,108.243,140.298,148.399,117.298,138.565,108.504,63.07,66.638,58.258,69.838,133.816,134.376,127.683,115.367,67.555,61.535,58.833,56.511
NM_009804,94.141,107.146,84.708,101.288,109.712,132.938,92.076,108.779,69.106,46.631,66.946,41.512,79.68,112.438,71.022,101.39,45.657,43.44,36.923,35.374
NM_011715,120.512,144.198,111.284,129.739,115.961,126.123,107.992,117.927,175.984,151.903,153.03,144.633,123.919,104.51,120.95,101.23,193.893,212.972,171.611,173.169
NM_001347415,111.569,122.377,107.969,126.215,113.599,125.309,104.34,124.164,100.918,93.02,86.304,105.928,114.374,118.237,123.546,134.817,91.263,92.885,92.36,85.788
NM_008879,103.526,105.972,109.686,105.106,115.269,110.358,124.058,112.306,204.236,173.556,210.582,171.67,121.204,79.516,133.509,84.202,216.615,246.2,216.884,235.509
NM_026960,97.205,98.906,89.843,78.584,111.331,106.849,95.126,85.655,143.29,136.01,119.775,134.363,119.655,107.401,94.73,99.859,152.006,127.78,146.063,125.844
NM_026520,76.096,92.818,94.898,84.421,86.032,104.784,104.532,106.362,58.168,55.663,56.811,71.63,86.362,83.46,90.317,79.707,65.507,72.695,69.72,60.253
NM_008161,113.436,90.292,103.769,75.14,99.767,77.523,89.031,66.007,37.447,29.622,27.963,27.357,84.33,143.102,80.62,133.767,4.316,2.919,3.607,3.868
NM_011690,58.874,55.801,50.145,48.736,82.242,74.962,73.807,70.781,41.378,42.048,39.493,41.746,73.996,73.445,62.185,63.442,49.849,40.218,44.015,34.007
NM_026405,56.821,54.573,66.925,60.157,77.819,70.665,92.209,61.521,74.77,72.105,82.726,74.975,40.189,54.546,60.117,58.745,84.269,98.615,114.37,120.443
NM_172574,71.298,65.797,60.411,58.077,69.892,67.044,56.032,58.917,54.56,46.873,50.687,38.163,88.579,77.525,75.813,62.509,34.29,31.143,28.897,25.429
NR_027656,68.099,57.714,65.009,44.363,74.36,56.412,69.268,47.983,47.257,58.811,33.9,62.735,96.822,70.733,75.826,72.164,49.765,34.724,48.3,30.741
NM_001282022,59.038,61.111,74.671,56.122,62.061,65.67,85.678,60.946,244.162,199.492,257.933,222.653,87.392,103.441,83.129,93.894,167.59,187.45,193.375,179.011
NM_007988,45.262,56.794,38.49,57.274,69.659,54.488,60.854,53.529,134.734,104.088,128.923,112.495,47.585,54.959,46.562,50.036,94.818,102.173,88.022,93.447
NM_001159637,38.988,48.015,41.975,47.012,52.337,66.597,52.745,57.972,130.257,112.818,119.28,109.946,54.395,81.544,50.532,67.924,98.341,114.348,94.368,101.054
NR_024329,53.811,60.156,47.768,55.434,55.877,61,51.493,49.568,27.577,24.98,25.954,30.547,68.254,70.708,81.334,62.207,18.535,18.06,18.146,14.726
NM_019979,63.559,66.443,63.19,63.91,53.307,59.698,46.464,59.251,46.436,46.534,48.73,47.73,59.527,63.009,54.555,59.893,34.645,41.215,38.027,37.244
NM_025436,49.739,66.224,54.166,60.79,53.812,54.706,45.933,48.234,90.77,74.428,72.613,70.597,51.549,51.008,46.243,43.107,78.339,112.718,73.633,100.119
NM_001281880,39.773,40.347,56.857,48.125,43.445,56.521,57.515,60.936,23.746,19.088,25.05,25.164,73.414,70.783,97.842,76.684,20.441,18.255,18.075,14.73
NM_027395,63.615,47.305,44.957,37.987,53.431,45.465,56.117,46.088,39.491,39.363,40.721,42.464,79.036,55.08,63.844,52.486,30.191,24.061,24.321,19.431
NM_145942,44.846,60.106,54.833,63.102,45.541,46.137,51.057,44.683,68.281,59.874,79.981,72.344,58.187,44.739,66.203,45.89,77.16,104.153,74.589,100.685
NM_007421,54.773,37.722,47.635,31.698,50.169,40.333,42.259,35.536,15.616,19.609,13.614,15.894,89.276,50.591,70.512,47.085,12.871,8.917,12.307,7.415
NR_110581,41.595,43.346,33.312,38.334,45.475,39.36,29.836,28.998,59.652,58.468,48.972,48.801,40.2,40.679,31.677,33.206,56.983,64.732,49.373,50.365
NR_033794,34.37,36.762,29.3,29.637,44.139,39.524,35.758,35.505,58.421,67.747,50.467,49.354,25.96,23.347,21.928,19.373,62.559,55.998,50.251,48.166
NM_019468,32.159,38.73,28.789,38.257,37.473,44.108,35.721,34.879,54.473,46.742,56.722,43.018,33.196,42.924,25.271,31.043,43.994,56.874,47.535,44.303
NM_007642,14.402,20.701,13.419,18.325,34.466,46.728,27.86,40.861,9.139,4.609,6.694,4.561,21.246,22.638,20.165,19.747,0.093,0.062,0.19,0.089
NM_001110268,8.917,11.51,6.942,15.602,35.282,44.817,29.966,51.607,6.034,9.165,4.862,9.581,31.494,38.617,29.66,40.058,1.233,3.809,1.161,5.331
NM_053272,37.519,42.365,33.025,42.584,44.754,30.829,37.661,27.633,46.873,51.689,38.115,46.148,19.989,16.819,19.738,15.218,62.903,74.951,51.561,65.682
NR_027298,38.956,40.587,30.058,39.026,40.955,32.684,38.444,30.456,17.001,18.593,17.118,20.195,36.654,37.247,35.285,32.259,19.121,17.513,16.723,15.188
NM_001278534,37.783,48.16,24.84,39.972,26.649,45.039,23.492,36.37,42.532,52.172,47.743,45.931,50.569,33.381,38.257,29.172,49.727,61.731,34.968,46.963
NM_026219,37.44,28.015,37.223,26.851,41.274,28.372,35.269,31.482,18.532,15.517,11.709,17.229,34.263,30.266,35.013,29.085,12.926,13.159,16.262,10.29
NM_029720,39.385,36.235,30.387,28.81,35.538,33.067,28.845,30.669,50.025,51.303,49.106,48.142,34.845,29.707,28.661,28.841,60.789,39.158,50.54,35.866
NM_025582,42.392,37.574,31.505,26.54,36.844,28.937,26.866,22.479,62.363,61.325,52.514,61.138,24.618,15.104,13.645,14.933,59.665,69.225,57.685,62.076
NR_138556,30.921,30.073,25.855,26.596,29.654,31.02,24.56,25.282,53.827,44.501,45.548,43.017,22.335,16.271,20.521,14.359,51.323,59.258,43.527,47.846
NM_001347036,31.951,38.457,38.378,44.757,27.537,31.789,34.45,36.72,19.237,14.896,18.041,16.804,25.669,27.319,29.779,29.633,10.044,13.951,11.097,15.327
NR_030568,26.883,27.582,28.158,27.219,29.968,28.598,32,28.924,51.482,43.605,52.91,43.408,31.587,21.536,34.642,22.546,55.076,62.184,55.261,59.687
NM_133977,14.81,24.421,13.272,20.986,23.839,32.942,21.354,27.543,10.361,9.093,8.096,9.327,24.068,19.478,21.122,17.359,0.855,1.143,0.91,1.122
NM_020010,23.614,21.961,27.92,23.907,30.594,22.381,31.373,21.037,52.157,57.041,56.319,55.86,26.053,26.504,26.815,24.445,59.971,72.637,59.116,75.66
NM_019777,18.612,28.363,23.831,26.413,21.112,29.699,33.499,27.306,69.014,56.157,69.296,64.769,21.41,20.05,24.363,18.309,47.959,55.032,55.539,51.649
NM_009982,23.205,28.793,24.117,27.459,25.785,24.402,30.191,32.637,60.609,61.924,77.875,69.101,18.427,25.213,24.907,26.791,48.446,69.014,62.064,92.898
NM_029186,22.701,27.683,18.686,23.576,22.62,25.129,17.92,21.618,10.657,7.499,7.468,9.216,25.093,20.95,20.018,18.608,3.078,5.013,2.721,4.103
NM_001277079,25.478,30.591,28.156,27.537,17.673,26.757,20.396,27.148,38.472,31.787,36.747,34.046,16.129,3.997,15.851,3.298,56.139,50.398,53.919,42.104
NM_001172117,13.736,13.364,13.882,11.217,20.663,23.518,19.737,20.773,55.223,48.371,52.603,45.168,24.792,25.506,22.926,22.371,50.349,53.987,53.103,48.412
NM_030682,10.723,19.619,14.784,18.027,12.382,14.084,13.281,12.329,34.324,29.321,33.773,38.648,4.033,8.598,8.566,7.542,16.387,37.405,31.647,49.033
NM_027878,10.96,10.286,12.105,10.859,9.313,8.966,11.549,8.637,26.611,23.466,28.168,25.778,13.372,12.078,17.562,11.428,29.673,32.237,41.439,43.245
NM_153510,1.688,1.321,1.377,1.466,3.327,4.941,4.911,5.318,44.256,42.965,46.464,43.936,1.529,1.759,1.87,1.634,19.129,39.298,18.484,35.749
NM_031181,0.92,1.431,0.814,0.913,2.445,3.185,2.427,2.943,33.741,30.476,35.749,39.187,1.186,2.223,0.62,2.79,31.428,83.605,26.929,73.616
